Project,BugID,Baseline_Time_(s),SBFL_Time_(s),Hybrid_Time_(s),Avg_Slice_Time_(s),Peak_Memory_(KB)
Cli,11b,3.42,140.129,493.926,14.01,468116.0
Cli,12b,3.266,200.121,561.245,14.167,463824.0
Cli,14b,5.688,909.398,1886.006,21.48,670504.0
Cli,13b,5.701,1731.953,2540.655,21.185,663344.0
Cli,15b,5.724,1346.154,2484.51,21.575,668992.0
Cli,17b,3.66,552.207,823.627,14.632,501936.0
Cli,16b,5.732,1883.403,3300.175,21.962,666904.0
Cli,18b,3.566,553.958,827.734,14.783,527496.0
Cli,19b,3.448,559.91,848.997,14.74,533288.0
Cli,1b,3.292,430.362,800.936,15.743,541348.0
Cli,20b,3.451,559.908,836.465,14.753,542056.0
Cli,22b,3.561,532.147,1352.05,14.637,545692.0
Cli,23b,3.512,199.848,881.396,15.078,548972.0
Cli,21b,6.096,1795.761,3130.113,22.116,669088.0
Cli,24b,3.489,209.937,865.521,14.721,549324.0
Cli,25b,3.491,211.004,1169.602,15.11,549664.0
Cli,26b,3.516,624.849,1288.798,14.852,549204.0
Cli,27b,3.604,513.166,1155.602,15.682,543076.0
Cli,29b,3.592,769.141,1296.31,15.706,550576.0
Cli,2b,3.344,392.161,773.392,15.336,537076.0
Cli,28b,3.715,779.343,2787.601,16.583,551116.0
Cli,30b,3.647,770.484,1208.939,16.027,549116.0
Cli,32b,3.814,265.42,419.735,14.63,544580.0
Cli,31b,3.569,986.754,1808.228,16.541,554780.0
Cli,33b,3.712,268.552,934.415,16.19,555268.0
Cli,35b,3.94,965.783,2606.314,17.507,658704.0
Cli,34b,3.722,1030.493,3284.681,16.513,552940.0
Cli,37b,3.891,41.513,157.76,16.676,543064.0
Cli,38b,3.949,46.546,233.297,16.87,548524.0
Cli,39b,3.885,103.297,138.278,0.0,179776.0
Cli,36b,3.918,905.378,1219.058,18.062,564868.0
Cli,3b,3.325,6.992,626.705,16.582,546600.0
Cli,4b,3.142,475.6,759.767,15.466,545868.0
Cli,7b,5.663,7.695,97.83,20.999,603512.0
Cli,5b,3.213,491.352,1239.804,15.732,538284.0
Cli,8b,3.425,115.33,598.735,15.869,612032.0
Codec,10b,7.455,54.432,131.777,29.108,834488.0
Cli,9b,3.343,497.878,794.361,15.94,537216.0
Codec,11b,19.875,202.584,852.755,32.656,2216780.0
Codec,12b,11.801,231.518,1492.248,32.123,1665648.0
Codec,14b,9.112,172.578,228.957,0.0,887176.0
Codec,15b,12.719,178.106,6570.914,35.784,1673416.0
Codec,16b,13.12,218.492,1082.271,31.912,1681580.0
Codec,17b,13.61,2102.317,4955.876,39.428,1683540.0
Codec,18b,13.605,2127.335,6557.309,38.972,1684536.0
Codec,1b,3.987,397.959,516.839,0.0,181756.0
Codec,2b,4.341,285.297,451.245,19.907,581800.0
Codec,3b,5.117,572.623,7534.982,577.275,1142848.0
Codec,4b,5.374,412.465,535.872,0.0,465792.0
Codec,5b,5.434,475.899,793.282,29.247,683444.0
Codec,6b,5.246,60.035,81.132,0.0,461524.0
Codec,7b,5.501,489.778,6340.473,79.204,1498088.0
Codec,8b,5.595,495.359,697.994,28.061,676472.0
Codec,13b,11.555,1588.067,39861.764,42.394,1673256.0
Collections,25b,32.13,1765.178,8809.153,85.383,857832.0
Collections,26b,31.543,213.974,547.277,91.175,869448.0
Collections,27b,32.392,576.786,912.492,90.099,868764.0
Collections,28b,31.343,102.085,4608.344,99.264,912180.0
Csv,10b,7.282,913.002,3742.599,17.766,561684.0
Csv,11b,5.375,956.124,1953.813,17.869,560432.0
Codec,9b,6.004,514.202,25555.057,256.591,1365552.0
Csv,13b,10.184,1198.68,2382.418,18.946,1643532.0
Csv,12b,5.816,1025.514,8140.191,13.575,565152.0
Csv,14b,10.101,1359.722,5643.865,24.614,1654384.0
Csv,15b,11.776,1579.923,6443.484,26.882,1661500.0
Csv,16b,10.477,842.837,4216.783,28.75,1653180.0
Csv,1b,3.842,272.432,913.016,12.505,489140.0
Csv,2b,4.78,348.67,811.141,17.245,550048.0
Csv,4b,5.232,699.049,1426.593,17.963,568252.0
Csv,3b,4.887,433.679,2499.109,17.945,695272.0
Csv,5b,5.284,778.448,1096.712,17.672,552212.0
Csv,6b,5.276,602.708,817.832,18.266,548972.0
Csv,7b,5.029,820.666,1084.983,0.0,462384.0
Csv,9b,5.02,621.207,856.205,18.019,556088.0
Csv,8b,5.146,977.686,1971.825,17.866,559512.0
JacksonXml,2b,21.778,725.909,2841.427,21.262,1111828.0
JacksonXml,1b,20.837,896.817,3692.111,20.595,1193512.0
JacksonXml,3b,21.407,909.393,1791.184,21.393,1019696.0
JacksonXml,5b,26.092,1110.558,1504.446,23.195,1229384.0
JacksonXml,4b,22.107,931.433,3285.741,20.834,1283676.0
JacksonXml,6b,27.465,1191.541,4255.83,22.502,1202552.0
Jsoup,7b,4.432,87.347,118.36,0.0,176960.0
Jsoup,6b,4.731,218.229,69208.881,551.762,1370828.0
