name,elapsed_s,status
Cli_10b,662,FAIL
Chart_1b,662,FAIL
Cli_11b,503,OK
Cli_12b,570,OK
Cli_14b,1902,OK
Cli_13b,2562,OK
Cli_15b,2504,OK
Cli_17b,834,OK
Cli_16b,3322,OK
Cli_18b,837,OK
Cli_19b,859,OK
Cli_1b,810,OK
Cli_20b,847,OK
Cli_22b,1362,OK
Cli_23b,890,OK
Cli_21b,3152,OK
Cli_24b,875,OK
Cli_25b,1178,OK
Cli_26b,1299,OK
Cli_27b,1166,OK
Cli_29b,1307,OK
Cli_2b,783,OK
Cli_28b,2799,OK
Cli_30b,1220,OK
Cli_32b,430,OK
Cli_31b,1820,OK
Cli_33b,943,OK
Cli_35b,2619,OK
Cli_34b,3297,OK
Cli_37b,166,OK
Cli_38b,242,OK
Cli_39b,146,OK
Cli_36b,1231,OK
Cli_3b,635,OK
Cli_4b,769,OK
Cli_7b,108,OK
Cli_5b,1250,OK
Cli_8b,607,OK
Codec_10b,144,OK
Cli_9b,804,OK
Codec_11b,879,OK
Codec_12b,1511,OK
Codec_14b,244,OK
Codec_15b,6591,OK
Codec_16b,1103,OK
Codec_17b,4997,OK
Codec_18b,6599,OK
Codec_1b,527,OK
Codec_2b,462,OK
Codec_3b,7563,OK
Codec_4b,547,OK
Codec_5b,806,OK
Codec_6b,91,OK
Codec_7b,6354,OK
Codec_8b,711,OK
Codec_13b,39893,OK
Collections_25b,8905,OK
Collections_26b,592,OK
Collections_27b,970,OK
Collections_28b,4649,OK
Csv_10b,3757,OK
Csv_11b,1967,OK
Codec_9b,25569,OK
Csv_13b,2401,OK
Csv_12b,8154,OK
Csv_14b,5663,OK
Csv_15b,6465,OK
Csv_16b,4235,OK
Csv_1b,922,OK
Csv_2b,822,OK
Csv_4b,1438,OK
Csv_3b,2510,OK
Csv_5b,1109,OK
Csv_6b,830,OK
Csv_7b,1096,OK
Csv_9b,868,OK
Csv_8b,1984,OK
JacksonXml_2b,2873,OK
JacksonXml_1b,3724,OK
JacksonXml_3b,1823,OK
JacksonXml_5b,1543,OK
JacksonXml_4b,3319,OK
Jsoup_1b,26,FAIL
Jsoup_3b,26,FAIL
JacksonXml_6b,4296,OK
Jsoup_7b,127,OK
Jsoup_6b,69225,OK
