project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice
Csv,3b,Lexer.java,90,10,3,58,154
Csv,3b,Lexer.java,111,1,1,58,154
JacksonXml,1b,FromXmlParser.java,510,258,21,None,None
JacksonXml,1b,FromXmlParser.java,514,165,2,None,None
JacksonXml,1b,FromXmlParser.java,550,1,4,None,None
JacksonXml,1b,FromXmlParser.java,551,1,4,None,None
JacksonXml,1b,FromXmlParser.java,552,1,4,None,None
JacksonXml,1b,FromXmlParser.java,553,1,4,None,None
Collections,25b,IteratorUtils.java,605,1,3,1,16
Collections,25b,IteratorUtils.java,626,None,None,None,None
Collections,25b,IteratorUtils.java,648,None,None,None,None
Collections,26b,MultiKey.java,277,None,None,None,None
Collections,27b,MultiValueMap.java,568,None,None,None,None
Collections,28b,AbstractPatriciaTrie.java,2262,None,None,None,None
