file,line,approx,answerable
src/java/org/apache/commons/cli/CommandLine.java,19,False,True
src/java/org/apache/commons/cli/CommandLine.java,23,False,True
src/java/org/apache/commons/cli/CommandLine.java,46,False,True
src/java/org/apache/commons/cli/CommandLine.java,47,False,True
src/java/org/apache/commons/cli/CommandLine.java,51,False,True
src/java/org/apache/commons/cli/CommandLine.java,69,False,True
src/java/org/apache/commons/cli/CommandLine.java,93,False,True
src/java/org/apache/commons/cli/CommandLine.java,98,False,True
src/java/org/apache/commons/cli/CommandLine.java,149,False,True
src/java/org/apache/commons/cli/CommandLine.java,151,False,True
src/java/org/apache/commons/cli/CommandLine.java,152,False,True
src/java/org/apache/commons/cli/CommandLine.java,153,False,True
src/java/org/apache/commons/cli/CommandLine.java,154,False,True
src/java/org/apache/commons/cli/CommandLine.java,155,False,True
src/java/org/apache/commons/cli/CommandLine.java,156,False,True
src/java/org/apache/commons/cli/CommandLine.java,158,False,True
src/java/org/apache/commons/cli/CommandLine.java,169,True,False
src/java/org/apache/commons/cli/CommandLine.java,170,True,False
src/java/org/apache/commons/cli/CommandLine.java,277,False,True
src/java/org/apache/commons/cli/CommandLine.java,278,False,True
src/java/org/apache/commons/cli/CommandLine.java,279,False,True
src/java/org/apache/commons/cli/CommandLine.java,280,False,True
src/java/org/apache/commons/cli/CommandLine.java,281,False,True
src/java/org/apache/commons/cli/CommandLine.java,282,False,True
src/java/org/apache/commons/cli/CommandLine.java,283,False,True
src/java/org/apache/commons/cli/CommandLine.java,284,False,True
src/java/org/apache/commons/cli/CommandLine.java,285,False,True
src/java/org/apache/commons/cli/CommandLine.java,286,False,True
src/java/org/apache/commons/cli/CommandLine.java,287,False,True
src/java/org/apache/commons/cli/CommandLine.java,298,False,True
src/java/org/apache/commons/cli/CommandLine.java,308,False,True
src/java/org/apache/commons/cli/CommandLine.java,316,False,True
