virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testLs_line_L57_P_1,org.apache.commons.cli.ApplicationTest::testLs,org.apache.commons.cli.ApplicationTest,testLs,line,57,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testLs_line_L57_P_1/slice.log,
testAnt_line_L102_P_2,org.apache.commons.cli.ApplicationTest::testAnt,org.apache.commons.cli.ApplicationTest,testAnt,line,102,Virtual_Pass,22,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testAnt_line_L102_P_2/slice.log,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testAnt_line_L102_P_2_alias_opts/slice.log
test14786_line_L338_P_3,org.apache.commons.cli.BugsTest::test14786,org.apache.commons.cli.BugsTest,test14786,line,338,Virtual_Pass,11,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/test14786_line_L338_P_3/slice.log,
test15046_line_L355_P_4,org.apache.commons.cli.BugsTest::test15046,org.apache.commons.cli.BugsTest,test15046,line,355,Virtual_Pass,128,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/test15046_line_L355_P_4/slice.log,
test15648_line_L366_P_5,org.apache.commons.cli.BugsTest::test15648,org.apache.commons.cli.BugsTest,test15648,line,366,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/test15648_line_L366_P_5/slice.log,
testUntypedPattern_line_L81_P_6,org.apache.commons.cli.PatternOptionBuilderTest::testUntypedPattern,org.apache.commons.cli.PatternOptionBuilderTest,testUntypedPattern,line,81,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testUntypedPattern_line_L81_P_6/slice.log,
testUntypedPattern_line_L83_P_7,org.apache.commons.cli.PatternOptionBuilderTest::testUntypedPattern,org.apache.commons.cli.PatternOptionBuilderTest,testUntypedPattern,line,83,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testUntypedPattern_line_L83_P_7/slice.log,
testUntypedPattern_line_L85_P_8,org.apache.commons.cli.PatternOptionBuilderTest::testUntypedPattern,org.apache.commons.cli.PatternOptionBuilderTest,testUntypedPattern,line,85,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testUntypedPattern_line_L85_P_8/slice.log,
testLongOptionWithShort_line_L171_P_9,org.apache.commons.cli.PosixParserTest::testLongOptionWithShort,org.apache.commons.cli.PosixParserTest,testLongOptionWithShort,line,171,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testLongOptionWithShort_line_L171_P_9/slice.log,
testOrder_line_L38_P_10,org.apache.commons.cli.bug.BugCLI133Test::testOrder,org.apache.commons.cli.bug.BugCLI133Test,testOrder,line,38,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testOrder_line_L38_P_10/slice.log,
testBasic_line_L52_P_11,org.apache.commons.cli.bug.BugCLI71Test::testBasic,org.apache.commons.cli.bug.BugCLI71Test,testBasic,line,52,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testBasic_line_L52_P_11/slice.log,
testBasic_line_L53_P_12,org.apache.commons.cli.bug.BugCLI71Test::testBasic,org.apache.commons.cli.bug.BugCLI71Test,testBasic,line,53,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testBasic_line_L53_P_12/slice.log,
testMistakenArgument_line_L61_P_13,org.apache.commons.cli.bug.BugCLI71Test::testMistakenArgument,org.apache.commons.cli.bug.BugCLI71Test,testMistakenArgument,line,61,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testMistakenArgument_line_L61_P_13/slice.log,
testMistakenArgument_line_L62_P_14,org.apache.commons.cli.bug.BugCLI71Test::testMistakenArgument,org.apache.commons.cli.bug.BugCLI71Test,testMistakenArgument,line,62,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testMistakenArgument_line_L62_P_14/slice.log,
testGetsDefaultIfOptional_line_L80_P_15,org.apache.commons.cli.bug.BugCLI71Test::testGetsDefaultIfOptional,org.apache.commons.cli.bug.BugCLI71Test,testGetsDefaultIfOptional,line,80,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testGetsDefaultIfOptional_line_L80_P_15/slice.log,
testGetsDefaultIfOptional_line_L81_P_16,org.apache.commons.cli.bug.BugCLI71Test::testGetsDefaultIfOptional,org.apache.commons.cli.bug.BugCLI71Test,testGetsDefaultIfOptional,line,81,Virtual_Pass,12,/opt/resq/resQ_outputs/work/Cli_22b/step2_slicing/_slicer4j_passed/testGetsDefaultIfOptional_line_L81_P_16/slice.log,
