statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,0,48,2,0.142857
S2,1,0,50,0,0.140028
S3,0,1,6,44,0.0
S4,0,1,3,47,0.0
S5,0,1,6,44,0.0
S6,0,1,4,46,0.0
S7,0,1,2,48,0.0
S8,0,1,2,48,0.0
S9,0,1,4,46,0.0
S10,0,1,5,45,0.0
S11,0,1,5,45,0.0
S12,0,1,4,46,0.0
S13,0,1,2,48,0.0
S14,0,1,2,48,0.0
S15,0,1,2,48,0.0
S16,0,1,2,48,0.0
S17,0,1,2,48,0.0
S18,0,1,2,48,0.0
S19,0,1,2,48,0.0
S20,0,1,2,48,0.0
S21,0,1,2,48,0.0
S22,0,1,2,48,0.0
S23,0,1,2,48,0.0
S24,0,1,2,48,0.0
S25,0,1,2,48,0.0
S26,0,1,2,48,0.0
S27,0,1,2,48,0.0
S28,0,1,2,48,0.0
S29,0,1,2,48,0.0
S30,0,1,2,48,0.0
S31,1,0,7,43,0.353553
S32,1,0,7,43,0.353553
S33,1,0,7,43,0.353553
S34,1,0,5,45,0.408248
S35,0,1,2,48,0.0
S36,1,0,7,43,0.353553
S37,1,0,7,43,0.353553
S38,1,0,7,43,0.353553
S39,1,0,5,45,0.408248
S40,1,0,5,45,0.408248
S41,1,0,7,43,0.353553
S42,1,0,6,44,0.377964
S43,1,0,4,46,0.447214
S44,1,0,6,44,0.377964
S45,0,1,2,48,0.0
S46,1,0,5,45,0.408248
S47,1,0,5,45,0.408248
S48,1,0,5,45,0.408248
S49,1,0,5,45,0.408248
S50,1,0,7,43,0.353553
S51,0,1,5,45,0.0
S52,0,1,1,49,0.0
S53,1,0,7,43,0.353553
S54,1,0,5,45,0.408248
S55,1,0,5,45,0.408248
S56,1,0,5,45,0.408248
S57,0,1,2,48,0.0
S58,0,1,5,45,0.0
S59,0,1,2,48,0.0
S60,0,1,5,45,0.0
S61,0,1,5,45,0.0
S62,0,1,3,47,0.0
S63,0,1,2,48,0.0
S64,0,1,2,48,0.0
S65,0,1,2,48,0.0
S66,0,1,2,48,0.0
S67,0,1,2,48,0.0
S68,0,1,3,47,0.0
S69,0,1,3,47,0.0
S70,0,1,3,47,0.0
S71,0,1,4,46,0.0
S72,0,1,5,45,0.0
S73,1,0,5,45,0.408248
S74,1,0,5,45,0.408248
S75,1,0,4,46,0.447214
S76,1,0,5,45,0.408248
S77,1,0,5,45,0.408248
S78,1,0,4,46,0.447214
S79,1,0,5,45,0.408248
S80,1,0,5,45,0.408248
S81,1,0,4,46,0.447214
S82,1,0,4,46,0.447214
S83,1,0,5,45,0.408248
S84,1,0,5,45,0.408248
S85,1,0,5,45,0.408248
S86,1,0,5,45,0.408248
S87,1,0,5,45,0.408248
S88,1,0,5,45,0.408248
S89,1,0,5,45,0.408248
S90,1,0,5,45,0.408248
S91,1,0,5,45,0.408248
S92,1,0,5,45,0.408248
S93,1,0,5,45,0.408248
S94,1,0,5,45,0.408248
S95,1,0,5,45,0.408248
S96,1,0,5,45,0.408248
S97,1,0,5,45,0.408248
S98,1,0,5,45,0.408248
S99,1,0,5,45,0.408248
S100,1,0,5,45,0.408248
S101,0,1,2,48,0.0
S102,0,1,2,48,0.0
S103,0,1,2,48,0.0
S104,0,1,2,48,0.0
S105,0,1,2,48,0.0
S106,0,1,2,48,0.0
S107,0,1,2,48,0.0
S108,0,1,2,48,0.0
S109,0,1,2,48,0.0
S110,1,0,7,43,0.353553
S111,1,0,7,43,0.353553
S112,1,0,5,45,0.408248
S113,0,1,2,48,0.0
S114,0,1,2,48,0.0
S115,1,0,6,44,0.377964
S116,1,0,7,43,0.353553
S117,1,0,4,46,0.447214
