statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,15,32,0.0
S2,0,1,15,32,0.0
S3,0,1,9,38,0.0
S4,0,1,2,45,0.0
S5,0,1,9,38,0.0
S6,0,1,9,38,0.0
S7,0,1,4,43,0.0
S8,0,1,10,37,0.0
S9,0,1,10,37,0.0
S10,0,1,10,37,0.0
S11,0,1,10,37,0.0
S12,0,1,10,37,0.0
S13,0,1,10,37,0.0
S14,0,1,9,38,0.0
S15,0,1,9,38,0.0
S16,0,1,9,38,0.0
S17,0,1,9,38,0.0
S18,0,1,6,41,0.0
S19,0,1,5,42,0.0
S20,0,1,2,45,0.0
S21,0,1,2,45,0.0
S22,0,1,1,46,0.0
S23,0,1,1,46,0.0
S24,0,1,1,46,0.0
S25,0,1,1,46,0.0
S26,0,1,1,46,0.0
S27,0,1,1,46,0.0
S28,0,1,1,46,0.0
S29,0,1,14,33,0.0
S30,0,1,1,46,0.0
S31,0,1,4,43,0.0
S32,0,1,4,43,0.0
S33,0,1,4,43,0.0
S34,0,1,4,43,0.0
S35,0,1,4,43,0.0
S36,0,1,4,43,0.0
S37,0,1,4,43,0.0
S38,0,1,4,43,0.0
S39,0,1,4,43,0.0
S40,0,1,4,43,0.0
S41,0,1,4,43,0.0
S42,0,1,2,45,0.0
S43,0,1,2,45,0.0
S44,0,1,1,46,0.0
S45,0,1,1,46,0.0
S46,0,1,1,46,0.0
S47,0,1,1,46,0.0
S48,0,1,2,45,0.0
S49,0,1,4,43,0.0
S50,0,1,1,46,0.0
S51,0,1,1,46,0.0
S52,0,1,4,43,0.0
S53,1,0,31,16,0.176777
S54,1,0,31,16,0.176777
S55,1,0,31,16,0.176777
S56,1,0,31,16,0.176777
S57,1,0,31,16,0.176777
S58,1,0,31,16,0.176777
S59,1,0,31,16,0.176777
S60,1,0,31,16,0.176777
S61,1,0,31,16,0.176777
S62,1,0,31,16,0.176777
S63,1,0,31,16,0.176777
S64,0,1,2,45,0.0
S65,0,1,1,46,0.0
S66,0,1,1,46,0.0
S67,0,1,1,46,0.0
S68,0,1,1,46,0.0
S69,0,1,1,46,0.0
S70,0,1,1,46,0.0
S71,0,1,1,46,0.0
S72,0,1,1,46,0.0
S73,0,1,1,46,0.0
S74,0,1,1,46,0.0
S75,0,1,1,46,0.0
S76,0,1,1,46,0.0
S77,0,1,1,46,0.0
S78,0,1,2,45,0.0
S79,0,1,1,46,0.0
S80,0,1,2,45,0.0
S81,0,1,8,39,0.0
S82,1,0,21,26,0.213201
S83,0,1,2,45,0.0
S84,0,1,1,46,0.0
S85,0,1,1,46,0.0
S86,0,1,4,43,0.0
S87,0,1,1,46,0.0
S88,0,1,5,42,0.0
S89,0,1,5,42,0.0
S90,0,1,4,43,0.0
S91,0,1,3,44,0.0
S92,1,0,12,35,0.27735
S93,0,1,1,46,0.0
S94,1,0,11,36,0.288675
S95,1,0,4,43,0.447214
S96,0,1,7,40,0.0
S97,1,0,11,36,0.288675
S98,1,0,6,41,0.377964
S99,1,0,11,36,0.288675
S100,1,0,11,36,0.288675
S101,1,0,6,41,0.377964
S102,1,0,13,34,0.267261
S103,1,0,13,34,0.267261
S104,1,0,13,34,0.267261
S105,1,0,13,34,0.267261
S106,1,0,13,34,0.267261
S107,0,1,12,35,0.0
S108,0,1,12,35,0.0
S109,0,1,12,35,0.0
S110,0,1,2,45,0.0
S111,0,1,2,45,0.0
S112,0,1,2,45,0.0
