virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testPrintWrapped_expected_L79_F_1,org.apache.commons.cli.HelpFormatterTest::testPrintWrapped,org.apache.commons.cli.HelpFormatterTest,testPrintWrapped,expected,79,Virtual_Pass,22,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_failing/testPrintWrapped_expected_L79_F_1/slice.log,
testPrintWrapped_expected_L84_F_2,org.apache.commons.cli.HelpFormatterTest::testPrintWrapped,org.apache.commons.cli.HelpFormatterTest,testPrintWrapped,expected,84,Virtual_Pass,23,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_failing/testPrintWrapped_expected_L84_F_2/slice.log,
testPrintWrapped_expected_L96_F_3,org.apache.commons.cli.HelpFormatterTest::testPrintWrapped,org.apache.commons.cli.HelpFormatterTest,testPrintWrapped,expected,96,Virtual_Fail,23,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_failing/testPrintWrapped_expected_L96_F_3/slice.log,
testPrintOptions_expected_L132_P_1,org.apache.commons.cli.HelpFormatterTest::testPrintOptions,org.apache.commons.cli.HelpFormatterTest,testPrintOptions,expected,132,Virtual_Pass,74,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testPrintOptions_expected_L132_P_1/slice.log,
testPrintOptions_expected_L140_P_2,org.apache.commons.cli.HelpFormatterTest::testPrintOptions,org.apache.commons.cli.HelpFormatterTest,testPrintOptions,expected,140,Virtual_Pass,88,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testPrintOptions_expected_L140_P_2/slice.log,
testPrintOptions_expected_L147_P_3,org.apache.commons.cli.HelpFormatterTest::testPrintOptions,org.apache.commons.cli.HelpFormatterTest,testPrintOptions,expected,147,Virtual_Pass,93,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testPrintOptions_expected_L147_P_3/slice.log,
testPrintOptions_expected_L155_P_4,org.apache.commons.cli.HelpFormatterTest::testPrintOptions,org.apache.commons.cli.HelpFormatterTest,testPrintOptions,expected,155,Virtual_Pass,93,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testPrintOptions_expected_L155_P_4/slice.log,
testPrintOptions_expected_L167_P_5,org.apache.commons.cli.HelpFormatterTest::testPrintOptions,org.apache.commons.cli.HelpFormatterTest,testPrintOptions,expected,167,Virtual_Pass,100,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testPrintOptions_expected_L167_P_5/slice.log,
testAutomaticUsage_expected_L182_P_6,org.apache.commons.cli.HelpFormatterTest::testAutomaticUsage,org.apache.commons.cli.HelpFormatterTest,testAutomaticUsage,expected,182,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testAutomaticUsage_expected_L182_P_6/slice.log,
testAutomaticUsage_expected_L190_P_7,org.apache.commons.cli.HelpFormatterTest::testAutomaticUsage,org.apache.commons.cli.HelpFormatterTest,testAutomaticUsage,expected,190,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Cli_8b/step2_slicing/_slicer4j_passed/testAutomaticUsage_expected_L190_P_7/slice.log,
