test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithSoundex,PASS,1,0
org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithDoubleMetaphone,PASS,1,1
org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithDoubleMetaphoneAndInvalidInput,PASS,1,0
org.apache.commons.codec.binary.Base32InputStreamTest::testCodec130,PASS,1,1
org.apache.commons.codec.binary.Base32InputStreamTest::testCodec105,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testAvailable,PASS,6,6
org.apache.commons.codec.binary.Base32InputStreamTest::testBase32EmptyInputStreamMimeChuckSize,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testBase32EmptyInputStreamPemChuckSize,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testBase32InputStreamByChunk,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testBase32InputStreamByteByByte,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testMarkSupported,PASS,1,0
org.apache.commons.codec.binary.Base32InputStreamTest::testRead0,PASS,1,0
org.apache.commons.codec.binary.Base32InputStreamTest::testReadNull,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testReadOutOfBounds,PASS,0,0
org.apache.commons.codec.binary.Base32InputStreamTest::testSkipNone,PASS,3,3
org.apache.commons.codec.binary.Base32InputStreamTest::testSkipBig,PASS,3,3
org.apache.commons.codec.binary.Base32InputStreamTest::testSkipPastEnd,PASS,3,3
org.apache.commons.codec.binary.Base32InputStreamTest::testSkipToEnd,PASS,3,3
org.apache.commons.codec.binary.Base32InputStreamTest::testSkipWrongArgument,PASS,0,0
org.apache.commons.codec.binary.Base32OutputStreamTest::testBase32EmptyOutputStreamMimeChunkSize,PASS,0,0
org.apache.commons.codec.binary.Base32OutputStreamTest::testBase32EmptyOutputStreamPemChunkSize,PASS,0,0
org.apache.commons.codec.binary.Base32OutputStreamTest::testBase32OutputStreamByChunk,PASS,0,0
org.apache.commons.codec.binary.Base32OutputStreamTest::testBase32OutputStreamByteByByte,PASS,0,0
org.apache.commons.codec.binary.Base32OutputStreamTest::testWriteOutOfBounds,PASS,0,0
org.apache.commons.codec.binary.Base32OutputStreamTest::testWriteToNullCoverage,PASS,0,0
org.apache.commons.codec.binary.Base32Test::testBase32Samples,PASS,1,1
org.apache.commons.codec.binary.Base32Test::testBase32HexSamples,PASS,1,1
