statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,36,7,291,0.0
S2,0,36,8,290,0.0
S3,0,36,8,290,0.0
S4,0,36,2,296,0.0
S5,0,36,4,294,0.0
S6,0,36,4,294,0.0
S7,0,36,1,297,0.0
S8,0,36,3,295,0.0
S9,0,36,4,294,0.0
S10,0,36,1,297,0.0
S11,0,36,3,295,0.0
S12,0,36,3,295,0.0
S13,0,36,3,295,0.0
S14,0,36,1,297,0.0
S15,0,36,1,297,0.0
S16,0,36,4,294,0.0
S17,0,36,1,297,0.0
S18,0,36,3,295,0.0
S19,0,36,5,293,0.0
S20,0,36,2,296,0.0
S21,0,36,3,295,0.0
S22,0,36,1,297,0.0
S23,0,36,1,297,0.0
S24,0,36,1,297,0.0
S25,0,36,1,297,0.0
S26,0,36,1,297,0.0
S27,0,36,1,297,0.0
S28,0,36,1,297,0.0
S29,0,36,1,297,0.0
S30,0,36,1,297,0.0
S31,0,36,1,297,0.0
S32,0,36,3,295,0.0
S33,0,36,34,264,0.0
S34,0,36,34,264,0.0
S35,0,36,34,264,0.0
S36,0,36,34,264,0.0
S37,0,36,34,264,0.0
S38,0,36,10,288,0.0
S39,0,36,1,297,0.0
S40,0,36,25,273,0.0
S41,0,36,2,296,0.0
S42,0,36,2,296,0.0
S43,0,36,15,283,0.0
S44,0,36,34,264,0.0
S45,0,36,34,264,0.0
S46,0,36,3,295,0.0
S47,0,36,3,295,0.0
S48,0,36,31,267,0.0
S49,0,36,31,267,0.0
S50,0,36,34,264,0.0
S51,0,36,14,284,0.0
S52,0,36,14,284,0.0
S53,0,36,14,284,0.0
S54,0,36,14,284,0.0
S55,0,36,14,284,0.0
S56,0,36,28,270,0.0
S57,0,36,28,270,0.0
S58,0,36,34,264,0.0
S59,0,36,34,264,0.0
S60,0,36,14,284,0.0
S61,0,36,12,286,0.0
S62,0,36,14,284,0.0
S63,0,36,8,290,0.0
S64,0,36,14,284,0.0
S65,0,36,10,288,0.0
S66,0,36,10,288,0.0
S67,0,36,10,288,0.0
S68,0,36,10,288,0.0
S69,0,36,10,288,0.0
S70,0,36,10,288,0.0
S71,0,36,10,288,0.0
S72,0,36,10,288,0.0
S73,0,36,10,288,0.0
S74,0,36,10,288,0.0
S75,0,36,10,288,0.0
S76,0,36,5,293,0.0
S77,0,36,5,293,0.0
S78,0,36,5,293,0.0
S79,0,36,5,293,0.0
S80,0,36,5,293,0.0
S81,0,36,14,284,0.0
S82,0,36,10,288,0.0
S83,0,36,10,288,0.0
S84,0,36,5,293,0.0
S85,0,36,5,293,0.0
S86,0,36,4,294,0.0
S87,0,36,4,294,0.0
S88,0,36,4,294,0.0
S89,0,36,4,294,0.0
S90,0,36,9,289,0.0
S91,0,36,9,289,0.0
S92,0,36,9,289,0.0
S93,0,36,9,289,0.0
S94,0,36,9,289,0.0
S95,0,36,4,294,0.0
S96,0,36,4,294,0.0
S97,0,36,4,294,0.0
S98,0,36,4,294,0.0
S99,0,36,4,294,0.0
S100,0,36,4,294,0.0
S101,0,36,23,275,0.0
S102,0,36,4,294,0.0
S103,0,36,23,275,0.0
S104,0,36,23,275,0.0
S105,0,36,23,275,0.0
S106,0,36,15,283,0.0
S107,0,36,21,277,0.0
S108,0,36,21,277,0.0
S109,0,36,21,277,0.0
S110,0,36,6,292,0.0
S111,0,36,16,282,0.0
S112,0,36,16,282,0.0
S113,0,36,16,282,0.0
S114,0,36,16,282,0.0
S115,0,36,16,282,0.0
S116,0,36,16,282,0.0
S117,0,36,16,282,0.0
S118,0,36,16,282,0.0
S119,0,36,16,282,0.0
S120,0,36,15,283,0.0
S121,0,36,15,283,0.0
S122,0,36,15,283,0.0
S123,0,36,15,283,0.0
S124,0,36,15,283,0.0
S125,0,36,15,283,0.0
S126,0,36,15,283,0.0
S127,0,36,15,283,0.0
S128,0,36,15,283,0.0
S129,0,36,16,282,0.0
S130,0,36,16,282,0.0
S131,0,36,16,282,0.0
S132,0,36,16,282,0.0
S133,0,36,16,282,0.0
S134,0,36,16,282,0.0
S135,0,36,16,282,0.0
S136,0,36,16,282,0.0
S137,0,36,16,282,0.0
S138,0,36,15,283,0.0
S139,0,36,15,283,0.0
S140,0,36,15,283,0.0
S141,0,36,15,283,0.0
S142,0,36,15,283,0.0
S143,0,36,15,283,0.0
S144,0,36,15,283,0.0
S145,0,36,15,283,0.0
S146,0,36,15,283,0.0
S147,0,36,21,277,0.0
S148,0,36,21,277,0.0
S149,0,36,6,292,0.0
S150,0,36,6,292,0.0
S151,0,36,21,277,0.0
S152,0,36,17,281,0.0
S153,0,36,17,281,0.0
S154,0,36,17,281,0.0
S155,0,36,17,281,0.0
S156,0,36,17,281,0.0
S157,0,36,7,291,0.0
S158,0,36,17,281,0.0
S159,0,36,17,281,0.0
S160,0,36,16,282,0.0
S161,0,36,16,282,0.0
S162,0,36,16,282,0.0
S163,0,36,16,282,0.0
S164,0,36,16,282,0.0
S165,0,36,16,282,0.0
S166,0,36,16,282,0.0
S167,0,36,16,282,0.0
S168,0,36,16,282,0.0
S169,0,36,16,282,0.0
S170,0,36,1,297,0.0
