test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearNothing,prefixMap,397,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearNothing,new,398,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearNothing,prefixMap,401,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearNothing,prefixMap,402,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearNothing,prefixMap,403,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearNothing,new,405,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearUsingRemove,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearUsingRemove,prefixMap,418,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearUsingRemove,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearUsingRemove,new,419,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearUsingRemove,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearUsingRemove,prefixMap,425,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearUsingRemove,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearUsingRemove,prefixMap,426,Virtual_Pass
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearUsingRemove,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapClearUsingRemove,new,428,Virtual_Pass
