rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,AbstractBitwiseTrie.java,89,if (key == null) {,0.0,118,118
1,S2,AbstractBitwiseTrie.java,93,return keyAnalyzer.lengthInBits(key);,0.0,118,118
1,S3,AbstractBitwiseTrie.java,111,if (key == null) { // root's might be null!,0.0,118,118
1,S4,AbstractBitwiseTrie.java,114,"return keyAnalyzer.isBitSet(key, bitIndex, lengthInBits);",0.0,118,118
1,S5,AbstractBitwiseTrie.java,121,"return keyAnalyzer.bitIndex(key, 0, lengthInBits(key), foundKey, 0, lengthInBits(foundKey));",0.0,118,118
1,S6,AbstractBitwiseTrie.java,128,if (key == null) {,0.0,118,118
1,S7,AbstractBitwiseTrie.java,130,} else if (other == null) {,0.0,118,118
1,S8,AbstractBitwiseTrie.java,134,"return keyAnalyzer.compare(key, other) == 0;",0.0,118,118
1,S9,AbstractBitwiseTrie.java,159,"public BasicEntry(final K key, final V value) {",0.0,118,118
1,S10,AbstractBitwiseTrie.java,160,this.key = key;,0.0,118,118
1,S11,AbstractBitwiseTrie.java,161,this.value = value;,0.0,118,118
1,S12,AbstractPatriciaTrie.java,49,"private transient TrieEntry<K, V> root = new TrieEntry<K, V>(null, null, -1);",0.0,118,118
1,S13,AbstractPatriciaTrie.java,61,private transient int size = 0;,0.0,118,118
1,S14,AbstractPatriciaTrie.java,67,protected transient int modCount = 0;,0.0,118,118
1,S15,AbstractPatriciaTrie.java,109,size++;,0.0,118,118
1,S16,AbstractPatriciaTrie.java,110,incrementModCount();,0.0,118,118
1,S17,AbstractPatriciaTrie.java,125,++modCount;,0.0,118,118
1,S18,AbstractPatriciaTrie.java,134,final int lengthInBits = lengthInBits(key);,0.0,118,118
1,S19,AbstractPatriciaTrie.java,138,if (lengthInBits == 0) {,0.0,118,118
1,S20,AbstractPatriciaTrie.java,148,"if (compareKeys(key, found.key)) {",0.0,118,118
1,S21,AbstractPatriciaTrie.java,157,"final int bitIndex = bitIndex(key, found.key);",0.0,118,118
1,S22,AbstractPatriciaTrie.java,159,if (KeyAnalyzer.isValidBitIndex(bitIndex)) { // in 99.999...9% the case,0.0,118,118
1,S23,AbstractPatriciaTrie.java,161,"final TrieEntry<K, V> t = new TrieEntry<K, V>(key, value, bitIndex);",0.0,118,118
1,S24,AbstractPatriciaTrie.java,162,"addEntry(t, lengthInBits);",0.0,118,118
1,S25,AbstractPatriciaTrie.java,163,incrementSize();,0.0,118,118
1,S26,AbstractPatriciaTrie.java,164,return null;,0.0,118,118
1,S27,AbstractPatriciaTrie.java,195,"TrieEntry<K, V> current = root.left;",0.0,118,118
1,S28,AbstractPatriciaTrie.java,196,"TrieEntry<K, V> path = root;",0.0,118,118
1,S29,AbstractPatriciaTrie.java,200,entry.predecessor = entry;,0.0,118,118
1,S30,AbstractPatriciaTrie.java,202,"if (!isBitSet(entry.key, entry.bitIndex, lengthInBits)) {",0.0,118,118
1,S31,AbstractPatriciaTrie.java,203,entry.left = entry;,0.0,118,118
1,S32,AbstractPatriciaTrie.java,204,entry.right = current;,0.0,118,118
1,S33,AbstractPatriciaTrie.java,206,entry.left = current;,0.0,118,118
1,S34,AbstractPatriciaTrie.java,207,entry.right = entry;,0.0,118,118
1,S35,AbstractPatriciaTrie.java,210,entry.parent = path;,0.0,118,118
1,S36,AbstractPatriciaTrie.java,220,"if (path == root || !isBitSet(entry.key, path.bitIndex, lengthInBits)) {",0.0,118,118
1,S37,AbstractPatriciaTrie.java,221,path.left = entry;,0.0,118,118
1,S38,AbstractPatriciaTrie.java,223,path.right = entry;,0.0,118,118
1,S39,AbstractPatriciaTrie.java,229,path = current;,0.0,118,118
1,S40,AbstractPatriciaTrie.java,231,"if (!isBitSet(entry.key, current.bitIndex, lengthInBits)) {",0.0,118,118
1,S41,AbstractPatriciaTrie.java,232,current = current.left;,0.0,118,118
1,S42,AbstractPatriciaTrie.java,234,current = current.right;,0.0,118,118
1,S43,AbstractPatriciaTrie.java,399,if (keySet == null) {,0.0,118,118
1,S44,AbstractPatriciaTrie.java,400,keySet = new KeySet();,0.0,118,118
1,S45,AbstractPatriciaTrie.java,407,if (values == null) {,0.0,118,118
1,S46,AbstractPatriciaTrie.java,408,values = new Values();,0.0,118,118
1,S47,AbstractPatriciaTrie.java,610,if (node == null) {,0.0,118,118
1,S48,AbstractPatriciaTrie.java,611,return firstEntry();,0.0,118,118
1,S49,AbstractPatriciaTrie.java,746,if (isEmpty()) {,0.0,118,118
1,S50,AbstractPatriciaTrie.java,750,return followLeft(root);,0.0,118,118
1,S51,AbstractPatriciaTrie.java,758,"TrieEntry<K, V> child = node.left;",0.0,118,118
1,S52,AbstractPatriciaTrie.java,765,return child;,0.0,118,118
1,S53,AbstractPatriciaTrie.java,829,"return getPrefixMapByBits(key, 0, lengthInBits(key));",0.0,118,118
1,S54,AbstractPatriciaTrie.java,855,final int offsetLength = offsetInBits + lengthInBits;,0.0,118,118
1,S55,AbstractPatriciaTrie.java,861,if (offsetLength == 0) {,0.0,118,118
1,S56,AbstractPatriciaTrie.java,865,"return new PrefixRangeMap(key, offsetInBits, lengthInBits);",0.0,118,118
1,S57,AbstractPatriciaTrie.java,1293,"super(key, value);",0.0,118,118
1,S58,AbstractPatriciaTrie.java,1295,this.bitIndex = bitIndex;,0.0,118,118
1,S59,AbstractPatriciaTrie.java,1297,this.parent = null;,0.0,118,118
1,S60,AbstractPatriciaTrie.java,1298,this.left = this;,0.0,118,118
1,S61,AbstractPatriciaTrie.java,1299,this.right = null;,0.0,118,118
1,S62,AbstractPatriciaTrie.java,1300,this.predecessor = this;,0.0,118,118
1,S63,AbstractPatriciaTrie.java,1445,private class KeySet extends AbstractSet<K> {,0.0,118,118
1,S64,AbstractPatriciaTrie.java,1488,private class Values extends AbstractCollection<V> {,0.0,118,118
1,S65,AbstractPatriciaTrie.java,1539,protected int expectedModCount = AbstractPatriciaTrie.this.modCount;,0.0,118,118
1,S66,AbstractPatriciaTrie.java,1547,protected TrieIterator() {,0.0,118,118
1,S67,AbstractPatriciaTrie.java,1548,next = AbstractPatriciaTrie.this.nextEntry(null);,0.0,118,118
