virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testEscapeNull1_sw_L346_F_1,org.apache.commons.csv.CSVPrinterTest::testEscapeNull1,org.apache.commons.csv.CSVPrinterTest,testEscapeNull1,sw,346,Virtual_Fail,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_failing/testEscapeNull1_sw_L346_F_1/slice.log,
testEscapeNull4_sw_L373_F_2,org.apache.commons.csv.CSVPrinterTest::testEscapeNull4,org.apache.commons.csv.CSVPrinterTest,testEscapeNull4,sw,373,Virtual_Fail,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_failing/testEscapeNull4_sw_L373_F_2/slice.log,
testEscapeNull5_sw_L382_F_3,org.apache.commons.csv.CSVPrinterTest::testEscapeNull5,org.apache.commons.csv.CSVPrinterTest,testEscapeNull5,sw,382,Virtual_Fail,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_failing/testEscapeNull5_sw_L382_F_3/slice.log,
testEscapeBackslash1_sw_L301_F_4,org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash1,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash1,sw,301,Virtual_Fail,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_failing/testEscapeBackslash1_sw_L301_F_4/slice.log,
testEscapeBackslash4_sw_L328_F_5,org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash4,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash4,sw,328,Virtual_Fail,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_failing/testEscapeBackslash4_sw_L328_F_5/slice.log,
testEscapeBackslash5_sw_L337_F_6,org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash5,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash5,sw,337,Virtual_Fail,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_failing/testEscapeBackslash5_sw_L337_F_6/slice.log,
testDelimeterQuoted_sw_L221_P_1,org.apache.commons.csv.CSVPrinterTest::testDelimeterQuoted,org.apache.commons.csv.CSVPrinterTest,testDelimeterQuoted,sw,221,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testDelimeterQuoted_sw_L221_P_1/slice.log,
testDelimeterQuoteNONE_sw_L232_P_2,org.apache.commons.csv.CSVPrinterTest::testDelimeterQuoteNONE,org.apache.commons.csv.CSVPrinterTest,testDelimeterQuoteNONE,sw,232,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testDelimeterQuoteNONE_sw_L232_P_2/slice.log,
testDelimiterEscaped_sw_L242_P_3,org.apache.commons.csv.CSVPrinterTest::testDelimiterEscaped,org.apache.commons.csv.CSVPrinterTest,testDelimiterEscaped,sw,242,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testDelimiterEscaped_sw_L242_P_3/slice.log,
testDelimiterPlain_sw_L252_P_4,org.apache.commons.csv.CSVPrinterTest::testDelimiterPlain,org.apache.commons.csv.CSVPrinterTest,testDelimiterPlain,sw,252,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testDelimiterPlain_sw_L252_P_4/slice.log,
testDisabledComment_sw_L261_P_5,org.apache.commons.csv.CSVPrinterTest::testDisabledComment,org.apache.commons.csv.CSVPrinterTest,testDisabledComment,sw,261,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testDisabledComment_sw_L261_P_5/slice.log,
testEOLEscaped_sw_L271_P_6,org.apache.commons.csv.CSVPrinterTest::testEOLEscaped,org.apache.commons.csv.CSVPrinterTest,testEOLEscaped,sw,271,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEOLEscaped_sw_L271_P_6/slice.log,
testEOLPlain_sw_L281_P_7,org.apache.commons.csv.CSVPrinterTest::testEOLPlain,org.apache.commons.csv.CSVPrinterTest,testEOLPlain,sw,281,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEOLPlain_sw_L281_P_7/slice.log,
testEOLQuoted_sw_L291_P_8,org.apache.commons.csv.CSVPrinterTest::testEOLQuoted,org.apache.commons.csv.CSVPrinterTest,testEOLQuoted,sw,291,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEOLQuoted_sw_L291_P_8/slice.log,
testEscapeBackslash2_sw_L310_P_9,org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash2,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash2,sw,310,Virtual_Pass,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEscapeBackslash2_sw_L310_P_9/slice.log,
testEscapeBackslash3_sw_L319_P_10,org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash3,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash3,sw,319,Virtual_Pass,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEscapeBackslash3_sw_L319_P_10/slice.log,
testEscapeNull2_sw_L355_P_11,org.apache.commons.csv.CSVPrinterTest::testEscapeNull2,org.apache.commons.csv.CSVPrinterTest,testEscapeNull2,sw,355,Virtual_Pass,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEscapeNull2_sw_L355_P_11/slice.log,
testEscapeNull3_sw_L364_P_12,org.apache.commons.csv.CSVPrinterTest::testEscapeNull3,org.apache.commons.csv.CSVPrinterTest,testEscapeNull3,sw,364,Virtual_Pass,30,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testEscapeNull3_sw_L364_P_12/slice.log,
testExcelPrintAllArrayOfArrays_sw_L390_P_13,org.apache.commons.csv.CSVPrinterTest::testExcelPrintAllArrayOfArrays,org.apache.commons.csv.CSVPrinterTest,testExcelPrintAllArrayOfArrays,sw,390,Virtual_Pass,7,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testExcelPrintAllArrayOfArrays_sw_L390_P_13/slice.log,
testExcelPrintAllArrayOfLists_sw_L400_P_14,org.apache.commons.csv.CSVPrinterTest::testExcelPrintAllArrayOfLists,org.apache.commons.csv.CSVPrinterTest,testExcelPrintAllArrayOfLists,sw,400,Virtual_Pass,7,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testExcelPrintAllArrayOfLists_sw_L400_P_14/slice.log,
testExcelPrintAllIterableOfArrays_sw_L409_P_15,org.apache.commons.csv.CSVPrinterTest::testExcelPrintAllIterableOfArrays,org.apache.commons.csv.CSVPrinterTest,testExcelPrintAllIterableOfArrays,sw,409,Virtual_Pass,7,/opt/resq/resQ_outputs/work/Csv_14b/step2_slicing/_slicer4j_passed/testExcelPrintAllIterableOfArrays_sw_L409_P_15/slice.log,
