test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.csv.CSVPrinterTest::testDelimeterQuoted,org.apache.commons.csv.CSVPrinterTest,testDelimeterQuoted,sw,231,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testDelimeterQuoteNONE,org.apache.commons.csv.CSVPrinterTest,testDelimeterQuoteNONE,sw,242,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testDelimiterEscaped,org.apache.commons.csv.CSVPrinterTest,testDelimiterEscaped,sw,252,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testDelimiterPlain,org.apache.commons.csv.CSVPrinterTest,testDelimiterPlain,sw,262,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testDisabledComment,org.apache.commons.csv.CSVPrinterTest,testDisabledComment,sw,271,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEOLEscaped,org.apache.commons.csv.CSVPrinterTest,testEOLEscaped,sw,281,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEOLPlain,org.apache.commons.csv.CSVPrinterTest,testEOLPlain,sw,291,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEOLQuoted,org.apache.commons.csv.CSVPrinterTest,testEOLQuoted,sw,301,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash1,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash1,sw,311,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash2,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash2,sw,320,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash3,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash3,sw,329,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash4,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash4,sw,338,Virtual_Pass
org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash5,org.apache.commons.csv.CSVPrinterTest,testEscapeBackslash5,sw,347,Virtual_Pass
