statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,0,21,0,0.213201
S2,1,0,21,0,0.213201
S3,1,0,20,1,0.218218
S4,1,0,21,0,0.213201
S5,1,0,21,0,0.213201
S6,1,0,21,0,0.213201
S7,1,0,21,0,0.213201
S8,1,0,21,0,0.213201
S9,1,0,21,0,0.213201
S10,1,0,20,1,0.218218
S11,1,0,20,1,0.218218
S12,1,0,21,0,0.213201
S13,1,0,21,0,0.213201
S14,1,0,21,0,0.213201
S15,1,0,21,0,0.213201
S16,1,0,21,0,0.213201
S17,1,0,21,0,0.213201
S18,1,0,21,0,0.213201
S19,1,0,21,0,0.213201
S20,1,0,21,0,0.213201
S21,1,0,21,0,0.213201
S22,0,1,2,19,0.0
S23,1,0,21,0,0.213201
S24,1,0,21,0,0.213201
S25,1,0,21,0,0.213201
S26,1,0,21,0,0.213201
S27,1,0,17,4,0.235702
S28,1,0,17,4,0.235702
S29,1,0,17,4,0.235702
S30,1,0,17,4,0.235702
S31,1,0,17,4,0.235702
S32,0,1,2,19,0.0
S33,0,1,2,19,0.0
S34,0,1,2,19,0.0
S35,0,1,2,19,0.0
S36,1,0,17,4,0.235702
S37,1,0,17,4,0.235702
S38,1,0,17,4,0.235702
S39,0,1,2,19,0.0
S40,1,0,17,4,0.235702
S41,0,1,2,19,0.0
S42,1,0,17,4,0.235702
S43,1,0,17,4,0.235702
S44,1,0,17,4,0.235702
S45,1,0,17,4,0.235702
S46,1,0,17,4,0.235702
S47,0,1,6,15,0.0
S48,0,1,6,15,0.0
S49,1,0,17,4,0.235702
S50,0,1,2,19,0.0
S51,1,0,17,4,0.235702
S52,1,0,17,4,0.235702
S53,1,0,13,8,0.267261
S54,0,1,2,19,0.0
S55,0,1,2,19,0.0
S56,0,1,2,19,0.0
S57,0,1,2,19,0.0
S58,0,1,2,19,0.0
S59,0,1,2,19,0.0
S60,0,1,2,19,0.0
S61,0,1,2,19,0.0
S62,0,1,2,19,0.0
S63,0,1,2,19,0.0
S64,1,0,21,0,0.213201
S65,1,0,21,0,0.213201
S66,1,0,21,0,0.213201
S67,1,0,21,0,0.213201
S68,1,0,21,0,0.213201
S69,1,0,21,0,0.213201
S70,1,0,19,2,0.223607
S71,1,0,18,3,0.229416
S72,1,0,17,4,0.235702
S73,1,0,17,4,0.235702
S74,1,0,17,4,0.235702
S75,0,1,2,19,0.0
S76,1,0,17,4,0.235702
S77,0,1,6,15,0.0
S78,0,1,6,15,0.0
S79,1,0,17,4,0.235702
S80,1,0,17,4,0.235702
S81,1,0,21,0,0.213201
S82,1,0,21,0,0.213201
S83,1,0,21,0,0.213201
S84,1,0,21,0,0.213201
S85,1,0,21,0,0.213201
S86,1,0,17,4,0.235702
S87,1,0,17,4,0.235702
S88,1,0,17,4,0.235702
S89,1,0,17,4,0.235702
S90,1,0,21,0,0.213201
S91,1,0,21,0,0.213201
S92,1,0,21,0,0.213201
S93,1,0,21,0,0.213201
S94,1,0,21,0,0.213201
S95,1,0,21,0,0.213201
S96,1,0,21,0,0.213201
S97,1,0,21,0,0.213201
S98,1,0,21,0,0.213201
S99,1,0,21,0,0.213201
S100,1,0,21,0,0.213201
S101,1,0,21,0,0.213201
S102,0,1,2,19,0.0
S103,0,1,7,14,0.0
S104,1,0,17,4,0.235702
S105,1,0,17,4,0.235702
S106,1,0,17,4,0.235702
S107,1,0,17,4,0.235702
S108,1,0,17,4,0.235702
S109,1,0,17,4,0.235702
S110,1,0,21,0,0.213201
S111,1,0,21,0,0.213201
S112,1,0,21,0,0.213201
S113,1,0,17,4,0.235702
S114,1,0,17,4,0.235702
S115,1,0,17,4,0.235702
S116,1,0,21,0,0.213201
S117,1,0,21,0,0.213201
S118,1,0,17,4,0.235702
S119,1,0,17,4,0.235702
