rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,CSVFormat.java,174,"public static final CSVFormat DEFAULT = new CSVFormat(COMMA, DOUBLE_QUOTE_CHAR, null, null, null,",1.0,103,103
1,S2,CSVFormat.java,300,this.delimiter = delimiter;,1.0,103,103
1,S3,CSVFormat.java,301,this.quoteChar = quoteChar;,1.0,103,103
1,S4,CSVFormat.java,304,this.escape = escape;,1.0,103,103
1,S5,CSVFormat.java,306,this.ignoreEmptyLines = ignoreEmptyLines;,1.0,103,103
1,S6,CSVFormat.java,308,this.nullString = nullString;,1.0,103,103
1,S7,CSVFormat.java,309,this.header = header == null ? null : header.clone();,1.0,103,103
1,S8,CSVFormat.java,405,return delimiter;,1.0,103,103
1,S9,CSVFormat.java,414,return escape;,1.0,103,103
1,S10,CSVFormat.java,423,return header != null ? header.clone() : null;,1.0,103,103
1,S11,CSVFormat.java,433,return ignoreEmptyLines;,1.0,103,103
1,S12,CSVFormat.java,460,return nullString;,1.0,103,103
1,S13,CSVFormat.java,469,return quoteChar;,1.0,103,103
1,S14,CSVFormat.java,753,"return new CSVFormat(delimiter, quoteChar, quotePolicy, commentStart, escape,",1.0,103,103
1,S15,CSVParser.java,173,"return new CSVParser(new StringReader(string), format);",1.0,103,103
1,S16,CSVParser.java,214,private final List<String> record = new ArrayList<String>();,1.0,103,103
1,S17,CSVParser.java,218,private final Token reusableToken = new Token();,1.0,103,103
1,S18,CSVParser.java,243,"this.lexer = new Lexer(format, new ExtendedBufferedReader(reader));",1.0,103,103
1,S19,CSVParser.java,244,this.headerMap = this.initializeHeader();,1.0,103,103
1,S20,CSVParser.java,248,final String input = this.reusableToken.content.toString();,1.0,103,103
1,S21,CSVParser.java,249,final String nullString = this.format.getNullString();,1.0,103,103
1,S22,CSVParser.java,250,if (nullString == null) {,1.0,103,103
1,S23,CSVParser.java,251,this.record.add(input);,1.0,103,103
1,S24,CSVParser.java,343,final String[] formatHeader = this.format.getHeader();,1.0,103,103
1,S25,CSVParser.java,344,if (formatHeader != null) {,1.0,103,103
1,S26,CSVParser.java,345,"hdrMap = new LinkedHashMap<String, Integer>();",1.0,103,103
