rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S320,CSVRecord.java,212,"return putIn(new HashMap<String, String>(values.length));",0.333333,1,1
2,S315,CSVRecord.java,180,"for (final Entry<String, Integer> entry : mapping.entrySet()) {",0.288675,3,4
2,S316,CSVRecord.java,181,final int col = entry.getValue().intValue();,0.288675,3,4
2,S317,CSVRecord.java,182,"map.put(entry.getKey(), values[col]);",0.288675,3,4
5,S34,CSVFormat.java,496,return skipHeaderRecord;,0.258199,3,7
5,S110,CSVParser.java,355,if (this.format.getSkipHeaderRecord()) {,0.258199,3,7
5,S112,CSVParser.java,358,header = formatHeader;,0.258199,3,7
8,S130,CSVParser.java,416,next = this.getNextRecord();,0.218218,2,9
8,S131,CSVParser.java,417,if (next == null) {,0.218218,2,9
10,S46,CSVFormat.java,646,final Set<String> set = new HashSet<String>(header.length);,0.182574,10,19
10,S47,CSVFormat.java,647,set.addAll(Arrays.asList(header));,0.182574,10,19
10,S48,CSVFormat.java,648,if (set.size() != header.length) {,0.182574,10,19
10,S58,CSVFormat.java,753,"return new CSVFormat(delimiter, quoteChar, quotePolicy, commentStart, escape,",0.182574,10,19
10,S103,CSVParser.java,345,"hdrMap = new LinkedHashMap<String, Integer>();",0.182574,10,19
10,S104,CSVParser.java,347,String[] header = null;,0.182574,10,19
10,S105,CSVParser.java,348,if (formatHeader.length == 0) {,0.182574,10,19
10,S113,CSVParser.java,362,if (header != null) {,0.182574,10,19
10,S114,CSVParser.java,363,for (int i = 0; i < header.length; i++) {,0.182574,10,19
10,S115,CSVParser.java,364,"hdrMap.put(header[i], Integer.valueOf(i));",0.182574,10,19
20,S127,CSVParser.java,411,CSVRecord next = this.current;,0.154303,4,23
20,S128,CSVParser.java,412,this.current = null;,0.154303,4,23
20,S129,CSVParser.java,414,if (next == null) {,0.154303,4,23
20,S133,CSVParser.java,422,return next;,0.154303,4,23
24,S117,CSVParser.java,372,return this.lexer.isClosed();,0.149071,6,29
24,S118,CSVParser.java,384,return new Iterator<CSVRecord>() {,0.149071,6,29
24,S119,CSVParser.java,389,return CSVParser.this.nextRecord();,0.149071,6,29
24,S125,CSVParser.java,408,if (CSVParser.this.isClosed()) {,0.149071,6,29
24,S344,ExtendedBufferedReader.java,161,return closed;,0.149071,6,29
24,S456,Lexer.java,372,return reader.isClosed();,0.149071,6,29
30,S397,Lexer.java,192,token.type = EOF;,0.125988,3,32
30,S398,Lexer.java,193,token.isReady = true; // There is data at EOF,0.125988,3,32
30,S399,Lexer.java,194,break;,0.125988,3,32
33,S146,CSVParser.java,454,this.addRecordValue();,0.117851,1,33
34,S73,CSVParser.java,173,"return new CSVParser(new StringReader(string), format);",0.102062,1,34
35,S72,CSVParser.java,171,"Assertions.notNull(format, ""format"");",0.100504,1,35
36,S71,CSVParser.java,170,"Assertions.notNull(string, ""string"");",0.099015,3,38
36,S401,Lexer.java,196,token.type = TOKEN;,0.099015,3,38
36,S402,Lexer.java,197,break;,0.099015,3,38
39,S141,CSVParser.java,447,this.addRecordValue();,0.09759,2,40
39,S142,CSVParser.java,448,break;,0.09759,2,40
41,S145,CSVParser.java,453,if (this.reusableToken.isReady) {,0.09245,2,42
41,S360,Lexer.java,97,while (eol && isStartOfLine(lastChar)) {,0.09245,2,42
43,S89,CSVParser.java,251,this.record.add(input);,0.091287,11,53
43,S388,Lexer.java,152,} else if (isEndOfFile(c)) {,0.091287,11,53
43,S391,Lexer.java,160,"parseSimpleToken(token, c);",0.091287,11,53
43,S393,Lexer.java,188,if (readEndOfLine(ch)) {,0.091287,11,53
43,S396,Lexer.java,191,} else if (isEndOfFile(ch)) {,0.091287,11,53
43,S400,Lexer.java,195,} else if (isDelimiter(ch)) {,0.091287,11,53
43,S403,Lexer.java,198,} else if (isEscape(ch)) {,0.091287,11,53
43,S410,Lexer.java,207,token.content.append((char) ch);,0.091287,11,53
43,S411,Lexer.java,208,ch = reader.read(); // continue,0.091287,11,53
43,S412,Lexer.java,212,if (ignoreSurroundingSpaces) {,0.091287,11,53
43,S414,Lexer.java,216,return token;,0.091287,11,53
54,S86,CSVParser.java,248,final String input = this.reusableToken.content.toString();,0.090167,17,70
54,S87,CSVParser.java,249,final String nullString = this.format.getNullString();,0.090167,17,70
54,S88,CSVParser.java,250,if (nullString == null) {,0.090167,17,70
54,S155,CSVParser.java,474,this.recordNumber++;,0.090167,17,70
54,S156,CSVParser.java,475,final String comment = sb == null ? null : sb.toString();,0.090167,17,70
54,S157,CSVParser.java,476,"result = new CSVRecord(this.record.toArray(new String[this.record.size()]), this.headerMap, comment,",0.090167,17,70
54,S370,Lexer.java,118,if (isStartOfLine(lastChar) && isCommentStart(c)) {,0.090167,17,70
54,S377,Lexer.java,132,while (token.type == INVALID) {,0.090167,17,70
54,S378,Lexer.java,134,if (ignoreSurroundingSpaces) {,0.090167,17,70
54,S382,Lexer.java,142,if (isDelimiter(c)) {,0.090167,17,70
54,S384,Lexer.java,145,} else if (eol) {,0.090167,17,70
54,S386,Lexer.java,149,} else if (isQuoteChar(c)) {,0.090167,17,70
54,S392,Lexer.java,163,return token;,0.090167,17,70
54,S458,Lexer.java,389,return ch == LF || ch == CR || ch == UNDEFINED;,0.090167,17,70
54,S461,Lexer.java,404,return ch == escape;,0.090167,17,70
54,S462,Lexer.java,408,return ch == quoteChar;,0.090167,17,70
54,S463,Lexer.java,412,return ch == commentStart;,0.090167,17,70
71,S30,CSVFormat.java,460,return nullString;,0.088045,27,97
71,S135,CSVParser.java,439,CSVRecord result = null;,0.088045,27,97
71,S136,CSVParser.java,440,this.record.clear();,0.088045,27,97
71,S137,CSVParser.java,441,StringBuilder sb = null;,0.088045,27,97
71,S138,CSVParser.java,443,this.reusableToken.reset();,0.088045,27,97
71,S139,CSVParser.java,444,this.lexer.nextToken(this.reusableToken);,0.088045,27,97
71,S140,CSVParser.java,445,switch (this.reusableToken.type) {,0.088045,27,97
71,S153,CSVParser.java,471,} while (this.reusableToken.type == TOKEN);,0.088045,27,97
71,S154,CSVParser.java,473,if (!this.record.isEmpty()) {,0.088045,27,97
71,S158,CSVParser.java,479,return result;,0.088045,27,97
71,S326,ExtendedBufferedReader.java,56,final int current = super.read();,0.088045,27,97
71,S327,ExtendedBufferedReader.java,57,if (current == CR || (current == LF && lastChar != CR)) {,0.088045,27,97
71,S329,ExtendedBufferedReader.java,60,lastChar = current;,0.088045,27,97
71,S330,ExtendedBufferedReader.java,61,return lastChar;,0.088045,27,97
71,S331,ExtendedBufferedReader.java,73,return lastChar;,0.088045,27,97
71,S356,Lexer.java,85,int lastChar = reader.getLastChar();,0.088045,27,97
71,S357,Lexer.java,88,int c = reader.read();,0.088045,27,97
71,S358,Lexer.java,93,boolean eol = readEndOfLine(c);,0.088045,27,97
71,S359,Lexer.java,96,if (ignoreEmptyLines) {,0.088045,27,97
71,S367,Lexer.java,112,if (isEndOfFile(lastChar) || (!isDelimiter(lastChar) && isEndOfFile(c))) {,0.088045,27,97
71,S453,Lexer.java,364,if (ch == CR && reader.lookAhead() == LF) {,0.088045,27,97
71,S455,Lexer.java,368,return ch == LF || ch == CR;,0.088045,27,97
71,S459,Lexer.java,396,return ch == END_OF_STREAM;,0.088045,27,97
71,S460,Lexer.java,400,return ch == delimiter;,0.088045,27,97
71,S480,Token.java,61,content.setLength(0);,0.088045,27,97
71,S481,Token.java,62,type = INVALID;,0.088045,27,97
71,S482,Token.java,63,isReady = false;,0.088045,27,97
98,S27,CSVFormat.java,423,return header != null ? header.clone() : null;,0.087039,23,120
98,S28,CSVFormat.java,433,return ignoreEmptyLines;,0.087039,23,120
98,S29,CSVFormat.java,443,return ignoreSurroundingSpaces;,0.087039,23,120
98,S82,CSVParser.java,241,format.validate();,0.087039,23,120
98,S83,CSVParser.java,242,this.format = format;,0.087039,23,120
98,S84,CSVParser.java,243,"this.lexer = new Lexer(format, new ExtendedBufferedReader(reader));",0.087039,23,120
98,S85,CSVParser.java,244,this.headerMap = this.initializeHeader();,0.087039,23,120
98,S100,CSVParser.java,342,"Map<String, Integer> hdrMap = null;",0.087039,23,120
98,S101,CSVParser.java,343,final String[] formatHeader = this.format.getHeader();,0.087039,23,120
98,S102,CSVParser.java,344,if (formatHeader != null) {,0.087039,23,120
98,S116,CSVParser.java,368,return hdrMap;,0.087039,23,120
98,S323,ExtendedBufferedReader.java,40,private int lastChar = UNDEFINED;,0.087039,23,120
98,S324,ExtendedBufferedReader.java,43,private long eolCounter = 0;,0.087039,23,120
98,S325,ExtendedBufferedReader.java,51,super(reader);,0.087039,23,120
98,S348,Lexer.java,61,"Lexer(final CSVFormat format, final ExtendedBufferedReader reader) {",0.087039,23,120
98,S349,Lexer.java,62,this.reader = reader;,0.087039,23,120
98,S350,Lexer.java,63,this.delimiter = format.getDelimiter();,0.087039,23,120
98,S351,Lexer.java,64,this.escape = mapNullToDisabled(format.getEscape());,0.087039,23,120
98,S352,Lexer.java,65,this.quoteChar = mapNullToDisabled(format.getQuoteChar());,0.087039,23,120
98,S353,Lexer.java,66,this.commentStart = mapNullToDisabled(format.getCommentStart());,0.087039,23,120
98,S354,Lexer.java,67,this.ignoreSurroundingSpaces = format.getIgnoreSurroundingSpaces();,0.087039,23,120
98,S355,Lexer.java,68,this.ignoreEmptyLines = format.getIgnoreEmptyLines();,0.087039,23,120
98,S438,Lexer.java,291,return c == null ? DISABLED : c.charValue();,0.087039,23,120
121,S81,CSVParser.java,239,"Assertions.notNull(format, ""format"");",0.086066,1,121
122,S24,CSVFormat.java,396,return commentStart;,0.085126,14,135
122,S77,CSVParser.java,214,private final List<String> record = new ArrayList<String>();,0.085126,14,135
122,S78,CSVParser.java,218,private final Token reusableToken = new Token();,0.085126,14,135
122,S79,CSVParser.java,237,"public CSVParser(final Reader reader, final CSVFormat format) throws IOException {",0.085126,14,135
122,S80,CSVParser.java,238,"Assertions.notNull(reader, ""reader"");",0.085126,14,135
122,S471,Token.java,29,final class Token {,0.085126,14,135
122,S472,Token.java,34,enum Type {,0.085126,14,135
122,S473,Token.java,36,"INVALID,",0.085126,14,135
122,S474,Token.java,39,"TOKEN,",0.085126,14,135
122,S475,Token.java,42,"EOF,",0.085126,14,135
122,S476,Token.java,45,"EORECORD,",0.085126,14,135
122,S477,Token.java,48,COMMENT,0.085126,14,135
122,S478,Token.java,52,Token.Type type = INVALID;,0.085126,14,135
122,S479,Token.java,55,final StringBuilder content = new StringBuilder(INITIAL_TOKEN_LENGTH);,0.085126,14,135
136,S26,CSVFormat.java,414,return escape;,0.083333,1,136
137,S294,CSVRecord.java,35,private static final String[] EMPTY_STRING_ARRAY = new String[0];,0.077152,6,142
137,S295,CSVRecord.java,52,"final String comment, final long recordNumber) {",0.077152,6,142
137,S296,CSVRecord.java,53,this.recordNumber = recordNumber;,0.077152,6,142
137,S297,CSVRecord.java,54,this.values = values != null ? values : EMPTY_STRING_ARRAY;,0.077152,6,142
137,S298,CSVRecord.java,55,this.mapping = mapping;,0.077152,6,142
137,S299,CSVRecord.java,56,this.comment = comment;,0.077152,6,142
143,S31,CSVFormat.java,469,return quoteChar;,0.070014,1,143
144,S466,Quote.java,24,public enum Quote {,0.068041,5,148
144,S467,Quote.java,29,"ALL,",0.068041,5,148
144,S468,Quote.java,35,"MINIMAL,",0.068041,5,148
144,S469,Quote.java,40,"NON_NUMERIC,",0.068041,5,148
144,S470,Quote.java,47,NONE,0.068041,5,148
149,S25,CSVFormat.java,405,return delimiter;,0.067116,1,149
150,S39,CSVFormat.java,616,if (quoteChar != null && delimiter == quoteChar.charValue()) {,0.065795,7,156
150,S40,CSVFormat.java,621,if (escape != null && delimiter == escape.charValue()) {,0.065795,7,156
