statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,5,72,90,0.047782
S2,1,5,72,90,0.047782
S3,1,5,68,94,0.049147
S4,1,5,68,94,0.049147
S5,0,6,23,139,0.0
S6,1,5,59,103,0.052705
S7,0,6,2,160,0.0
S8,0,6,2,160,0.0
S9,1,5,63,99,0.051031
S10,1,5,116,46,0.037743
S11,1,5,116,46,0.037743
S12,1,5,112,50,0.038405
S13,1,5,112,50,0.038405
S14,0,6,37,125,0.0
S15,1,5,99,63,0.040825
S16,0,6,2,160,0.0
S17,0,6,2,160,0.0
S18,0,6,2,160,0.0
S19,1,5,102,60,0.040226
S20,1,5,121,41,0.036961
S21,1,5,121,41,0.036961
S22,1,5,117,45,0.037582
S23,1,5,117,45,0.037582
S24,0,6,14,148,0.0
S25,1,5,117,45,0.037582
S26,0,6,2,160,0.0
S27,0,6,2,160,0.0
S28,1,5,121,41,0.036961
S29,1,5,72,90,0.047782
S30,1,5,72,90,0.047782
S31,1,5,68,94,0.049147
S32,1,5,68,94,0.049147
S33,0,6,2,160,0.0
S34,1,5,70,92,0.04845
S35,0,6,15,147,0.0
S36,6,0,144,18,0.2
S37,6,0,144,18,0.2
S38,6,0,144,18,0.2
S39,6,0,144,18,0.2
S40,6,0,144,18,0.2
S41,0,6,15,147,0.0
S42,0,6,15,147,0.0
S43,0,6,15,147,0.0
S44,0,6,15,147,0.0
S45,0,6,15,147,0.0
S46,0,6,15,147,0.0
S47,0,6,15,147,0.0
S48,0,6,9,153,0.0
S49,0,6,15,147,0.0
S50,0,6,15,147,0.0
S51,0,6,15,147,0.0
S52,0,6,15,147,0.0
S53,0,6,15,147,0.0
S54,0,6,15,147,0.0
S55,0,6,4,158,0.0
S56,0,6,13,149,0.0
S57,0,6,15,147,0.0
S58,0,6,6,156,0.0
S59,0,6,6,156,0.0
S60,0,6,4,158,0.0
S61,0,6,6,156,0.0
S62,0,6,6,156,0.0
S63,0,6,6,156,0.0
S64,0,6,6,156,0.0
S65,0,6,6,156,0.0
S66,0,6,6,156,0.0
S67,0,6,6,156,0.0
S68,0,6,6,156,0.0
S69,0,6,6,156,0.0
S70,0,6,11,151,0.0
S71,0,6,11,151,0.0
S72,0,6,11,151,0.0
S73,0,6,11,151,0.0
S74,0,6,11,151,0.0
S75,0,6,11,151,0.0
S76,0,6,11,151,0.0
S77,0,6,4,158,0.0
S78,0,6,4,158,0.0
S79,0,6,4,158,0.0
S80,0,6,4,158,0.0
S81,0,6,4,158,0.0
S82,0,6,4,158,0.0
S83,0,6,3,159,0.0
S84,0,6,3,159,0.0
S85,0,6,3,159,0.0
S86,0,6,3,159,0.0
S87,0,6,3,159,0.0
S88,0,6,3,159,0.0
S89,0,6,1,161,0.0
S90,0,6,1,161,0.0
S91,0,6,1,161,0.0
S92,0,6,1,161,0.0
S93,0,6,15,147,0.0
S94,6,0,144,18,0.2
S95,6,0,144,18,0.2
S96,6,0,144,18,0.2
S97,6,0,144,18,0.2
S98,6,0,144,18,0.2
S99,6,0,144,18,0.2
S100,6,0,144,18,0.2
S101,6,0,144,18,0.2
S102,0,6,15,147,0.0
S103,0,6,13,149,0.0
S104,0,6,13,149,0.0
S105,0,6,13,149,0.0
S106,0,6,13,149,0.0
S107,0,6,13,149,0.0
S108,0,6,13,149,0.0
S109,0,6,13,149,0.0
S110,0,6,13,149,0.0
S111,0,6,19,143,0.0
S112,0,6,19,143,0.0
S113,0,6,19,143,0.0
S114,0,6,19,143,0.0
S115,0,6,19,143,0.0
S116,0,6,19,143,0.0
S117,0,6,19,143,0.0
S118,0,6,19,143,0.0
S119,0,6,19,143,0.0
S120,0,6,13,149,0.0
S121,0,6,9,153,0.0
S122,0,6,12,150,0.0
S123,0,6,12,150,0.0
S124,0,6,81,81,0.0
S125,6,0,161,1,0.189547
S126,6,0,161,1,0.189547
S127,6,0,161,1,0.189547
S128,6,0,161,1,0.189547
S129,6,0,161,1,0.189547
S130,6,0,161,1,0.189547
S131,6,0,161,1,0.189547
S132,6,0,161,1,0.189547
S133,6,0,161,1,0.189547
S134,6,0,161,1,0.189547
S135,6,0,161,1,0.189547
S136,6,0,161,1,0.189547
S137,0,6,22,140,0.0
S138,0,6,100,62,0.0
S139,0,6,100,62,0.0
S140,0,6,100,62,0.0
S141,0,6,100,62,0.0
S142,0,6,100,62,0.0
S143,0,6,100,62,0.0
S144,0,6,100,62,0.0
S145,0,6,100,62,0.0
S146,0,6,100,62,0.0
S147,0,6,5,157,0.0
S148,0,6,1,161,0.0
S149,0,6,1,161,0.0
S150,0,6,19,143,0.0
S151,0,6,19,143,0.0
S152,0,6,3,159,0.0
S153,0,6,19,143,0.0
S154,0,6,19,143,0.0
S155,0,6,92,70,0.0
S156,0,6,92,70,0.0
S157,0,6,92,70,0.0
S158,0,6,92,70,0.0
S159,0,6,99,63,0.0
S160,0,6,99,63,0.0
S161,0,6,99,63,0.0
S162,0,6,99,63,0.0
S163,0,6,99,63,0.0
S164,0,6,82,80,0.0
S165,0,6,2,160,0.0
S166,0,6,4,158,0.0
S167,0,6,40,122,0.0
S168,0,6,40,122,0.0
S169,0,6,40,122,0.0
S170,0,6,40,122,0.0
S171,0,6,40,122,0.0
S172,0,6,40,122,0.0
S173,0,6,40,122,0.0
S174,0,6,40,122,0.0
S175,0,6,2,160,0.0
S176,0,6,100,62,0.0
S177,0,6,100,62,0.0
S178,0,6,100,62,0.0
S179,0,6,100,62,0.0
S180,0,6,100,62,0.0
S181,0,6,100,62,0.0
S182,0,6,100,62,0.0
S183,0,6,100,62,0.0
S184,0,6,4,158,0.0
S185,0,6,4,158,0.0
S186,0,6,4,158,0.0
S187,0,6,42,120,0.0
S188,0,6,42,120,0.0
S189,0,6,100,62,0.0
S190,0,6,95,67,0.0
S191,0,6,1,161,0.0
S192,0,6,1,161,0.0
S193,0,6,94,68,0.0
S194,0,6,82,80,0.0
S195,0,6,49,113,0.0
S196,0,6,49,113,0.0
S197,0,6,49,113,0.0
S198,0,6,82,80,0.0
S199,0,6,28,134,0.0
S200,0,6,28,134,0.0
S201,0,6,28,134,0.0
S202,0,6,81,81,0.0
