rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,DefaultXmlPrettyPrinter.java,106,public DefaultXmlPrettyPrinter() { },1.0,54,54
1,S2,FromXmlParser.java,50,EMPTY_ELEMENT_AS_NULL(true),1.0,54,54
1,S3,FromXmlParser.java,62,int flags = 0;,1.0,54,54
1,S4,FromXmlParser.java,64,if (f.enabledByDefault()) {,1.0,54,54
1,S5,FromXmlParser.java,65,flags |= f.getMask();,1.0,54,54
1,S6,FromXmlParser.java,68,return flags;,1.0,54,54
1,S7,FromXmlParser.java,71,private Feature(boolean defaultState) {,1.0,54,54
1,S8,FromXmlParser.java,72,_defaultState = defaultState;,1.0,54,54
1,S9,FromXmlParser.java,73,_mask = (1 << ordinal());,1.0,54,54
1,S10,FromXmlParser.java,76,@Override public boolean enabledByDefault() { return _defaultState; },1.0,54,54
1,S11,FromXmlParser.java,77,@Override public int getMask() { return _mask; },1.0,54,54
1,S12,JacksonXmlModule.java,31,protected boolean _cfgDefaultUseWrapper = JacksonXmlAnnotationIntrospector.DEFAULT_USE_WRAPPER;,1.0,54,54
1,S13,JacksonXmlModule.java,41,protected String _cfgNameForTextElement = FromXmlParser.DEFAULT_UNNAMED_TEXT_PROPERTY;,1.0,54,54
1,S14,JacksonXmlModule.java,51,"super(""JacksonXmlModule"", PackageVersion.VERSION);",1.0,54,54
1,S15,JacksonXmlModule.java,52,XmlStringDeserializer deser = new XmlStringDeserializer();,1.0,54,54
1,S16,JacksonXmlModule.java,53,"addDeserializer(String.class, deser);",1.0,54,54
1,S17,PackageVersion.java,13,public final static Version VERSION = VersionUtil.parseVersion(,1.0,54,54
1,S18,ToXmlGenerator.java,71,int flags = 0;,1.0,54,54
1,S19,ToXmlGenerator.java,77,return flags;,1.0,54,54
1,S20,XmlFactory.java,43,final static int DEFAULT_XML_PARSER_FEATURE_FLAGS = FromXmlParser.Feature.collectDefaults();,1.0,54,54
1,S21,XmlFactory.java,49,final static int DEFAULT_XML_GENERATOR_FEATURE_FLAGS = ToXmlGenerator.Feature.collectDefaults();,1.0,54,54
1,S22,XmlFactory.java,84,"public XmlFactory() { this(null, null, null); }",1.0,54,54
1,S23,XmlFactory.java,100,"this(oc, DEFAULT_XML_PARSER_FEATURE_FLAGS, DEFAULT_XML_GENERATOR_FEATURE_FLAGS,",1.0,54,54
1,S24,XmlFactory.java,108,super(oc);,1.0,54,54
1,S25,XmlFactory.java,109,_xmlParserFeatures = xpFeatures;,1.0,54,54
1,S26,XmlFactory.java,110,_xmlGeneratorFeatures = xgFeatures;,1.0,54,54
1,S27,XmlFactory.java,111,_cfgNameForTextElement = nameForTextElem;,1.0,54,54
1,S28,XmlFactory.java,112,if (xmlIn == null) {,1.0,54,54
1,S29,XmlFactory.java,113,xmlIn = XMLInputFactory.newInstance();,1.0,54,54
1,S30,XmlFactory.java,119,if (xmlOut == null) {,1.0,54,54
1,S31,XmlFactory.java,120,xmlOut = XMLOutputFactory.newInstance();,1.0,54,54
1,S32,XmlFactory.java,122,"_initFactories(xmlIn, xmlOut);",1.0,54,54
1,S33,XmlFactory.java,123,_xmlInputFactory = xmlIn;,1.0,54,54
1,S34,XmlFactory.java,124,_xmlOutputFactory = xmlOut;,1.0,54,54
1,S35,XmlFactory.java,143,"xmlOut.setProperty(XMLOutputFactory.IS_REPAIRING_NAMESPACES, Boolean.TRUE);",1.0,54,54
1,S36,XmlFactory.java,145,"xmlIn.setProperty(XMLInputFactory.IS_COALESCING, Boolean.TRUE);",1.0,54,54
1,S37,XmlMapper.java,35,protected final static JacksonXmlModule DEFAULT_XML_MODULE = new JacksonXmlModule();,1.0,54,54
1,S38,XmlMapper.java,37,protected final static DefaultXmlPrettyPrinter DEFAULT_XML_PRETTY_PRINTER = new DefaultXmlPrettyPrinter();,1.0,54,54
1,S39,XmlMapper.java,49,this(new XmlFactory());,1.0,54,54
1,S40,XmlMapper.java,67,"this(xmlFactory, DEFAULT_XML_MODULE);",1.0,54,54
1,S41,XmlMapper.java,79,"super(xmlFactory, new XmlSerializerProvider(new XmlRootNameLookup()), null);",1.0,54,54
1,S42,XmlMapper.java,80,_xmlModule = module;,1.0,54,54
1,S43,XmlMapper.java,82,if (module != null) {,1.0,54,54
1,S44,XmlMapper.java,83,registerModule(module);,1.0,54,54
1,S45,XmlMapper.java,86,_serializationConfig = _serializationConfig.withDefaultPrettyPrinter(DEFAULT_XML_PRETTY_PRINTER);,1.0,54,54
1,S46,XmlMapper.java,96,super(src);,1.0,54,54
1,S47,XmlMapper.java,97,_xmlModule = src._xmlModule;,1.0,54,54
1,S48,XmlMapper.java,103,_checkInvalidCopy(XmlMapper.class);,1.0,54,54
1,S49,XmlMapper.java,104,return new XmlMapper(this);,1.0,54,54
1,S50,XmlRootNameLookup.java,28,"protected final transient LRUMap<ClassKey,QName> _rootNames = new LRUMap<ClassKey,QName>(40, 200);",1.0,54,54
1,S51,XmlRootNameLookup.java,30,public XmlRootNameLookup() { },1.0,54,54
1,S52,XmlSerializerProvider.java,41,super();,1.0,54,54
1,S53,XmlSerializerProvider.java,42,_rootNameLookup = rootNames;,1.0,54,54
1,S54,XmlStringDeserializer.java,23,public XmlStringDeserializer() { super(String.class); },1.0,54,54
