Project,BugID,Baseline_Time_(s),SBFL_Time_(s),Hybrid_Time_(s),Avg_Slice_Time_(s),Peak_Memory_(KB)
JacksonXml,1b,28.078,775.673,2882.449,13.292,1010200.0
JacksonXml,2b,19.676,624.352,2210.711,13.627,1311488.0
JacksonXml,3b,18.928,786.17,1445.155,14.773,1320048.0
JacksonXml,4b,19.663,800.024,2555.23,13.263,1176212.0
JacksonXml,5b,23.823,958.954,1298.541,10.711,1448736.0
JacksonXml,6b,24.826,1055.757,3366.25,14.368,1546896.0
Cli,1b,2.902,385.158,659.856,10.508,507376.0
Cli,2b,2.592,346.036,629.655,10.423,507756.0
Cli,3b,2.708,6.127,426.606,10.916,560976.0
Cli,4b,2.664,424.593,648.519,10.573,503912.0
Cli,5b,2.629,439.122,973.777,10.56,538820.0
Cli,7b,6.253,6.721,70.125,14.469,649412.0
Cli,8b,2.762,104.059,431.996,10.848,633944.0
Cli,9b,2.717,446.064,677.441,10.674,517320.0
Cli,10b,2.679,452.07,674.552,10.73,514960.0
Cli,11b,2.728,123.93,381.936,9.888,502476.0
Cli,12b,2.663,178.513,445.333,9.992,502708.0
Cli,13b,4.666,1531.292,2184.855,14.544,649896.0
Cli,14b,4.764,803.511,1532.521,14.459,664980.0
Cli,15b,4.684,1188.824,2052.637,14.244,653252.0
Cli,16b,4.852,1659.235,2721.143,14.709,680052.0
Cli,17b,2.846,491.119,710.109,10.051,504772.0
Cli,18b,2.762,495.993,721.755,9.494,499732.0
Cli,19b,2.714,500.835,733.394,10.119,499492.0
Cli,20b,2.831,505.631,729.197,10.109,503808.0
Cli,21b,4.839,1578.023,2601.698,14.647,677176.0
Cli,22b,2.783,470.352,1067.563,10.117,502564.0
Cli,23b,2.693,176.291,657.034,10.352,636060.0
Cli,24b,2.714,186.095,652.506,10.191,515352.0
Cli,25b,2.78,185.803,868.303,10.394,639864.0
Cli,26b,2.777,553.421,1040.559,10.367,513168.0
Cli,27b,2.94,455.889,921.598,10.621,522536.0
Cli,28b,2.973,687.733,2120.076,11.289,638140.0
Cli,29b,2.837,680.582,1088.566,11.004,521784.0
Cli,30b,2.848,679.263,1022.411,11.156,524696.0
Cli,31b,2.828,873.137,1494.327,11.089,531352.0
Cli,32b,2.882,232.792,347.094,10.955,515044.0
Cli,33b,2.862,238.094,716.648,10.985,529836.0
Cli,34b,2.851,908.413,2528.331,11.387,641028.0
Cli,35b,3.103,851.836,2045.072,12.215,640480.0
Cli,36b,3.303,795.324,1069.426,12.846,532908.0
Cli,37b,3.327,36.744,121.132,11.669,513292.0
Cli,38b,3.288,41.625,174.382,11.679,521092.0
Cli,39b,3.259,92.192,122.655,0.0,179696.0
Cli,40b,3.152,177.701,232.817,0.0,181280.0
Jsoup,6b,3.987,49.82,19195.227,153.019,1393876.0
Jsoup,7b,4.119,77.982,106.123,0.0,232188.0
Jsoup,8b,4.005,78.13,106.332,0.0,239308.0
Jsoup,9b,3.977,50.206,68.079,0.0,232640.0
Jsoup,10b,4.057,78.399,106.499,0.0,231240.0
Jsoup,11b,3.916,50.294,68.274,0.0,232540.0
Jsoup,12b,4.3,50.906,69.028,0.0,264396.0
Jsoup,13b,4.533,110.454,148.022,0.0,304624.0
Jsoup,14b,4.52,60.032,80.264,0.0,312736.0
Jsoup,15b,4.76,60.297,80.535,0.0,300436.0
Jsoup,16b,4.574,77.223,101.868,0.0,297892.0
Jsoup,17b,4.75,60.182,80.341,0.0,294240.0
Jsoup,18b,4.885,60.198,80.401,0.0,309872.0
Jsoup,20b,4.873,105.001,137.498,0.0,316848.0
Jsoup,21b,5.05,107.724,141.775,0.0,318796.0
Jsoup,22b,4.9,197.769,260.946,0.0,320576.0
Jsoup,23b,5.293,113.095,148.611,0.0,314608.0
Jsoup,24b,4.987,113.013,148.324,0.0,316560.0
Jsoup,25b,4.739,129.982,169.857,0.0,295724.0
Jsoup,27b,4.747,104.777,172.206,17.51,648852.0
Jsoup,28b,4.848,129.605,169.419,0.0,317264.0
Jsoup,29b,4.774,201.565,266.274,0.0,315640.0
Jsoup,31b,4.941,112.661,147.743,0.0,310544.0
Jsoup,32b,4.884,238.944,313.989,0.0,316756.0
Jsoup,33b,5.223,241.089,310.478,0.0,325756.0
Jsoup,34b,5.312,246.626,317.948,0.0,321320.0
Jsoup,35b,5.198,240.638,310.514,0.0,327108.0
Jsoup,36b,5.16,133.688,2402.562,14.563,707680.0
Jsoup,37b,5.393,401.297,522.548,0.0,327032.0
Jsoup,38b,5.379,269.462,346.878,0.0,333296.0
Jsoup,39b,5.304,133.646,173.484,0.0,327584.0
Jsoup,40b,5.236,287.112,406.746,18.879,648736.0
Jsoup,41b,6.468,522.997,756.158,25.299,722540.0
Jsoup,42b,5.54,330.623,423.646,0.0,332984.0
Jsoup,43b,5.555,599.503,776.627,0.0,338684.0
Jsoup,44b,5.636,413.619,527.541,0.0,342152.0
Jsoup,45b,5.553,418.183,534.029,0.0,333012.0
Jsoup,46b,5.628,441.052,562.303,0.0,340960.0
Jsoup,47b,5.395,441.032,562.721,0.0,339212.0
Jsoup,49b,5.742,665.429,986.17,17.487,701920.0
Jsoup,50b,5.673,263.524,3860.501,17.95,747588.0
Jsoup,51b,5.958,460.2,587.064,0.0,341372.0
Jsoup,52b,5.811,484.559,4510.883,17.202,745520.0
Jsoup,53b,5.746,449.681,574.759,0.0,341596.0
Jsoup,54b,5.941,26.039,303.46,19.043,712628.0
Jsoup,55b,6.129,498.586,637.613,0.0,342400.0
Jsoup,56b,6.21,515.734,658.793,0.0,330584.0
Jsoup,57b,6.29,551.356,3216.206,37.338,1494116.0
Jsoup,58b,6.278,537.069,684.173,0.0,332508.0
Jsoup,59b,6.218,540.096,690.244,0.0,332780.0
Jsoup,60b,6.272,511.217,652.187,0.0,337556.0
Jsoup,61b,6.165,840.629,1089.467,0.0,328956.0
Jsoup,62b,6.192,554.266,707.144,0.0,326876.0
Jsoup,63b,4.11,554.626,6491.034,35.543,1502104.0
Jsoup,64b,4.017,555.087,6476.287,35.445,1490692.0
Jsoup,65b,4.362,590.799,6736.28,35.586,1501264.0
