project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice,nearest_line_diff_trace,nearest_line_diff_slice,diff_best_trace,diff_tie_trace,diff_best_slice,diff_tie_slice,diff_reason_trace,diff_reason_slice,unanswerable_reason
JacksonXml,1b,FromXmlParser.java,510,258,21,None,None,0,-13,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,514,165,2,None,None,0,-17,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,550,1,4,None,None,0,-53,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,551,1,4,None,None,0,-54,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,552,1,4,None,None,0,-55,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,553,1,4,None,None,0,-56,already_found,already_found,5,62,succeed,succeed,
JacksonXml,2b,XmlTokenStream.java,62,None,None,None,None,6,6,312,8,5,121,succeed,succeed,dead_code_never_executed
JacksonXml,2b,XmlTokenStream.java,311,252,23,5,121,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
JacksonXml,2b,XmlTokenStream.java,325,252,23,5,121,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
JacksonXml,2b,XmlTokenStream.java,330,164,17,None,None,0,-4,already_found,already_found,5,121,succeed,succeed,
JacksonXml,2b,XmlTokenStream.java,333,320,848,None,None,0,-7,already_found,already_found,5,121,succeed,succeed,
JacksonXml,2b,XmlTokenStream.java,506,None,None,None,None,-7,-73,320,848,5,121,succeed,succeed,dead_code_never_executed
JacksonXml,3b,FromXmlParser.java,668,None,None,None,None,1,1,1,3,1,4,succeed,succeed,
JacksonXml,3b,FromXmlParser.java,671,1,3,None,None,0,-1,already_found,already_found,1,4,succeed,succeed,
JacksonXml,4b,XmlSerializerProvider.java,204,1,5,None,None,0,-162,already_found,already_found,5,49,succeed,succeed,
JacksonXml,4b,XmlSerializerProvider.java,205,1,5,None,None,0,-163,already_found,already_found,5,49,succeed,succeed,
JacksonXml,5b,XmlSerializerProvider.java,59,13,3,None,None,0,-17,already_found,already_found,1,54,succeed,succeed,
JacksonXml,6b,ToXmlGenerator.java,843,None,None,None,None,-8,-757,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,844,None,None,None,None,-9,-758,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,845,None,None,None,None,-10,-759,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,846,None,None,None,None,-11,-760,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,847,None,None,None,None,-12,-761,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,848,None,None,None,None,-13,-762,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,849,None,None,None,None,-14,-763,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,851,None,None,None,None,-16,-765,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,866,None,None,None,None,11,-780,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,867,None,None,None,None,10,-781,301,1034,5,61,succeed,succeed,dead_code_never_executed
Cli,1b,CommandLine.java,19,None,None,None,None,24,24,261,15,3,119,succeed,succeed,live_line_never_executed
Cli,1b,CommandLine.java,23,None,None,None,None,20,20,261,15,3,119,succeed,succeed,live_line_never_executed
Cli,1b,CommandLine.java,46,261,15,3,119,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
