Project,BugID,File,Line,Approx,Reason
JacksonXml,1b,FromXmlParser.java,512,True,dead_code_never_executed
JacksonXml,2b,XmlTokenStream.java,62,True,dead_code_never_executed
JacksonXml,2b,XmlTokenStream.java,324,True,dead_code_never_executed
JacksonXml,2b,XmlTokenStream.java,327,True,dead_code_never_executed
JacksonXml,2b,XmlTokenStream.java,340,True,dead_code_never_executed
JacksonXml,2b,XmlTokenStream.java,506,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,843,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,844,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,845,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,846,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,847,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,848,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,849,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,851,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,866,True,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,867,True,dead_code_never_executed
Cli,1b,CommandLine.java,19,False,live_line_never_executed
Cli,1b,CommandLine.java,23,False,live_line_never_executed
Cli,1b,CommandLine.java,153,False,live_line_never_executed
Cli,1b,CommandLine.java,155,False,live_line_never_executed
Cli,1b,CommandLine.java,169,True,dead_code_never_executed
Cli,1b,CommandLine.java,170,True,dead_code_never_executed
Cli,1b,CommandLine.java,280,False,live_line_never_executed
Cli,1b,CommandLine.java,281,False,live_line_never_executed
Cli,1b,CommandLine.java,282,False,live_line_never_executed
Cli,1b,CommandLine.java,283,False,live_line_never_executed
Cli,1b,CommandLine.java,284,False,live_line_never_executed
Cli,1b,CommandLine.java,286,False,live_line_never_executed
Cli,1b,CommandLine.java,308,False,live_line_never_executed
Cli,1b,CommandLine.java,316,False,live_line_never_executed
Cli,2b,PosixParser.java,309,False,live_line_never_executed
Cli,3b,TypeHandler.java,25,False,live_line_never_executed
Cli,7b,PatternBuilder.java,19,False,live_line_never_executed
Cli,7b,PatternBuilder.java,21,True,dead_code_never_executed
Cli,9b,Parser.java,320,True,dead_code_never_executed
Cli,10b,Parser.java,19,True,dead_code_never_executed
Cli,12b,GnuParser.java,84,True,dead_code_never_executed
Cli,13b,WriteableCommandLine.java,47,True,dead_code_never_executed
Cli,13b,WriteableCommandLineImpl.java,132,True,dead_code_never_executed
Cli,13b,WriteableCommandLineImpl.java,133,True,dead_code_never_executed
Cli,13b,WriteableCommandLineImpl.java,135,True,dead_code_never_executed
Cli,14b,GroupImpl.java,252,False,live_line_never_executed
Cli,14b,GroupImpl.java,261,True,dead_code_never_executed
Cli,15b,WriteableCommandLineImpl.java,124,False,live_line_never_executed
Cli,15b,WriteableCommandLineImpl.java,127,True,dead_code_never_executed
Cli,15b,WriteableCommandLineImpl.java,128,True,dead_code_never_executed
Cli,16b,Option.java,206,True,dead_code_never_executed
Cli,16b,Option.java,216,True,dead_code_never_executed
Cli,16b,WriteableCommandLineImpl.java,74,True,dead_code_never_executed
Cli,16b,GroupImpl.java,92,True,dead_code_never_executed
Cli,16b,OptionImpl.java,36,True,dead_code_never_executed
Cli,16b,OptionImpl.java,128,True,dead_code_never_executed
Cli,16b,OptionImpl.java,129,True,dead_code_never_executed
Cli,17b,PosixParser.java,303,True,dead_code_never_executed
Cli,18b,PosixParser.java,213,False,live_line_never_executed
Cli,18b,PosixParser.java,214,False,live_line_never_executed
Cli,18b,PosixParser.java,216,False,live_line_never_executed
Cli,18b,PosixParser.java,241,True,dead_code_never_executed
Cli,19b,PosixParser.java,239,True,dead_code_never_executed
Cli,21b,WriteableCommandLine.java,102,True,dead_code_never_executed
Cli,21b,WriteableCommandLine.java,110,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,51,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,63,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,65,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,66,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,234,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,235,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,243,True,dead_code_never_executed
Cli,21b,WriteableCommandLineImpl.java,246,True,dead_code_never_executed
Cli,21b,GroupImpl.java,514,True,dead_code_never_executed
Cli,22b,PosixParser.java,41,True,dead_code_never_executed
Cli,22b,PosixParser.java,116,False,live_line_never_executed
Cli,22b,PosixParser.java,120,True,dead_code_never_executed
Cli,22b,PosixParser.java,147,False,live_line_never_executed
Cli,22b,PosixParser.java,149,False,live_line_never_executed
Cli,22b,PosixParser.java,184,False,live_line_never_executed
Cli,22b,PosixParser.java,188,True,dead_code_never_executed
Cli,22b,PosixParser.java,211,True,dead_code_never_executed
Cli,22b,PosixParser.java,243,False,live_line_never_executed
Cli,23b,HelpFormatter.java,833,False,live_line_never_executed
Cli,23b,HelpFormatter.java,835,False,live_line_never_executed
Cli,24b,HelpFormatter.java,826,False,live_line_never_executed
Cli,26b,OptionBuilder.java,348,True,dead_code_never_executed
Cli,26b,OptionBuilder.java,359,True,dead_code_never_executed
Cli,26b,OptionBuilder.java,361,True,dead_code_never_executed
Cli,29b,Util.java,66,False,live_line_never_executed
Cli,29b,Util.java,68,False,live_line_never_executed
Cli,30b,DefaultParser.java,150,False,live_line_never_executed
Cli,30b,DefaultParser.java,152,False,live_line_never_executed
Cli,30b,DefaultParser.java,155,True,dead_code_never_executed
Cli,30b,DefaultParser.java,156,True,dead_code_never_executed
Cli,30b,Parser.java,268,True,dead_code_never_executed
Cli,30b,Parser.java,269,True,dead_code_never_executed
Cli,32b,HelpFormatter.java,937,False,live_line_never_executed
Cli,32b,HelpFormatter.java,939,False,live_line_never_executed
Cli,32b,HelpFormatter.java,941,False,live_line_never_executed
Cli,33b,HelpFormatter.java,900,True,dead_code_never_executed
Cli,33b,HelpFormatter.java,901,True,dead_code_never_executed
Cli,33b,HelpFormatter.java,902,True,dead_code_never_executed
Cli,34b,Option.java,72,False,live_line_never_executed
Cli,35b,Options.java,240,True,dead_code_never_executed
Cli,36b,OptionGroup.java,22,False,live_line_never_executed
Cli,36b,OptionGroup.java,24,True,dead_code_never_executed
Cli,36b,Options.java,24,False,live_line_never_executed
Cli,37b,DefaultParser.java,305,True,dead_code_never_executed
Cli,38b,DefaultParser.java,312,True,dead_code_never_executed
Cli,39b,TypeHandler.java,234,True,dead_code_never_executed
Jsoup,7b,Document.java,5,True,dead_code_never_executed
Jsoup,7b,Document.java,113,True,dead_code_never_executed
Jsoup,7b,Document.java,137,True,dead_code_never_executed
Jsoup,7b,Document.java,138,True,dead_code_never_executed
Jsoup,8b,Node.java,367,True,dead_code_never_executed
Jsoup,11b,Selector.java,110,True,dead_code_never_executed
Jsoup,11b,Selector.java,181,True,dead_code_never_executed
Jsoup,11b,Selector.java,305,True,dead_code_never_executed
Jsoup,11b,Selector.java,306,True,dead_code_never_executed
Jsoup,11b,Selector.java,399,True,dead_code_never_executed
Jsoup,12b,Selector.java,156,True,dead_code_never_executed
Jsoup,14b,Tokeniser.java,197,True,dead_code_never_executed
Jsoup,14b,TokeniserState.java,218,True,dead_code_never_executed
Jsoup,14b,TokeniserState.java,220,True,dead_code_never_executed
Jsoup,15b,TreeBuilderState.java,283,False,live_line_never_executed
Jsoup,16b,DocumentType.java,4,True,dead_code_never_executed
Jsoup,16b,DocumentType.java,33,False,live_line_never_executed
Jsoup,16b,DocumentType.java,37,False,live_line_never_executed
Jsoup,18b,CharacterReader.java,18,True,dead_code_never_executed
Jsoup,18b,CharacterReader.java,99,False,live_line_never_executed
Jsoup,20b,DataUtil.java,98,True,dead_code_never_executed
Jsoup,21b,CombiningEvaluator.java,64,True,dead_code_never_executed
Jsoup,21b,QueryParser.java,65,False,live_line_never_executed
Jsoup,21b,QueryParser.java,101,True,dead_code_never_executed
Jsoup,22b,Element.java,435,False,live_line_never_executed
Jsoup,22b,Element.java,434,True,dead_code_never_executed
Jsoup,22b,Element.java,447,True,dead_code_never_executed
Jsoup,22b,Element.java,462,True,dead_code_never_executed
Jsoup,22b,Node.java,445,False,live_line_never_executed
Jsoup,22b,Node.java,444,True,dead_code_never_executed
Jsoup,22b,Node.java,470,True,dead_code_never_executed
Jsoup,22b,Elements.java,22,True,dead_code_never_executed
Jsoup,23b,CharacterReader.java,118,True,dead_code_never_executed
Jsoup,23b,CharacterReader.java,119,True,dead_code_never_executed
Jsoup,24b,TokeniserState.java,558,False,live_line_never_executed
Jsoup,28b,Entities.java,3,True,dead_code_never_executed
Jsoup,28b,Entities.java,61,True,dead_code_never_executed
Jsoup,28b,Entities.java,103,False,live_line_never_executed
Jsoup,28b,Entities.java,104,False,live_line_never_executed
Jsoup,28b,Entities.java,105,False,live_line_never_executed
Jsoup,28b,Entities.java,106,False,live_line_never_executed
Jsoup,28b,Entities.java,107,False,live_line_never_executed
Jsoup,28b,Entities.java,108,False,live_line_never_executed
Jsoup,28b,Entities.java,109,False,live_line_never_executed
Jsoup,28b,Entities.java,110,False,live_line_never_executed
Jsoup,28b,Entities.java,111,False,live_line_never_executed
Jsoup,28b,Entities.java,112,False,live_line_never_executed
Jsoup,28b,Entities.java,113,False,live_line_never_executed
Jsoup,28b,Entities.java,114,False,live_line_never_executed
Jsoup,28b,Entities.java,115,False,live_line_never_executed
Jsoup,28b,Entities.java,116,False,live_line_never_executed
Jsoup,28b,Entities.java,117,False,live_line_never_executed
Jsoup,28b,Entities.java,118,False,live_line_never_executed
Jsoup,28b,Entities.java,119,False,live_line_never_executed
Jsoup,28b,Entities.java,120,False,live_line_never_executed
Jsoup,28b,Entities.java,121,False,live_line_never_executed
Jsoup,28b,Entities.java,122,False,live_line_never_executed
Jsoup,28b,Entities.java,123,False,live_line_never_executed
Jsoup,28b,Entities.java,124,False,live_line_never_executed
Jsoup,28b,Entities.java,125,False,live_line_never_executed
Jsoup,28b,Entities.java,126,False,live_line_never_executed
Jsoup,28b,Entities.java,127,False,live_line_never_executed
Jsoup,28b,Entities.java,128,False,live_line_never_executed
Jsoup,28b,Entities.java,129,False,live_line_never_executed
Jsoup,28b,Parser.java,133,True,dead_code_never_executed
Jsoup,28b,Tokeniser.java,143,False,live_line_never_executed
Jsoup,28b,Tokeniser.java,146,False,live_line_never_executed
Jsoup,28b,Tokeniser.java,147,False,live_line_never_executed
Jsoup,28b,Tokeniser.java,152,False,live_line_never_executed
Jsoup,28b,Tokeniser.java,238,True,dead_code_never_executed
Jsoup,29b,Document.java,3,True,dead_code_never_executed
Jsoup,31b,Token.java,171,True,dead_code_never_executed
Jsoup,34b,CharacterReader.java,91,False,live_line_never_executed
Jsoup,35b,HtmlTreeBuilderState.java,726,True,dead_code_never_executed
Jsoup,36b,DataUtil.java,10,True,dead_code_never_executed
Jsoup,36b,DataUtil.java,87,True,dead_code_never_executed
Jsoup,36b,DataUtil.java,164,True,dead_code_never_executed
Jsoup,36b,DataUtil.java,165,True,dead_code_never_executed
Jsoup,38b,HtmlTreeBuilderState.java,455,True,dead_code_never_executed
Jsoup,39b,DataUtil.java,119,True,dead_code_never_executed
Jsoup,42b,FormElement.java,80,True,dead_code_never_executed
Jsoup,42b,FormElement.java,99,False,live_line_never_executed
Jsoup,44b,TreeBuilder.java,65,True,dead_code_never_executed
Jsoup,47b,Entities.java,122,False,live_line_never_executed
Jsoup,49b,Node.java,445,True,dead_code_never_executed
Jsoup,50b,DataUtil.java,93,True,dead_code_never_executed
Jsoup,50b,DataUtil.java,127,False,live_line_never_executed
Jsoup,50b,DataUtil.java,128,False,live_line_never_executed
Jsoup,50b,DataUtil.java,129,False,live_line_never_executed
Jsoup,50b,DataUtil.java,130,False,live_line_never_executed
Jsoup,50b,DataUtil.java,131,False,live_line_never_executed
Jsoup,50b,DataUtil.java,132,False,live_line_never_executed
Jsoup,52b,DataUtil.java,112,False,live_line_never_executed
Jsoup,52b,DataUtil.java,115,False,live_line_never_executed
Jsoup,52b,DataUtil.java,118,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,52,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,56,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,58,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,59,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,60,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,61,False,live_line_never_executed
Jsoup,52b,XmlDeclaration.java,68,False,live_line_never_executed
Jsoup,52b,XmlTreeBuilder.java,3,True,dead_code_never_executed
Jsoup,53b,TokenQueue.java,265,True,dead_code_never_executed
Jsoup,55b,TokeniserState.java,883,True,dead_code_never_executed
Jsoup,56b,DocumentType.java,15,True,dead_code_never_executed
Jsoup,56b,DocumentType.java,39,True,dead_code_never_executed
Jsoup,56b,DocumentType.java,40,True,dead_code_never_executed
Jsoup,56b,HtmlTreeBuilderState.java,23,False,live_line_never_executed
Jsoup,56b,Token.java,56,True,dead_code_never_executed
Jsoup,56b,TokeniserState.java,1197,True,dead_code_never_executed
Jsoup,58b,Parser.java,129,True,dead_code_never_executed
Jsoup,58b,Cleaner.java,17,True,dead_code_never_executed
Jsoup,58b,Cleaner.java,81,True,dead_code_never_executed
Jsoup,59b,Token.java,107,True,dead_code_never_executed
Jsoup,59b,Token.java,116,True,dead_code_never_executed
Jsoup,60b,QueryParser.java,40,True,dead_code_never_executed
Jsoup,63b,HtmlTreeBuilder.java,229,False,live_line_never_executed
Jsoup,63b,HtmlTreeBuilder.java,232,False,live_line_never_executed
Jsoup,63b,Tokeniser.java,47,False,live_line_never_executed
Jsoup,63b,Tokeniser.java,124,False,live_line_never_executed
Jsoup,63b,Tokeniser.java,126,False,live_line_never_executed
Jsoup,64b,HtmlTreeBuilderState.java,1489,False,live_line_never_executed
Jsoup,64b,HtmlTreeBuilderState.java,1493,True,dead_code_never_executed
Jsoup,65b,HtmlTreeBuilder.java,360,False,live_line_never_executed
Jsoup,65b,HtmlTreeBuilder.java,364,False,live_line_never_executed
Jsoup,65b,HtmlTreeBuilderState.java,1036,False,live_line_never_executed
Jsoup,65b,HtmlTreeBuilderState.java,1096,False,live_line_never_executed
Jsoup,66b,Element.java,1408,False,live_line_never_executed
Jsoup,66b,Element.java,1411,True,dead_code_never_executed
Jsoup,67b,HtmlTreeBuilder.java,42,True,dead_code_never_executed
Jsoup,68b,HtmlTreeBuilder.java,470,False,live_line_never_executed
Jsoup,68b,HtmlTreeBuilder.java,471,False,live_line_never_executed
Jsoup,69b,FormElement.java,49,True,dead_code_never_executed
Jsoup,70b,Element.java,1093,False,live_line_never_executed
Jsoup,71b,Evaluator.java,9,True,dead_code_never_executed
Jsoup,71b,Evaluator.java,754,True,dead_code_never_executed
Jsoup,71b,Evaluator.java,755,True,dead_code_never_executed
Jsoup,71b,Evaluator.java,756,True,dead_code_never_executed
Jsoup,71b,QueryParser.java,203,True,dead_code_never_executed
Jsoup,72b,CharacterReader.java,427,True,dead_code_never_executed
Jsoup,73b,W3CDom.java,22,True,dead_code_never_executed
Jsoup,73b,W3CDom.java,78,True,dead_code_never_executed
Jsoup,73b,W3CDom.java,116,True,dead_code_never_executed
Jsoup,74b,StringUtil.java,131,True,dead_code_never_executed
Jsoup,74b,StringUtil.java,132,True,dead_code_never_executed
Jsoup,74b,StringUtil.java,165,False,live_line_never_executed
Jsoup,78b,DataUtil.java,3,True,dead_code_never_executed
Jsoup,78b,DataUtil.java,152,True,dead_code_never_executed
Jsoup,79b,LeafNode.java,5,True,dead_code_never_executed
Jsoup,79b,LeafNode.java,8,True,dead_code_never_executed
Jsoup,79b,LeafNode.java,94,False,live_line_never_executed
Jsoup,80b,XmlTreeBuilder.java,94,True,dead_code_never_executed
Jsoup,81b,DataUtil.java,5,True,dead_code_never_executed
Jsoup,82b,DataUtil.java,171,True,dead_code_never_executed
Jsoup,82b,DataUtil.java,172,True,dead_code_never_executed
Jsoup,83b,TokeniserState.java,161,True,dead_code_never_executed
Jsoup,83b,TokeniserState.java,564,True,dead_code_never_executed
Jsoup,83b,TokeniserState.java,581,False,live_line_never_executed
Jsoup,87b,Element.java,140,True,dead_code_never_executed
Jsoup,87b,HtmlTreeBuilder.java,355,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilder.java,570,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilder.java,649,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,339,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,353,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,399,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,531,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,538,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,633,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,745,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,887,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1007,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1018,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1244,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1246,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1269,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1271,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1296,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1383,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1388,False,live_line_never_executed
Jsoup,87b,HtmlTreeBuilderState.java,1393,False,live_line_never_executed
Jsoup,87b,Tag.java,4,True,dead_code_never_executed
Jsoup,87b,Tag.java,28,True,dead_code_never_executed
Jsoup,87b,Tag.java,43,True,dead_code_never_executed
Jsoup,90b,HttpConnection.java,424,True,dead_code_never_executed
Jsoup,91b,UncheckedIOException.java,10,True,dead_code_never_executed
Jsoup,91b,CharacterReader.java,37,True,dead_code_never_executed
Jsoup,91b,CharacterReader.java,452,True,dead_code_never_executed
Jsoup,91b,CharacterReader.java,457,True,dead_code_never_executed
Jsoup,91b,CharacterReader.java,458,True,dead_code_never_executed
Jsoup,91b,CharacterReader.java,459,True,dead_code_never_executed
Jsoup,92b,Attributes.java,6,True,dead_code_never_executed
Jsoup,92b,Attributes.java,118,False,live_line_never_executed
Jsoup,92b,Attributes.java,123,True,dead_code_never_executed
Jsoup,92b,Attributes.java,239,True,dead_code_never_executed
Jsoup,92b,Attributes.java,397,True,dead_code_never_executed
Jsoup,92b,HtmlTreeBuilder.java,199,True,dead_code_never_executed
Jsoup,92b,ParseSettings.java,38,True,dead_code_never_executed
Jsoup,92b,XmlTreeBuilder.java,78,True,dead_code_never_executed
Jsoup,93b,FormElement.java,89,True,dead_code_never_executed
