statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,1,7,0,0.25
S2,1,1,7,0,0.25
S3,1,1,7,0,0.25
S4,1,1,7,0,0.25
S5,0,2,3,4,0.0
S6,1,1,7,0,0.25
S7,1,1,7,0,0.25
S8,1,1,7,0,0.25
S9,1,1,7,0,0.25
S10,1,1,7,0,0.25
S11,1,1,7,0,0.25
S12,1,1,7,0,0.25
S13,1,1,7,0,0.25
S14,1,1,7,0,0.25
S15,1,1,7,0,0.25
S16,1,1,7,0,0.25
S17,1,1,7,0,0.25
S18,1,1,7,0,0.25
S19,1,1,7,0,0.25
S20,1,1,7,0,0.25
S21,1,1,7,0,0.25
S22,1,1,7,0,0.25
S23,1,1,7,0,0.25
S24,1,1,7,0,0.25
S25,1,1,4,3,0.316228
S26,1,1,4,3,0.316228
S27,1,1,4,3,0.316228
S28,1,1,4,3,0.316228
S29,0,2,3,4,0.0
S30,0,2,3,4,0.0
S31,1,1,7,0,0.25
S32,1,1,7,0,0.25
S33,1,1,7,0,0.25
S34,1,1,7,0,0.25
S35,1,1,7,0,0.25
S36,1,1,7,0,0.25
S37,1,1,7,0,0.25
S38,1,1,7,0,0.25
S39,1,1,7,0,0.25
S40,1,1,7,0,0.25
S41,1,1,7,0,0.25
S42,1,1,7,0,0.25
S43,0,2,3,4,0.0
S44,0,2,1,6,0.0
S45,0,2,2,5,0.0
S46,0,2,2,5,0.0
S47,0,2,2,5,0.0
S48,0,2,2,5,0.0
S49,1,1,4,3,0.316228
S50,1,1,6,1,0.267261
S51,1,1,4,3,0.316228
S52,0,2,3,4,0.0
S53,1,1,1,6,0.5
S54,0,2,3,4,0.0
S55,1,1,7,0,0.25
S56,1,1,7,0,0.25
S57,1,1,7,0,0.25
S58,1,1,7,0,0.25
S59,1,1,7,0,0.25
S60,1,1,7,0,0.25
S61,1,1,7,0,0.25
S62,1,1,7,0,0.25
S63,1,1,7,0,0.25
S64,1,1,7,0,0.25
S65,1,1,7,0,0.25
S66,1,1,7,0,0.25
S67,1,1,7,0,0.25
S68,1,1,7,0,0.25
S69,1,1,7,0,0.25
S70,1,1,7,0,0.25
S71,1,1,7,0,0.25
S72,1,1,4,3,0.316228
S73,1,1,4,3,0.316228
S74,1,1,4,3,0.316228
S75,0,2,1,6,0.0
S76,1,1,7,0,0.25
S77,1,1,7,0,0.25
S78,1,1,4,3,0.316228
S79,1,1,7,0,0.25
S80,1,1,7,0,0.25
S81,1,1,7,0,0.25
S82,1,1,7,0,0.25
S83,1,1,7,0,0.25
S84,1,1,7,0,0.25
S85,1,1,7,0,0.25
S86,0,2,3,4,0.0
S87,1,1,7,0,0.25
S88,1,1,7,0,0.25
S89,1,1,7,0,0.25
S90,1,1,7,0,0.25
S91,1,1,7,0,0.25
S92,1,1,7,0,0.25
S93,1,1,7,0,0.25
S94,1,1,7,0,0.25
S95,1,1,7,0,0.25
S96,1,1,7,0,0.25
S97,1,1,7,0,0.25
S98,1,1,7,0,0.25
S99,1,1,7,0,0.25
S100,1,1,7,0,0.25
S101,1,1,7,0,0.25
S102,1,1,7,0,0.25
S103,1,1,7,0,0.25
S104,1,1,7,0,0.25
S105,1,1,7,0,0.25
S106,1,1,7,0,0.25
S107,1,1,7,0,0.25
S108,1,1,7,0,0.25
S109,1,1,7,0,0.25
S110,1,1,7,0,0.25
S111,1,1,7,0,0.25
S112,1,1,7,0,0.25
S113,1,1,7,0,0.25
S114,1,1,7,0,0.25
S115,1,1,7,0,0.25
S116,1,1,7,0,0.25
S117,1,1,7,0,0.25
S118,1,1,7,0,0.25
S119,1,1,7,0,0.25
S120,1,1,7,0,0.25
S121,1,1,7,0,0.25
S122,1,1,7,0,0.25
S123,1,1,7,0,0.25
S124,1,1,7,0,0.25
S125,1,1,7,0,0.25
S126,1,1,7,0,0.25
S127,1,1,7,0,0.25
S128,1,1,7,0,0.25
S129,1,1,7,0,0.25
S130,1,1,7,0,0.25
S131,1,1,7,0,0.25
S132,1,1,7,0,0.25
S133,1,1,7,0,0.25
S134,1,1,7,0,0.25
S135,1,1,7,0,0.25
S136,1,1,7,0,0.25
S137,1,1,7,0,0.25
S138,1,1,7,0,0.25
S139,1,1,7,0,0.25
S140,1,1,4,3,0.316228
S141,1,1,4,3,0.316228
S142,1,1,4,3,0.316228
S143,1,1,4,3,0.316228
S144,1,1,4,3,0.316228
S145,1,1,4,3,0.316228
S146,1,1,4,3,0.316228
S147,1,1,4,3,0.316228
S148,1,1,4,3,0.316228
S149,1,1,4,3,0.316228
S150,1,1,6,1,0.267261
S151,1,1,6,1,0.267261
S152,1,1,6,1,0.267261
S153,0,2,3,4,0.0
S154,0,2,3,4,0.0
S155,0,2,3,4,0.0
S156,1,1,7,0,0.25
S157,1,1,7,0,0.25
S158,1,1,7,0,0.25
S159,1,1,4,3,0.316228
S160,1,1,4,3,0.316228
S161,1,1,4,3,0.316228
S162,1,1,4,3,0.316228
S163,0,2,2,5,0.0
S164,1,1,7,0,0.25
S165,1,1,7,0,0.25
S166,1,1,7,0,0.25
S167,1,1,7,0,0.25
S168,1,1,7,0,0.25
S169,1,1,7,0,0.25
S170,1,1,7,0,0.25
S171,1,1,7,0,0.25
S172,1,1,7,0,0.25
S173,1,1,4,3,0.316228
S174,1,1,4,3,0.316228
S175,1,1,4,3,0.316228
S176,0,2,3,4,0.0
S177,0,2,3,4,0.0
S178,1,1,7,0,0.25
S179,1,1,4,3,0.316228
S180,1,1,4,3,0.316228
S181,1,1,4,3,0.316228
S182,1,1,4,3,0.316228
S183,1,1,6,1,0.267261
S184,1,1,6,1,0.267261
S185,1,1,6,1,0.267261
S186,1,1,7,0,0.25
S187,0,2,3,4,0.0
S188,0,2,3,4,0.0
S189,1,1,4,3,0.316228
S190,1,1,4,3,0.316228
S191,1,1,4,3,0.316228
S192,1,1,4,3,0.316228
S193,1,1,7,0,0.25
S194,1,1,6,1,0.267261
S195,1,1,4,3,0.316228
S196,1,1,4,3,0.316228
S197,1,1,4,3,0.316228
S198,1,1,4,3,0.316228
S199,1,1,4,3,0.316228
S200,1,1,4,3,0.316228
S201,1,1,4,3,0.316228
S202,0,2,3,4,0.0
S203,0,2,3,4,0.0
S204,0,2,3,4,0.0
S205,1,1,7,0,0.25
S206,1,1,7,0,0.25
S207,1,1,7,0,0.25
S208,1,1,7,0,0.25
S209,1,1,7,0,0.25
S210,1,1,7,0,0.25
S211,1,1,7,0,0.25
S212,1,1,7,0,0.25
S213,1,1,7,0,0.25
S214,1,1,7,0,0.25
S215,1,1,7,0,0.25
S216,1,1,7,0,0.25
S217,1,1,7,0,0.25
S218,1,1,7,0,0.25
S219,1,1,7,0,0.25
S220,1,1,7,0,0.25
S221,1,1,4,3,0.316228
S222,1,1,4,3,0.316228
S223,1,1,4,3,0.316228
S224,1,1,7,0,0.25
S225,1,1,4,3,0.316228
S226,1,1,6,1,0.267261
