rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S53,CommandLineImpl.java,38,"return getValues(getOption(trigger), Collections.EMPTY_LIST);",0.5,1,1
2,S25,ArgumentBuilder.java,255,if (this.defaultValues == null) {,0.316228,57,58
2,S26,ArgumentBuilder.java,256,this.defaultValues = new ArrayList(1);,0.316228,57,58
2,S27,ArgumentBuilder.java,258,this.defaultValues.add(defaultValue);,0.316228,57,58
2,S28,ArgumentBuilder.java,259,return this;,0.316228,57,58
2,S49,ArgumentImpl.java,207,return this.initialSeparator;,0.316228,57,58
2,S51,CommandLineImpl.java,32,public abstract class CommandLineImpl implements CommandLine {,0.316228,57,58
2,S72,DefaultOption.java,132,final String argument = (String) arguments.next();,0.316228,57,58
2,S73,DefaultOption.java,134,if (triggers.contains(argument)) {,0.316228,57,58
2,S74,DefaultOption.java,135,commandLine.addOption(this);,0.316228,57,58
2,S78,DefaultOption.java,219,return preferredName;,0.316228,57,58
2,S140,GroupImpl.java,115,if (arg == null) {,0.316228,57,58
2,S141,GroupImpl.java,120,if (optionMap.containsKey(arg)) {,0.316228,57,58
2,S142,GroupImpl.java,121,return true;,0.316228,57,58
2,S143,GroupImpl.java,149,return prefixes;,0.316228,57,58
2,S144,GroupImpl.java,162,while (arguments.hasNext()) {,0.316228,57,58
2,S145,GroupImpl.java,164,final String arg = (String) arguments.next();,0.316228,57,58
2,S146,GroupImpl.java,177,final Option opt = (Option) optionMap.get(arg);,0.316228,57,58
2,S147,GroupImpl.java,180,if (opt != null) {,0.316228,57,58
2,S148,GroupImpl.java,181,arguments.previous();,0.316228,57,58
2,S149,GroupImpl.java,182,"opt.process(commandLine, arguments);",0.316228,57,58
2,S159,OptionImpl.java,50,if (arguments.hasNext()) {,0.316228,57,58
2,S160,OptionImpl.java,51,final String argument = (String) arguments.next();,0.316228,57,58
2,S161,OptionImpl.java,52,arguments.previous();,0.316228,57,58
2,S162,OptionImpl.java,54,"return canProcess(commandLine, argument);",0.316228,57,58
2,S173,ParentImpl.java,65,if (argument != null) {,0.316228,57,58
2,S174,ParentImpl.java,66,"handleInitialSeparator(arguments, argument.getInitialSeparator());",0.316228,57,58
2,S175,ParentImpl.java,69,"processParent(commandLine, arguments);",0.316228,57,58
2,S179,ParentImpl.java,212,final String newArgument = (String) arguments.next();,0.316228,57,58
2,S180,ParentImpl.java,215,final int initialIndex = newArgument.indexOf(separator);,0.316228,57,58
2,S181,ParentImpl.java,217,if (initialIndex > 0) {,0.316228,57,58
2,S182,ParentImpl.java,230,arguments.previous();,0.316228,57,58
2,S189,Parser.java,58,final List argumentList = new LinkedList();,0.316228,57,58
2,S190,Parser.java,61,for (int i = 0; i < arguments.length; i++) {,0.316228,57,58
2,S191,Parser.java,62,final String argument = arguments[i];,0.316228,57,58
2,S192,Parser.java,66,argumentList.add(new String(argument));,0.316228,57,58
2,S195,Parser.java,76,final ListIterator iterator = argumentList.listIterator();,0.316228,57,58
2,S196,Parser.java,77,Object previous = null;,0.316228,57,58
2,S197,Parser.java,79,"while (group.canProcess(commandLine, iterator)) {",0.316228,57,58
2,S198,Parser.java,81,final Object next = iterator.next();,0.316228,57,58
2,S199,Parser.java,82,iterator.previous();,0.316228,57,58
2,S200,Parser.java,85,if (next == previous) {,0.316228,57,58
2,S201,Parser.java,93,"group.process(commandLine, iterator);",0.316228,57,58
2,S221,WriteableCommandLineImpl.java,41,private final Map optionToProperties = new HashMap();,0.316228,57,58
2,S222,WriteableCommandLineImpl.java,43,private final List options = new ArrayList();,0.316228,57,58
2,S223,WriteableCommandLineImpl.java,44,private final Map nameToOption = new HashMap();,0.316228,57,58
2,S225,WriteableCommandLineImpl.java,46,private final Map switches = new HashMap();,0.316228,57,58
2,S227,WriteableCommandLineImpl.java,48,private final Map defaultSwitches = new HashMap();,0.316228,57,58
2,S228,WriteableCommandLineImpl.java,60,final List arguments) {,0.316228,57,58
2,S229,WriteableCommandLineImpl.java,61,this.prefixes = rootOption.getPrefixes();,0.316228,57,58
2,S230,WriteableCommandLineImpl.java,62,this.normalised = arguments;,0.316228,57,58
2,S231,WriteableCommandLineImpl.java,66,options.add(option);,0.316228,57,58
2,S232,WriteableCommandLineImpl.java,67,"nameToOption.put(option.getPreferredName(), option);",0.316228,57,58
