test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.cli.ApplicationTest::testLs,PASS,2,1
org.apache.commons.cli.ApplicationTest::testAnt,PASS,6,5
org.apache.commons.cli.ApplicationTest::testGroovy,PASS,2,2
org.apache.commons.cli.ApplicationTest::testMan,PASS,0,0
org.apache.commons.cli.BugsTest::test11457,PASS,1,1
org.apache.commons.cli.BugsTest::test11458,PASS,10,0
org.apache.commons.cli.BugsTest::test11680,PASS,0,0
org.apache.commons.cli.BugsTest::test11456,PASS,2,0
org.apache.commons.cli.BugsTest::test12210,PASS,2,2
org.apache.commons.cli.BugsTest::test13425,PASS,1,1
org.apache.commons.cli.BugsTest::test13935,PASS,0,0
org.apache.commons.cli.BugsTest::test14786,PASS,1,1
org.apache.commons.cli.BugsTest::test15046,PASS,2,1
org.apache.commons.cli.BugsTest::test15648,PASS,1,1
org.apache.commons.cli.BugsTest::test31148,PASS,2,2
org.apache.commons.cli.BugsTest::test27635,PASS,0,0
org.apache.commons.cli.CommandLineTest::testGetOptionProperties,PASS,7,0
org.apache.commons.cli.HelpFormatterTest::testFindWrapPos,PASS,3,0
org.apache.commons.cli.HelpFormatterTest::testPrintWrapped,PASS,5,5
org.apache.commons.cli.HelpFormatterTest::testPrintOptions,PASS,5,5
org.apache.commons.cli.HelpFormatterTest::testPrintHelpWithEmptySyntax,PASS,0,0
org.apache.commons.cli.HelpFormatterTest::testAutomaticUsage,PASS,2,2
org.apache.commons.cli.HelpFormatterTest::testPrintUsage,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testPrintSortedUsage,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testPrintSortedUsageWithNullComparator,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testPrintOptionGroupUsage,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testPrintRequiredOptionGroupUsage,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testRtrim,PASS,3,3
org.apache.commons.cli.HelpFormatterTest::testAccessors,PASS,8,0
org.apache.commons.cli.HelpFormatterTest::testHeaderStartingWithLineSeparator,PASS,1,1
org.apache.commons.cli.HelpFormatterTest::testOptionWithoutShortFormat,PASS,1,1
org.apache.commons.cli.OptionBuilderTest::testCompleteOption,PASS,7,7
org.apache.commons.cli.OptionBuilderTest::testTwoCompleteOptions,PASS,14,14
org.apache.commons.cli.OptionBuilderTest::testBaseOptionCharOpt,PASS,3,3
org.apache.commons.cli.OptionBuilderTest::testBaseOptionStringOpt,PASS,3,3
org.apache.commons.cli.OptionBuilderTest::testSpecialOptChars,PASS,2,2
org.apache.commons.cli.OptionBuilderTest::testOptionArgNumbers,PASS,1,1
org.apache.commons.cli.OptionBuilderTest::testIllegalOptions,PASS,0,0
org.apache.commons.cli.OptionBuilderTest::testCreateIncompleteOption,PASS,0,0
org.apache.commons.cli.OptionGroupTest::testSingleOptionFromGroup,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testSingleOption,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testTwoValidOptions,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testSingleLongOption,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testTwoValidLongOptions,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testNoOptionsExtraArgs,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromGroup,PASS,3,0
org.apache.commons.cli.OptionGroupTest::testTwoLongOptionsFromGroup,PASS,3,0
org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromDifferentGroup,PASS,6,0
org.apache.commons.cli.OptionGroupTest::testValidLongOnlyOptions,PASS,2,0
org.apache.commons.cli.OptionGroupTest::testToString,PASS,2,2
org.apache.commons.cli.OptionGroupTest::testGetNames,PASS,4,3
org.apache.commons.cli.OptionsTest::testSimple,PASS,2,2
