statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,4,2,80,0.0
S2,3,1,78,4,0.166667
S3,3,1,78,4,0.166667
S4,0,4,59,23,0.0
S5,0,4,4,78,0.0
S6,0,4,1,81,0.0
S7,0,4,1,81,0.0
S8,0,4,1,81,0.0
S9,0,4,1,81,0.0
S10,0,4,1,81,0.0
S11,0,4,1,81,0.0
S12,0,4,42,40,0.0
S13,0,4,42,40,0.0
S14,0,4,5,77,0.0
S15,0,4,49,33,0.0
S16,0,4,49,33,0.0
S17,0,4,49,33,0.0
S18,0,4,1,81,0.0
S19,0,4,67,15,0.0
S20,0,4,67,15,0.0
S21,0,4,66,16,0.0
S22,0,4,66,16,0.0
S23,0,4,57,25,0.0
S24,0,4,53,29,0.0
S25,0,4,10,72,0.0
S26,0,4,24,58,0.0
S27,0,4,3,79,0.0
S28,0,4,2,80,0.0
S29,0,4,2,80,0.0
S30,0,4,13,69,0.0
S31,0,4,13,69,0.0
S32,0,4,13,69,0.0
S33,0,4,24,58,0.0
S34,1,3,26,56,0.096225
S35,1,3,74,8,0.057735
S36,0,4,1,81,0.0
S37,0,4,13,69,0.0
S38,0,4,13,69,0.0
S39,0,4,13,69,0.0
S40,0,4,13,69,0.0
S41,0,4,13,69,0.0
S42,0,4,13,69,0.0
S43,0,4,13,69,0.0
S44,0,4,13,69,0.0
S45,0,4,1,81,0.0
S46,0,4,1,81,0.0
S47,0,4,13,69,0.0
S48,0,4,1,81,0.0
S49,0,4,13,69,0.0
S50,0,4,13,69,0.0
S51,0,4,13,69,0.0
S52,0,4,3,79,0.0
S53,0,4,3,79,0.0
S54,0,4,1,81,0.0
S55,0,4,1,81,0.0
S56,0,4,2,80,0.0
S57,0,4,1,81,0.0
S58,0,4,1,81,0.0
S59,0,4,1,81,0.0
S60,0,4,13,69,0.0
S61,0,4,13,69,0.0
S62,0,4,13,69,0.0
S63,0,4,13,69,0.0
S64,0,4,10,72,0.0
S65,0,4,10,72,0.0
S66,0,4,10,72,0.0
S67,0,4,11,71,0.0
S68,0,4,11,71,0.0
S69,0,4,8,74,0.0
S70,0,4,13,69,0.0
S71,0,4,2,80,0.0
S72,0,4,2,80,0.0
S73,0,4,13,69,0.0
S74,1,3,1,81,0.353553
S75,1,3,1,81,0.353553
S76,1,3,1,81,0.353553
S77,1,3,1,81,0.353553
S78,1,3,1,81,0.353553
S79,1,3,1,81,0.353553
S80,1,3,1,81,0.353553
S81,1,3,1,81,0.353553
S82,1,3,1,81,0.353553
S83,1,3,0,82,0.5
S84,1,3,0,82,0.5
S85,1,3,0,82,0.5
S86,1,3,0,82,0.5
S87,1,3,1,81,0.353553
S88,1,3,1,81,0.353553
S89,0,4,1,81,0.0
S90,1,3,0,82,0.5
S91,1,3,1,81,0.353553
S92,0,4,1,81,0.0
S93,1,3,1,81,0.353553
S94,1,3,1,81,0.353553
S95,0,4,1,81,0.0
S96,0,4,1,81,0.0
S97,0,4,1,81,0.0
S98,0,4,1,81,0.0
S99,0,4,1,81,0.0
S100,1,3,0,82,0.5
S101,1,3,0,82,0.5
S102,1,3,1,81,0.353553
S103,1,3,1,81,0.353553
S104,1,3,1,81,0.353553
S105,0,4,1,81,0.0
S106,1,3,1,81,0.353553
S107,1,3,1,81,0.353553
S108,1,3,1,81,0.353553
S109,1,3,1,81,0.353553
S110,1,3,1,81,0.353553
S111,1,3,1,81,0.353553
S112,1,3,1,81,0.353553
S113,1,3,1,81,0.353553
S114,1,3,1,81,0.353553
S115,1,3,1,81,0.353553
S116,1,3,0,82,0.5
S117,1,3,0,82,0.5
S118,1,3,0,82,0.5
S119,1,3,0,82,0.5
S120,1,3,0,82,0.5
S121,1,3,0,82,0.5
S122,1,3,0,82,0.5
S123,1,3,0,82,0.5
S124,1,3,0,82,0.5
S125,1,3,0,82,0.5
S126,1,3,1,81,0.353553
S127,1,3,1,81,0.353553
S128,1,3,0,82,0.5
S129,1,3,0,82,0.5
S130,1,3,0,82,0.5
S131,1,3,0,82,0.5
S132,1,3,0,82,0.5
S133,1,3,0,82,0.5
S134,1,3,0,82,0.5
S135,1,3,0,82,0.5
S136,1,3,0,82,0.5
S137,1,3,1,81,0.353553
S138,1,3,1,81,0.353553
S139,1,3,1,81,0.353553
S140,1,3,1,81,0.353553
S141,1,3,1,81,0.353553
S142,0,4,1,81,0.0
S143,0,4,1,81,0.0
S144,0,4,1,81,0.0
S145,0,4,1,81,0.0
S146,0,4,1,81,0.0
S147,0,4,1,81,0.0
S148,0,4,1,81,0.0
S149,1,3,1,81,0.353553
S150,1,3,1,81,0.353553
S151,0,4,1,81,0.0
S152,1,3,1,81,0.353553
S153,1,3,1,81,0.353553
S154,1,3,1,81,0.353553
S155,1,3,1,81,0.353553
S156,1,3,1,81,0.353553
S157,1,3,1,81,0.353553
S158,1,3,1,81,0.353553
S159,1,3,1,81,0.353553
S160,1,3,1,81,0.353553
S161,0,4,1,81,0.0
S162,1,3,1,81,0.353553
S163,1,3,1,81,0.353553
S164,0,4,4,78,0.0
S165,2,2,2,80,0.5
S166,4,0,79,3,0.219529
S167,4,0,79,3,0.219529
S168,4,0,79,3,0.219529
S169,4,0,39,43,0.304997
S170,0,4,1,81,0.0
S171,4,0,79,3,0.219529
S172,4,0,79,3,0.219529
S173,4,0,79,3,0.219529
S174,4,0,79,3,0.219529
S175,1,3,52,30,0.06868
S176,4,0,79,3,0.219529
S177,4,0,79,3,0.219529
S178,0,4,1,81,0.0
S179,4,0,79,3,0.219529
S180,0,4,29,53,0.0
S181,4,0,78,4,0.220863
S182,1,3,69,13,0.059761
S183,0,4,1,81,0.0
S184,4,0,38,44,0.308607
S185,1,3,74,8,0.057735
S186,4,0,38,44,0.308607
S187,4,0,39,43,0.304997
S188,0,4,8,74,0.0
S189,4,0,79,3,0.219529
S190,2,2,77,5,0.112509
S191,1,3,1,81,0.353553
S192,4,0,79,3,0.219529
S193,4,0,50,32,0.272166
S194,4,0,42,40,0.294884
S195,1,3,0,82,0.5
S196,4,0,39,43,0.304997
S197,4,0,38,44,0.308607
S198,1,3,11,71,0.144338
S199,1,3,52,30,0.06868
S200,1,3,52,30,0.06868
S201,1,3,52,30,0.06868
S202,1,3,52,30,0.06868
S203,1,3,11,71,0.144338
S204,1,3,11,71,0.144338
S205,1,3,11,71,0.144338
S206,1,3,10,72,0.150756
S207,1,3,10,72,0.150756
S208,1,3,10,72,0.150756
S209,1,3,10,72,0.150756
S210,1,3,52,30,0.06868
S211,1,3,52,30,0.06868
S212,1,3,14,68,0.129099
S213,1,3,52,30,0.06868
S214,0,4,1,81,0.0
S215,0,4,1,81,0.0
S216,1,3,56,26,0.066227
S217,1,3,56,26,0.066227
S218,1,3,66,16,0.061085
S219,1,3,66,16,0.061085
S220,1,3,64,18,0.062017
S221,1,3,64,18,0.062017
S222,1,3,64,18,0.062017
S223,1,3,64,18,0.062017
S224,0,4,27,55,0.0
S225,0,4,27,55,0.0
S226,1,3,74,8,0.057735
S227,1,3,74,8,0.057735
S228,1,3,74,8,0.057735
S229,3,1,78,4,0.166667
S230,4,0,38,44,0.308607
S231,4,0,38,44,0.308607
S232,4,0,38,44,0.308607
S233,4,0,38,44,0.308607
S234,4,0,38,44,0.308607
S235,4,0,38,44,0.308607
S236,4,0,38,44,0.308607
S237,4,0,38,44,0.308607
S238,4,0,38,44,0.308607
S239,4,0,38,44,0.308607
S240,1,3,31,51,0.088388
S241,1,3,31,51,0.088388
S242,1,3,8,74,0.166667
S243,1,3,8,74,0.166667
S244,0,4,1,81,0.0
S245,0,4,1,81,0.0
S246,0,4,2,80,0.0
S247,0,4,2,80,0.0
S248,2,2,4,78,0.408248
S249,2,2,4,78,0.408248
S250,1,3,25,57,0.098058
S251,1,3,25,57,0.098058
S252,1,3,8,74,0.166667
S253,1,3,8,74,0.166667
S254,0,4,1,81,0.0
S255,0,4,1,81,0.0
S256,1,3,26,56,0.096225
S257,1,3,26,56,0.096225
S258,1,3,7,75,0.176777
S259,1,3,7,75,0.176777
S260,0,4,17,65,0.0
S261,0,4,17,65,0.0
S262,0,4,17,65,0.0
S263,0,4,16,66,0.0
S264,0,4,16,66,0.0
S265,0,4,16,66,0.0
S266,0,4,16,66,0.0
S267,0,4,16,66,0.0
S268,0,4,16,66,0.0
S269,0,4,1,81,0.0
S270,0,4,1,81,0.0
S271,2,2,15,67,0.242536
S272,2,2,15,67,0.242536
S273,2,2,33,49,0.169031
S274,0,4,19,63,0.0
S275,0,4,19,63,0.0
S276,4,0,38,44,0.308607
S277,4,0,38,44,0.308607
S278,4,0,38,44,0.308607
S279,4,0,38,44,0.308607
S280,4,0,38,44,0.308607
S281,4,0,38,44,0.308607
S282,4,0,38,44,0.308607
S283,4,0,38,44,0.308607
S284,4,0,38,44,0.308607
S285,4,0,38,44,0.308607
S286,0,4,12,70,0.0
S287,0,4,12,70,0.0
S288,0,4,12,70,0.0
S289,0,4,12,70,0.0
S290,0,4,12,70,0.0
S291,0,4,10,72,0.0
S292,0,4,10,72,0.0
S293,0,4,2,80,0.0
S294,0,4,1,81,0.0
S295,0,4,12,70,0.0
S296,0,4,1,81,0.0
S297,0,4,1,81,0.0
S298,0,4,1,81,0.0
S299,0,4,1,81,0.0
S300,0,4,1,81,0.0
S301,0,4,1,81,0.0
S302,0,4,1,81,0.0
S303,0,4,1,81,0.0
S304,0,4,1,81,0.0
S305,0,4,1,81,0.0
S306,0,4,1,81,0.0
S307,0,4,1,81,0.0
S308,0,4,1,81,0.0
S309,0,4,1,81,0.0
S310,4,0,79,3,0.219529
S311,0,4,29,53,0.0
S312,4,0,78,4,0.220863
S313,4,0,76,6,0.223607
S314,4,0,76,6,0.223607
S315,0,4,6,76,0.0
S316,0,4,6,76,0.0
S317,0,4,6,76,0.0
S318,4,0,76,6,0.223607
S319,4,0,78,4,0.220863
S320,4,0,80,2,0.218218
S321,4,0,80,2,0.218218
S322,4,0,80,2,0.218218
S323,4,0,80,2,0.218218
S324,0,4,12,70,0.0
S325,0,4,12,70,0.0
S326,0,4,1,81,0.0
S327,0,4,12,70,0.0
S328,0,4,12,70,0.0
S329,0,4,12,70,0.0
S330,0,4,12,70,0.0
S331,0,4,12,70,0.0
S332,0,4,12,70,0.0
S333,1,3,30,52,0.089803
S334,1,3,30,52,0.089803
S335,1,3,63,19,0.0625
S336,1,3,63,19,0.0625
S337,4,0,79,3,0.219529
S338,4,0,79,3,0.219529
S339,1,3,66,16,0.061085
S340,4,0,79,3,0.219529
S341,2,2,5,77,0.377964
S342,0,4,1,81,0.0
S343,2,2,5,77,0.377964
S344,4,0,79,3,0.219529
S345,4,0,79,3,0.219529
S346,0,4,1,81,0.0
S347,4,0,80,2,0.218218
S348,4,0,80,2,0.218218
S349,4,0,80,2,0.218218
S350,1,3,66,16,0.061085
S351,1,3,66,16,0.061085
S352,4,0,80,2,0.218218
S353,3,1,78,4,0.166667
S354,1,3,77,5,0.056614
S355,1,3,77,5,0.056614
S356,1,3,69,13,0.059761
S357,0,4,15,67,0.0
S358,1,3,76,6,0.05698
S359,1,3,76,6,0.05698
S360,1,3,76,6,0.05698
S361,2,2,10,72,0.288675
S362,3,1,78,4,0.166667
S363,3,1,74,8,0.170941
S364,0,4,5,77,0.0
S365,0,4,7,75,0.0
S366,3,1,78,4,0.166667
S367,3,1,78,4,0.166667
S368,3,1,78,4,0.166667
S369,3,1,78,4,0.166667
S370,3,1,78,4,0.166667
S371,3,1,78,4,0.166667
S372,3,1,78,4,0.166667
S373,3,1,78,4,0.166667
S374,0,4,3,79,0.0
S375,3,1,78,4,0.166667
S376,3,1,78,4,0.166667
S377,3,1,78,4,0.166667
S378,1,3,77,5,0.056614
S379,1,3,77,5,0.056614
S380,0,4,5,77,0.0
S381,1,3,77,5,0.056614
S382,0,4,2,80,0.0
S383,0,4,2,80,0.0
S384,1,3,77,5,0.056614
S385,1,3,76,6,0.05698
S386,0,4,1,81,0.0
S387,0,4,1,81,0.0
S388,1,3,76,6,0.05698
S389,1,3,20,62,0.109109
S390,1,3,20,62,0.109109
S391,0,4,3,79,0.0
S392,1,3,74,8,0.057735
S393,0,4,9,73,0.0
S394,0,4,9,73,0.0
S395,0,4,9,73,0.0
S396,0,4,9,73,0.0
S397,3,1,70,12,0.175562
S398,3,1,70,12,0.175562
S399,1,3,69,13,0.059761
S400,3,1,70,12,0.175562
S401,3,1,69,13,0.176777
S402,0,4,5,77,0.0
S403,0,4,5,77,0.0
S404,0,4,5,77,0.0
S405,0,4,4,78,0.0
S406,0,4,4,78,0.0
S407,0,4,4,78,0.0
S408,0,4,4,78,0.0
S409,0,4,4,78,0.0
S410,0,4,1,81,0.0
S411,0,4,1,81,0.0
S412,0,4,4,78,0.0
S413,3,1,70,12,0.175562
S414,2,2,2,80,0.5
S415,2,2,2,80,0.5
S416,2,2,2,80,0.5
S417,2,2,2,80,0.5
S418,2,2,2,80,0.5
S419,1,3,55,27,0.066815
S420,1,3,53,29,0.068041
S421,1,3,53,29,0.068041
S422,1,3,34,48,0.084515
S423,1,3,34,48,0.084515
S424,1,3,51,31,0.069338
S425,1,3,14,68,0.129099
S426,1,3,14,68,0.129099
S427,1,3,14,68,0.129099
S428,1,3,55,27,0.066815
S429,0,4,4,78,0.0
S430,1,3,76,6,0.05698
S431,1,3,76,6,0.05698
S432,0,4,2,80,0.0
S433,1,3,76,6,0.05698
S434,1,3,76,6,0.05698
S435,0,4,4,78,0.0
S436,1,3,76,6,0.05698
S437,0,4,10,72,0.0
S438,0,4,10,72,0.0
S439,0,4,1,81,0.0
S440,0,4,10,72,0.0
S441,1,3,76,6,0.05698
S442,1,3,55,27,0.066815
S443,1,3,73,9,0.058124
S444,0,4,1,81,0.0
S445,0,4,1,81,0.0
S446,0,4,1,81,0.0
S447,0,4,1,81,0.0
S448,0,4,1,81,0.0
S449,0,4,1,81,0.0
S450,0,4,1,81,0.0
S451,0,4,1,81,0.0
S452,0,4,1,81,0.0
S453,0,4,1,81,0.0
S454,0,4,1,81,0.0
S455,0,4,1,81,0.0
S456,0,4,1,81,0.0
S457,0,4,1,81,0.0
S458,0,4,1,81,0.0
S459,0,4,1,81,0.0
S460,0,4,1,81,0.0
S461,0,4,1,81,0.0
S462,0,4,1,81,0.0
S463,0,4,1,81,0.0
S464,0,4,1,81,0.0
S465,0,4,1,81,0.0
S466,0,4,1,81,0.0
S467,0,4,1,81,0.0
S468,0,4,1,81,0.0
S469,0,4,1,81,0.0
S470,0,4,1,81,0.0
S471,0,4,1,81,0.0
S472,0,4,1,81,0.0
S473,0,4,1,81,0.0
S474,0,4,1,81,0.0
S475,0,4,1,81,0.0
S476,0,4,1,81,0.0
S477,0,4,1,81,0.0
S478,0,4,1,81,0.0
S479,0,4,1,81,0.0
S480,0,4,1,81,0.0
S481,0,4,1,81,0.0
S482,0,4,1,81,0.0
S483,0,4,1,81,0.0
S484,0,4,1,81,0.0
S485,0,4,1,81,0.0
S486,0,4,1,81,0.0
S487,0,4,1,81,0.0
S488,0,4,1,81,0.0
S489,0,4,1,81,0.0
S490,0,4,1,81,0.0
S491,0,4,1,81,0.0
S492,0,4,1,81,0.0
S493,0,4,1,81,0.0
S494,0,4,1,81,0.0
S495,0,4,1,81,0.0
S496,0,4,1,81,0.0
S497,3,1,66,16,0.180579
S498,3,1,66,16,0.180579
S499,3,1,66,16,0.180579
S500,3,1,66,16,0.180579
S501,3,1,66,16,0.180579
S502,3,1,66,16,0.180579
S503,3,1,66,16,0.180579
S504,3,1,66,16,0.180579
S505,3,1,66,16,0.180579
S506,1,3,65,17,0.061546
S507,1,3,65,17,0.061546
S508,1,3,33,49,0.085749
S509,0,4,1,81,0.0
S510,0,4,1,81,0.0
S511,1,3,32,50,0.087039
S512,1,3,59,23,0.06455
S513,0,4,1,81,0.0
S514,1,3,59,23,0.06455
S515,1,3,56,26,0.066227
S516,1,3,56,26,0.066227
S517,1,3,51,31,0.069338
S518,1,3,16,66,0.121268
S519,0,4,2,80,0.0
S520,1,3,14,68,0.129099
S521,1,3,46,36,0.072932
S522,0,4,3,79,0.0
S523,1,3,45,37,0.073721
S524,1,3,65,17,0.061546
S525,3,1,66,16,0.180579
S526,1,3,65,17,0.061546
S527,0,4,3,79,0.0
S528,0,4,3,79,0.0
S529,0,4,3,79,0.0
S530,0,4,3,79,0.0
S531,0,4,3,79,0.0
S532,0,4,3,79,0.0
S533,0,4,1,81,0.0
S534,1,3,51,31,0.069338
S535,1,3,51,31,0.069338
S536,1,3,51,31,0.069338
S537,1,3,14,68,0.129099
S538,1,3,14,68,0.129099
S539,1,3,14,68,0.129099
S540,1,3,14,68,0.129099
S541,1,3,14,68,0.129099
S542,1,3,13,69,0.133631
