test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.cli.ApplicationTest::testLs,org.apache.commons.cli.ApplicationTest,testLs,line,72,Virtual_Pass
org.apache.commons.cli.ApplicationTest::testAnt,org.apache.commons.cli.ApplicationTest,testAnt,line,123,Virtual_Pass
org.apache.commons.cli.BugsTest::test14786,org.apache.commons.cli.BugsTest,test14786,line,388,Virtual_Pass
org.apache.commons.cli.BugsTest::test15046,org.apache.commons.cli.BugsTest,test15046,line,404,Virtual_Pass
org.apache.commons.cli.BugsTest::test15648,org.apache.commons.cli.BugsTest,test15648,line,414,Virtual_Pass
org.apache.commons.cli.bug.BugCLI71Test::testBasic,org.apache.commons.cli.bug.BugCLI71Test,testBasic,line,45,Virtual_Pass
org.apache.commons.cli.bug.BugCLI71Test::testBasic,org.apache.commons.cli.bug.BugCLI71Test,testBasic,line,46,Virtual_Pass
org.apache.commons.cli.bug.BugCLI71Test::testMistakenArgument,org.apache.commons.cli.bug.BugCLI71Test,testMistakenArgument,line,54,Virtual_Pass
org.apache.commons.cli.bug.BugCLI71Test::testMistakenArgument,org.apache.commons.cli.bug.BugCLI71Test,testMistakenArgument,line,55,Virtual_Pass
org.apache.commons.cli.bug.BugCLI71Test::testGetsDefaultIfOptional,org.apache.commons.cli.bug.BugCLI71Test,testGetsDefaultIfOptional,line,73,Virtual_Pass
org.apache.commons.cli.bug.BugCLI71Test::testGetsDefaultIfOptional,org.apache.commons.cli.bug.BugCLI71Test,testGetsDefaultIfOptional,line,74,Virtual_Pass
