rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S83,HelpFormatter.java,301,"printHelp(defaultWidth, cmdLineSyntax, null, options, null, false);",0.5,10,10
1,S84,HelpFormatter.java,388,PrintWriter pw = new PrintWriter(System.out);,0.5,10,10
1,S85,HelpFormatter.java,390,"printHelp(pw, width, cmdLineSyntax, header, options, defaultLeftPad,",0.5,10,10
1,S86,HelpFormatter.java,392,pw.flush();,0.5,10,10
1,S90,HelpFormatter.java,451,"printUsage(pw, width, cmdLineSyntax);",0.5,10,10
1,S116,HelpFormatter.java,620,int argPos = cmdLineSyntax.indexOf(' ') + 1;,0.5,10,10
1,S117,HelpFormatter.java,622,"printWrapped(pw, width, defaultSyntaxPrefix.length() + argPos,",0.5,10,10
1,S140,HelpFormatter.java,735,if (option.hasArgName()),0.5,10,10
1,S141,HelpFormatter.java,741,optBuf.append(' ');,0.5,10,10
1,S217,Option.java,333,return (this.argName != null && this.argName.length() > 0);,0.5,10,10
11,S188,MissingOptionException.java,36,super(message);,0.447214,8,18
11,S439,Parser.java,310,Iterator iter = getRequiredOptions().iterator();,0.447214,8,18
11,S440,Parser.java,311,"StringBuffer buff = new StringBuffer(""Missing required option"");",0.447214,8,18
11,S441,Parser.java,312,"buff.append(getRequiredOptions().size() == 1 ? """" : ""s"");",0.447214,8,18
11,S442,Parser.java,313,"buff.append("": "");",0.447214,8,18
11,S443,Parser.java,317,while (iter.hasNext()),0.447214,8,18
11,S444,Parser.java,319,buff.append(iter.next());,0.447214,8,18
11,S445,Parser.java,322,throw new MissingOptionException(buff.toString());,0.447214,8,18
19,S270,OptionBuilder.java,144,OptionBuilder.required = true;,0.377964,2,20
19,S271,OptionBuilder.java,146,return instance;,0.377964,2,20
21,S132,HelpFormatter.java,713,option = (Option) i.next();,0.353553,21,41
21,S133,HelpFormatter.java,714,optBuf = new StringBuffer(8);,0.353553,21,41
21,S134,HelpFormatter.java,716,if (option.getOpt() == null),0.353553,21,41
21,S136,HelpFormatter.java,723,optBuf.append(lpad).append(defaultOptPrefix),0.353553,21,41
21,S137,HelpFormatter.java,726,if (option.hasLongOpt()),0.353553,21,41
21,S139,HelpFormatter.java,733,if (option.hasArg()),0.353553,21,41
21,S142,HelpFormatter.java,745,prefixList.add(optBuf);,0.353553,21,41
21,S143,HelpFormatter.java,746,max = (optBuf.length() > max)       ? optBuf.length() : max;,0.353553,21,41
21,S146,HelpFormatter.java,753,option = (Option) i.next();,0.353553,21,41
21,S147,HelpFormatter.java,754,optBuf = new StringBuffer(prefixList.get(x++).toString());,0.353553,21,41
21,S148,HelpFormatter.java,756,if (optBuf.length() < max),0.353553,21,41
21,S150,HelpFormatter.java,761,optBuf.append(dpad);,0.353553,21,41
