virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testNestedUnwrappedLists180_result_L65_F_1,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedLists180,result,65,Virtual_Pass,85,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedUnwrappedLists180_result_L65_F_1/slice.log,
testNestedUnwrappedLists180_result_L66_F_2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedLists180,result,66,Virtual_Pass,86,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedUnwrappedLists180_result_L66_F_2/slice.log,
testNestedUnwrappedLists180_result_L67_F_3,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedLists180,result,67,Virtual_Pass,87,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedUnwrappedLists180_result_L67_F_3/slice.log,
testNestedUnwrappedLists180_result_L68_F_4,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedLists180,result,68,Virtual_Pass,88,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedUnwrappedLists180_result_L68_F_4/slice.log,
testNestedUnwrappedLists180_result_L69_F_5,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedLists180,result,69,Virtual_Pass,89,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedUnwrappedLists180_result_L69_F_5/slice.log,
testNestedUnwrappedLists180_result_L72_F_6,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedLists180,result,72,Virtual_Fail,90,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedUnwrappedLists180_result_L72_F_6/slice.log,
testNestedWithEmpty_svc_L97_F_7,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty,svc,97,Virtual_Pass,41,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty_svc_L97_F_7/slice.log,
testNestedWithEmpty_svc_L98_F_8,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty,svc,98,Virtual_Pass,42,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty_svc_L98_F_8/slice.log,
testNestedWithEmpty_svc_L100_F_9,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty,svc,100,Virtual_Fail,43,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty_svc_L100_F_9/slice.log,
testNestedWithEmpty2_svc_L116_F_10,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty2,svc,116,Virtual_Pass,41,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty2_svc_L116_F_10/slice.log,
testNestedWithEmpty2_svc_L117_F_11,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty2,svc,117,Virtual_Pass,42,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty2_svc_L117_F_11/slice.log,
testNestedWithEmpty2_svc_L118_F_12,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty2,svc,118,Virtual_Pass,43,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty2_svc_L118_F_12/slice.log,
testNestedWithEmpty2_del_L120_F_13,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty2,del,120,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty2_del_L120_F_13/slice.log,
testNestedWithEmpty2_del_L122_F_14,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithEmpty2,del,122,Virtual_Fail,3,/opt/resq/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_failing/testNestedWithEmpty2_del_L122_F_14/slice.log,
