virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testRoundTripWithJacksonExample_result_L42_P_1,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testRoundTripWithJacksonExample,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization,testRoundTripWithJacksonExample,result,42,Virtual_Pass,18,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testRoundTripWithJacksonExample_result_L42_P_1/slice.log,
testEnum_result_L29_P_2,com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,com.fasterxml.jackson.dataformat.xml.deser.TestEnums,testEnum,result,29,Virtual_Pass,9,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testEnum_result_L29_P_2/slice.log,
testEnum_result_L30_P_3,com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,com.fasterxml.jackson.dataformat.xml.deser.TestEnums,testEnum,result,30,Virtual_Pass,10,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testEnum_result_L30_P_3/slice.log,
testEmptyElementToString_result_L93_P_4,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyElementToString,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues,testEmptyElementToString,result,93,Virtual_Pass,7,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testEmptyElementToString_result_L93_P_4/slice.log,
testEmptyElementToString_result_L94_P_5,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyElementToString,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues,testEmptyElementToString,result,94,Virtual_Pass,8,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testEmptyElementToString_result_L94_P_5/slice.log,
testIssue7_result_L100_P_6,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.deser.TestViews,testIssue7,result,100,Virtual_Pass,51,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testIssue7_result_L100_P_6/slice.log,
testIssue7_result_L101_P_7,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.deser.TestViews,testIssue7,result,101,Virtual_Pass,52,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testIssue7_result_L101_P_7/slice.log,
testIssue7_result_L102_P_8,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.deser.TestViews,testIssue7,result,102,Virtual_Pass,53,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testIssue7_result_L102_P_8/slice.log,
testIssue7_result_L103_P_9,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.deser.TestViews,testIssue7,result,103,Virtual_Pass,53,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testIssue7_result_L103_P_9/slice.log,
testIssue7_result_L104_P_10,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.deser.TestViews,testIssue7,result,104,Virtual_Pass,53,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testIssue7_result_L104_P_10/slice.log,
testPolyIdList178_result_L129_P_11,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test,testPolyIdList178,result,129,Virtual_Pass,41,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testPolyIdList178_result_L129_P_11/slice.log,
testPolyIdList178_result_L130_P_12,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test,testPolyIdList178,result,130,Virtual_Pass,53,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testPolyIdList178_result_L130_P_12/slice.log,
testPolyIdList178_result_L131_P_13,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test,testPolyIdList178,result,131,Virtual_Pass,54,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testPolyIdList178_result_L131_P_13/slice.log,
testAsTextWithJAXB_result_L147_P_14,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testAsTextWithJAXB,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest,testAsTextWithJAXB,result,147,Virtual_Pass,58,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testAsTextWithJAXB_result_L147_P_14/slice.log,
testAsTextWithJAXB_result_L148_P_15,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testAsTextWithJAXB,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest,testAsTextWithJAXB,result,148,Virtual_Pass,59,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testAsTextWithJAXB_result_L148_P_15/slice.log,
testPolyIdList178_result_L78_P_16,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test,testPolyIdList178,result,78,Virtual_Pass,21,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testPolyIdList178_result_L78_P_16/slice.log,
testPolyIdList178_result_L79_P_17,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test,testPolyIdList178,result,79,Virtual_Pass,22,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testPolyIdList178_result_L79_P_17/slice.log,
testWithTwoAttributes_result_L103_P_18,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest::testWithTwoAttributes,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest,testWithTwoAttributes,result,103,Virtual_Pass,15,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWithTwoAttributes_result_L103_P_18/slice.log,
testWithTwoAttributes_result_L104_P_19,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest::testWithTwoAttributes,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest,testWithTwoAttributes,result,104,Virtual_Pass,16,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWithTwoAttributes_result_L104_P_19/slice.log,
testAnnotationSharing_result_L51_P_20,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest::testAnnotationSharing,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest,testAnnotationSharing,result,51,Virtual_Pass,21,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testAnnotationSharing_result_L51_P_20/slice.log,
testWrappedList_result_L95_P_21,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedList,result,95,Virtual_Pass,14,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedList_result_L95_P_21/slice.log,
testWrappedList_result_L96_P_22,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedList,result,96,Virtual_Pass,15,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedList_result_L96_P_22/slice.log,
testWrappedList_result_L97_P_23,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedList,result,97,Virtual_Pass,16,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedList_result_L97_P_23/slice.log,
testWrappedList_result_L98_P_24,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedList,result,98,Virtual_Pass,27,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedList_result_L98_P_24/slice.log,
testWrappedList_result_L99_P_25,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedList,result,99,Virtual_Pass,28,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedList_result_L99_P_25/slice.log,
testWrappedList_result_L100_P_26,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedList,result,100,Virtual_Pass,30,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedList_result_L100_P_26/slice.log,
testWrappedListWithGetters_result_L110_P_27,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithGetters,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedListWithGetters,result,110,Virtual_Pass,14,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedListWithGetters_result_L110_P_27/slice.log,
testWrappedListWithGetters_result_L111_P_28,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithGetters,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedListWithGetters,result,111,Virtual_Pass,15,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedListWithGetters_result_L111_P_28/slice.log,
testWrappedListWithGetters_result_L112_P_29,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithGetters,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedListWithGetters,result,112,Virtual_Pass,17,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedListWithGetters_result_L112_P_29/slice.log,
testWrappedListWithGetters_result_L113_P_30,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithGetters,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,testWrappedListWithGetters,result,113,Virtual_Pass,18,/opt/resq/resQ_outputs/work/JacksonXml_2b/step2_slicing/_slicer4j_passed/testWrappedListWithGetters_result_L113_P_30/slice.log,
