virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
shouldNotThrowExceptionOnEmptyCharset_DataUtil_L40_F_1,org.jsoup.helper.DataUtilTest::shouldNotThrowExceptionOnEmptyCharset,org.jsoup.helper.DataUtilTest,shouldNotThrowExceptionOnEmptyCharset,DataUtil,40,Virtual_Fail,0,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_failing/shouldNotThrowExceptionOnEmptyCharset_DataUtil_L40_F_1/slice.log,
shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags_DataUtil_L46_F_2,org.jsoup.helper.DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,org.jsoup.helper.DataUtilTest,shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,DataUtil,46,Virtual_Fail,0,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_failing/shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags_DataUtil_L46_F_2/slice.log,
shouldCorrectCharsetForDuplicateCharsetString_DataUtil_L51_F_3,org.jsoup.helper.DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString,org.jsoup.helper.DataUtilTest,shouldCorrectCharsetForDuplicateCharsetString,DataUtil,51,Virtual_Fail,0,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_failing/shouldCorrectCharsetForDuplicateCharsetString_DataUtil_L51_F_3/slice.log,
shouldReturnNullForIllegalCharsetNames_DataUtil_L56_F_4,org.jsoup.helper.DataUtilTest::shouldReturnNullForIllegalCharsetNames,org.jsoup.helper.DataUtilTest,shouldReturnNullForIllegalCharsetNames,DataUtil,56,Virtual_Fail,0,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_failing/shouldReturnNullForIllegalCharsetNames_DataUtil_L56_F_4/slice.log,
testBrokenHtml5CharsetWithASingleDoubleQuote_doc_L149_F_5,org.jsoup.integration.ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote,org.jsoup.integration.ParseTest,testBrokenHtml5CharsetWithASingleDoubleQuote,doc,149,Virtual_Fail,0,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_failing/testBrokenHtml5CharsetWithASingleDoubleQuote_doc_L149_F_5/slice.log,
testCharset_DataUtil_L15_P_1,org.jsoup.helper.DataUtilTest::testCharset,org.jsoup.helper.DataUtilTest,testCharset,DataUtil,15,Virtual_Pass,0,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_passed/testCharset_DataUtil_L15_P_1/slice.log,
testCharset_DataUtil_L16_P_2,org.jsoup.helper.DataUtilTest::testCharset,org.jsoup.helper.DataUtilTest,testCharset,DataUtil,16,Virtual_Pass,5,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_passed/testCharset_DataUtil_L16_P_2/slice.log,
testCharset_DataUtil_L17_P_3,org.jsoup.helper.DataUtilTest::testCharset,org.jsoup.helper.DataUtilTest,testCharset,DataUtil,17,Virtual_Pass,5,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_passed/testCharset_DataUtil_L17_P_3/slice.log,
testCharset_DataUtil_L18_P_4,org.jsoup.helper.DataUtilTest::testCharset,org.jsoup.helper.DataUtilTest,testCharset,DataUtil,18,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_passed/testCharset_DataUtil_L18_P_4/slice.log,
testCharset_DataUtil_L19_P_5,org.jsoup.helper.DataUtilTest::testCharset,org.jsoup.helper.DataUtilTest,testCharset,DataUtil,19,Virtual_Pass,2,/opt/resq/resQ_outputs/work/Jsoup_36b/step2_slicing/_slicer4j_passed/testCharset_DataUtil_L19_P_5/slice.log,
