virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
wrongMetaCharsetFallback_doc_L98_P_1,org.jsoup.helper.DataUtilTest::wrongMetaCharsetFallback,org.jsoup.helper.DataUtilTest,wrongMetaCharsetFallback,doc,98,Virtual_Pass,21,/opt/resq/resQ_outputs/work/Jsoup_50b/step2_slicing/_slicer4j_passed/wrongMetaCharsetFallback_doc_L98_P_1/slice.log,
testSmhBizArticle_doc_L26_P_2,org.jsoup.integration.ParseTest::testSmhBizArticle,org.jsoup.integration.ParseTest,testSmhBizArticle,doc,26,Virtual_Pass,0,,
testSmhBizArticle_doc_L28_P_3,org.jsoup.integration.ParseTest::testSmhBizArticle,org.jsoup.integration.ParseTest,testSmhBizArticle,doc,28,Virtual_Pass,0,,
testNewsHomepage_doc_L40_P_4,org.jsoup.integration.ParseTest::testNewsHomepage,org.jsoup.integration.ParseTest,testNewsHomepage,doc,40,Virtual_Pass,0,,
testNewsHomepage_doc_L41_P_5,org.jsoup.integration.ParseTest::testNewsHomepage,org.jsoup.integration.ParseTest,testNewsHomepage,doc,41,Virtual_Pass,0,,
testGoogleSearchIpod_doc_L58_P_6,org.jsoup.integration.ParseTest::testGoogleSearchIpod,org.jsoup.integration.ParseTest,testGoogleSearchIpod,doc,58,Virtual_Pass,0,,
testBinary_doc_L73_P_7,org.jsoup.integration.ParseTest::testBinary,org.jsoup.integration.ParseTest,testBinary,doc,73,Virtual_Pass,0,,
testYahooJp_doc_L80_P_8,org.jsoup.integration.ParseTest::testYahooJp,org.jsoup.integration.ParseTest,testYahooJp,doc,80,Virtual_Pass,0,,
testBaidu_doc_L103_P_9,org.jsoup.integration.ParseTest::testBaidu,org.jsoup.integration.ParseTest,testBaidu,doc,103,Virtual_Pass,0,,
testBaidu_doc_L104_P_10,org.jsoup.integration.ParseTest::testBaidu,org.jsoup.integration.ParseTest,testBaidu,doc,104,Virtual_Pass,0,,
testBaidu_doc_L107_P_11,org.jsoup.integration.ParseTest::testBaidu,org.jsoup.integration.ParseTest,testBaidu,doc,107,Virtual_Pass,0,,
testBaiduVariant_doc_L118_P_12,org.jsoup.integration.ParseTest::testBaiduVariant,org.jsoup.integration.ParseTest,testBaiduVariant,doc,118,Virtual_Pass,0,,
testBaiduVariant_doc_L119_P_13,org.jsoup.integration.ParseTest::testBaiduVariant,org.jsoup.integration.ParseTest,testBaiduVariant,doc,119,Virtual_Pass,0,,
