statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,3,25,50,0.0
S2,0,3,13,62,0.0
S3,0,3,13,62,0.0
S4,0,3,13,62,0.0
S5,0,3,13,62,0.0
S6,0,3,13,62,0.0
S7,0,3,13,62,0.0
S8,0,3,13,62,0.0
S9,0,3,8,67,0.0
S10,0,3,8,67,0.0
S11,0,3,8,67,0.0
S12,0,3,8,67,0.0
S13,0,3,8,67,0.0
S14,0,3,8,67,0.0
S15,0,3,8,67,0.0
S16,0,3,20,55,0.0
S17,0,3,20,55,0.0
S18,0,3,8,67,0.0
S19,1,2,67,8,0.070014
S20,1,2,67,8,0.070014
S21,1,2,67,8,0.070014
S22,1,2,67,8,0.070014
S23,1,2,67,8,0.070014
S24,1,2,53,22,0.078567
S25,1,2,53,22,0.078567
S26,1,2,53,22,0.078567
S27,1,2,36,39,0.094916
S28,1,2,53,22,0.078567
S29,1,2,53,22,0.078567
S30,1,2,53,22,0.078567
S31,1,2,53,22,0.078567
S32,1,2,53,22,0.078567
S33,1,2,53,22,0.078567
S34,1,2,53,22,0.078567
S35,1,2,53,22,0.078567
S36,1,2,44,31,0.086066
S37,1,2,44,31,0.086066
S38,1,2,23,52,0.117851
S39,1,2,44,31,0.086066
S40,1,2,37,38,0.093659
S41,1,2,37,38,0.093659
S42,1,2,37,38,0.093659
S43,1,2,36,39,0.094916
S44,1,2,31,44,0.102062
S45,1,2,35,40,0.096225
S46,1,2,35,40,0.096225
S47,1,2,35,40,0.096225
S48,1,2,53,22,0.078567
S49,1,2,53,22,0.078567
S50,1,2,53,22,0.078567
S51,1,2,53,22,0.078567
S52,1,2,44,31,0.086066
S53,1,2,44,31,0.086066
S54,1,2,44,31,0.086066
S55,1,2,44,31,0.086066
S56,1,2,26,49,0.111111
S57,1,2,26,49,0.111111
S58,1,2,12,63,0.160128
S59,1,2,12,63,0.160128
S60,1,2,26,49,0.111111
S61,0,3,3,72,0.0
S62,0,3,3,72,0.0
S63,0,3,3,72,0.0
S64,0,3,3,72,0.0
S65,0,3,21,54,0.0
S66,0,3,3,72,0.0
S67,0,3,3,72,0.0
S68,0,3,3,72,0.0
S69,0,3,3,72,0.0
S70,0,3,3,72,0.0
S71,0,3,13,62,0.0
S72,0,3,13,62,0.0
S73,0,3,13,62,0.0
S74,0,3,13,62,0.0
S75,0,3,13,62,0.0
S76,0,3,13,62,0.0
S77,0,3,21,54,0.0
S78,0,3,21,54,0.0
