Project,BugID,File,Line,Approx,Reason
Chart,18b,DefaultKeyedValues.java,320,False,live_line_never_executed
Chart,21b,DefaultBoxAndWhiskerCategoryDataset.java,157,True,dead_code_never_executed
Chart,21b,DefaultBoxAndWhiskerCategoryDataset.java,188,True,dead_code_never_executed
Chart,21b,DefaultBoxAndWhiskerCategoryDataset.java,742,True,dead_code_never_executed
Chart,22b,KeyedObjects2D.java,318,True,dead_code_never_executed
Chart,22b,KeyedObjects2D.java,319,True,dead_code_never_executed
Chart,22b,KeyedObjects2D.java,320,True,dead_code_never_executed
Chart,23b,MinMaxCategoryRenderer.java,435,True,dead_code_never_executed
Chart,25b,StatisticalBarRenderer.java,259,True,dead_code_never_executed
Chart,25b,StatisticalBarRenderer.java,344,True,dead_code_never_executed
Chart,25b,StatisticalBarRenderer.java,403,True,dead_code_never_executed
Chart,25b,StatisticalBarRenderer.java,487,True,dead_code_never_executed
Chart,5b,XYSeries.java,544,True,dead_code_never_executed
Chart,7b,TimePeriodValues.java	(revision 1086),299,False,live_line_never_executed
Chart,7b,TimePeriodValues.java	(revision 1086),301,False,live_line_never_executed
Gson,12b,JsonTreeReader.java,265,True,dead_code_never_executed
Gson,18b,$Gson$Types.java,278,True,dead_code_never_executed
Gson,1b,TypeInfoFactory.java,113,False,live_line_never_executed
Gson,1b,TypeInfoFactory.java,109,True,dead_code_never_executed
Gson,1b,TypeInfoFactory.java,110,True,dead_code_never_executed
Gson,1b,TypeInfoFactory.java,111,True,dead_code_never_executed
Gson,1b,TypeInfoFactory.java,112,True,dead_code_never_executed
Gson,2b,TypeAdapters.java,835,True,dead_code_never_executed
Gson,3b,ConstructorConstructor.java,36,True,dead_code_never_executed
Gson,4b,JsonReader.java,576,False,live_line_never_executed
Gson,4b,JsonReader.java,587,False,live_line_never_executed
Gson,4b,JsonWriter.java,613,False,live_line_never_executed
Gson,4b,JsonWriter.java,625,False,live_line_never_executed
Gson,8b,UnsafeAllocator.java,23,True,dead_code_never_executed
Gson,8b,UnsafeAllocator.java,71,True,dead_code_never_executed
Gson,8b,UnsafeAllocator.java,90,True,dead_code_never_executed
Gson,8b,UnsafeAllocator.java,110,True,dead_code_never_executed
Gson,9b,JsonTreeWriter.java,162,True,dead_code_never_executed
Gson,9b,TypeAdapters.java,168,False,live_line_never_executed
Gson,9b,JsonWriter.java,476,True,dead_code_never_executed
JacksonCore,12b,ReaderBasedJsonParser.java,635,True,dead_code_never_executed
JacksonCore,12b,ReaderBasedJsonParser.java,917,True,dead_code_never_executed
JacksonCore,13b,JsonGeneratorImpl.java,127,True,dead_code_never_executed
JacksonCore,15b,FilteringParserDelegate.java,227,True,dead_code_never_executed
JacksonCore,15b,FilteringParserDelegate.java,228,True,dead_code_never_executed
JacksonCore,15b,FilteringParserDelegate.java,230,True,dead_code_never_executed
JacksonCore,16b,JsonParserSequence.java,35,True,dead_code_never_executed
JacksonCore,16b,JsonParserSequence.java,104,False,live_line_never_executed
JacksonCore,17b,UTF8JsonGenerator.java,528,True,dead_code_never_executed
JacksonCore,17b,UTF8JsonGenerator.java,532,True,dead_code_never_executed
JacksonCore,17b,UTF8JsonGenerator.java,672,True,dead_code_never_executed
JacksonCore,18b,GeneratorBase.java,53,True,dead_code_never_executed
JacksonCore,18b,GeneratorBase.java,434,True,dead_code_never_executed
JacksonCore,18b,UTF8JsonGenerator.java,913,False,live_line_never_executed
JacksonCore,1b,NumberInput.java,296,True,dead_code_never_executed
JacksonCore,1b,NumberInput.java,305,True,dead_code_never_executed
JacksonCore,1b,NumberInput.java,306,True,dead_code_never_executed
JacksonCore,1b,NumberInput.java,308,True,dead_code_never_executed
JacksonCore,1b,TextBuffer.java,390,False,live_line_never_executed
JacksonCore,1b,TextBuffer.java,394,False,live_line_never_executed
JacksonCore,22b,FilteringParserDelegate.java,771,True,dead_code_never_executed
JacksonCore,24b,ParserMinimalBase.java,565,False,live_line_never_executed
JacksonCore,24b,ParserMinimalBase.java,566,False,live_line_never_executed
JacksonCore,24b,ParserMinimalBase.java,570,True,dead_code_never_executed
JacksonCore,24b,ParserMinimalBase.java,587,True,dead_code_never_executed
JacksonCore,2b,ReaderBasedJsonParser.java,1162,True,dead_code_never_executed
JacksonCore,2b,ReaderBasedJsonParser.java,1163,True,dead_code_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,1244,True,dead_code_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,1280,True,dead_code_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,1421,True,dead_code_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,1422,True,dead_code_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,1423,True,dead_code_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,2575,False,live_line_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,2576,False,live_line_never_executed
JacksonCore,2b,UTF8StreamJsonParser.java,2577,False,live_line_never_executed
JacksonCore,3b,UTF8StreamJsonParser.java,125,True,dead_code_never_executed
JacksonCore,4b,TextBuffer.java,585,True,dead_code_never_executed
JacksonCore,9b,ParserMinimalBase.java,392,True,dead_code_never_executed
JacksonCore,9b,ReaderBasedJsonParser.java,266,True,dead_code_never_executed
JacksonCore,9b,UTF8StreamJsonParser.java,319,True,dead_code_never_executed
JxPath,11b,DOMAttributeIterator.java,22,True,dead_code_never_executed
JxPath,11b,DOMAttributeIterator.java,111,False,live_line_never_executed
JxPath,11b,JDOMAttributeIterator.java,23,True,dead_code_never_executed
JxPath,11b,JDOMAttributeIterator.java,114,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,47,True,dead_code_never_executed
JxPath,13b,NamespaceResolver.java,108,True,dead_code_never_executed
JxPath,13b,NamespaceResolver.java,118,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,119,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,121,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,122,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,132,True,dead_code_never_executed
JxPath,13b,NamespaceResolver.java,141,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,142,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,143,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,144,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,145,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,146,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,147,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,148,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,149,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,150,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,151,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,139,True,dead_code_never_executed
JxPath,13b,NamespaceResolver.java,159,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,160,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,161,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,162,False,live_line_never_executed
JxPath,13b,NamespaceResolver.java,200,False,live_line_never_executed
JxPath,13b,DOMNodePointer.java,29,True,dead_code_never_executed
JxPath,13b,DOMNodePointer.java,61,True,dead_code_never_executed
JxPath,13b,DOMNodePointer.java,189,True,dead_code_never_executed
JxPath,15b,UnionContext.java,20,True,dead_code_never_executed
JxPath,15b,UnionContext.java,22,True,dead_code_never_executed
JxPath,15b,UnionContext.java,65,False,live_line_never_executed
JxPath,16b,DOMNodePointer.java,148,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,87,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,88,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,89,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,91,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,92,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,93,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,94,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,95,False,live_line_never_executed
JxPath,17b,DOMAttributeIterator.java,155,False,live_line_never_executed
JxPath,17b,JDOMAttributeIterator.java,74,False,live_line_never_executed
JxPath,17b,JDOMAttributeIterator.java,82,False,live_line_never_executed
JxPath,17b,JDOMAttributeIterator.java,117,False,live_line_never_executed
JxPath,18b,AttributeContext.java,19,True,dead_code_never_executed
JxPath,18b,AttributeContext.java,23,True,dead_code_never_executed
JxPath,18b,AttributeContext.java,33,True,dead_code_never_executed
JxPath,18b,AttributeContext.java,91,False,live_line_never_executed
JxPath,19b,DOMNodePointer.java,564,False,live_line_never_executed
JxPath,19b,DOMNodePointer.java,571,True,dead_code_never_executed
JxPath,19b,JDOMNodePointer.java,709,True,dead_code_never_executed
JxPath,20b,CoreOperationRelationalExpression.java,138,True,dead_code_never_executed
JxPath,2b,Expression.java,19,True,dead_code_never_executed
JxPath,2b,Expression.java,145,False,live_line_never_executed
JxPath,3b,NullPropertyPointer.java,19,True,dead_code_never_executed
JxPath,3b,NullPropertyPointer.java,109,True,dead_code_never_executed
JxPath,3b,NullPropertyPointer.java,224,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,296,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,297,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,301,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,311,True,dead_code_never_executed
JxPath,4b,DOMNodePointer.java,643,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,655,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,656,False,live_line_never_executed
JxPath,4b,DOMNodePointer.java,658,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,250,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,251,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,252,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,253,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,256,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,257,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,258,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,259,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,260,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,262,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,249,True,dead_code_never_executed
JxPath,4b,JDOMNodePointer.java,436,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,440,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,441,False,live_line_never_executed
JxPath,4b,JDOMNodePointer.java,756,False,live_line_never_executed
JxPath,7b,CoreOperationGreaterThan.java,19,False,live_line_never_executed
JxPath,7b,CoreOperationGreaterThan.java,20,False,live_line_never_executed
JxPath,7b,CoreOperationGreaterThan.java,33,False,live_line_never_executed
JxPath,7b,CoreOperationGreaterThanOrEqual.java,19,False,live_line_never_executed
JxPath,7b,CoreOperationGreaterThanOrEqual.java,20,False,live_line_never_executed
JxPath,7b,CoreOperationGreaterThanOrEqual.java,34,False,live_line_never_executed
JxPath,7b,CoreOperationLessThan.java,19,False,live_line_never_executed
JxPath,7b,CoreOperationLessThan.java,20,False,live_line_never_executed
JxPath,7b,CoreOperationLessThan.java,33,False,live_line_never_executed
JxPath,7b,CoreOperationLessThanOrEqual.java,19,False,live_line_never_executed
JxPath,7b,CoreOperationLessThanOrEqual.java,20,False,live_line_never_executed
JxPath,7b,CoreOperationLessThanOrEqual.java,34,False,live_line_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,19,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,20,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,33,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,42,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,43,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,44,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,45,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,46,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,47,True,dead_code_never_executed
JxPath,7b,CoreOperationRelationalExpression.java,48,True,dead_code_never_executed
JxPath,9b,CoreOperationCompare.java,37,True,dead_code_never_executed
JxPath,9b,CoreOperationCompare.java,39,True,dead_code_never_executed
JxPath,9b,CoreOperationCompare.java,41,True,dead_code_never_executed
JxPath,9b,CoreOperationCompare.java,43,True,dead_code_never_executed
JxPath,9b,CoreOperationCompare.java,126,False,live_line_never_executed
JxPath,9b,CoreOperationCompare.java,127,False,live_line_never_executed
JxPath,9b,CoreOperationCompare.java,138,False,live_line_never_executed
JxPath,9b,CoreOperationCompare.java,142,False,live_line_never_executed
JxPath,9b,CoreOperationCompare.java,150,False,live_line_never_executed
JxPath,9b,CoreOperationEqual.java,19,False,live_line_never_executed
JxPath,9b,CoreOperationEqual.java,32,False,live_line_never_executed
JxPath,9b,CoreOperationEqual.java,34,False,live_line_never_executed
JxPath,9b,CoreOperationNotEqual.java,19,False,live_line_never_executed
JxPath,9b,CoreOperationNotEqual.java,32,False,live_line_never_executed
JxPath,9b,CoreOperationNotEqual.java,33,False,live_line_never_executed
JxPath,9b,CoreOperationNotEqual.java,34,False,live_line_never_executed
Lang,10b,FastDateParser.java,311,False,live_line_never_executed
Lang,10b,FastDateParser.java,312,False,live_line_never_executed
Lang,10b,FastDateParser.java,313,False,live_line_never_executed
Lang,12b,RandomStringUtils.java,230,True,dead_code_never_executed
Lang,13b,SerializationUtils.java,239,True,dead_code_never_executed
Lang,13b,SerializationUtils.java,252,True,dead_code_never_executed
Lang,13b,SerializationUtils.java,269,True,dead_code_never_executed
Lang,17b,CharSequenceTranslator.java,90,False,live_line_never_executed
Lang,17b,CharSequenceTranslator.java,96,False,live_line_never_executed
Lang,17b,CharSequenceTranslator.java,98,False,live_line_never_executed
Lang,17b,CharSequenceTranslator.java,99,False,live_line_never_executed
Lang,23b,ExtendedMessageFormat.java,73,True,dead_code_never_executed
Lang,23b,ExtendedMessageFormat.java,263,True,dead_code_never_executed
Lang,23b,ExtendedMessageFormat.java,269,True,dead_code_never_executed
Lang,25b,EntityArrays.java,74,False,live_line_never_executed
Lang,25b,EntityArrays.java,75,False,live_line_never_executed
Lang,25b,EntityArrays.java,76,False,live_line_never_executed
Lang,25b,EntityArrays.java,77,False,live_line_never_executed
Lang,25b,EntityArrays.java,78,False,live_line_never_executed
Lang,25b,EntityArrays.java,79,False,live_line_never_executed
Lang,25b,EntityArrays.java,80,False,live_line_never_executed
Lang,25b,EntityArrays.java,81,False,live_line_never_executed
Lang,25b,EntityArrays.java,82,False,live_line_never_executed
Lang,25b,EntityArrays.java,83,False,live_line_never_executed
Lang,25b,EntityArrays.java,84,False,live_line_never_executed
Lang,25b,EntityArrays.java,85,False,live_line_never_executed
Lang,25b,EntityArrays.java,86,False,live_line_never_executed
Lang,25b,EntityArrays.java,87,False,live_line_never_executed
Lang,25b,EntityArrays.java,88,False,live_line_never_executed
Lang,25b,EntityArrays.java,89,False,live_line_never_executed
Lang,25b,EntityArrays.java,90,False,live_line_never_executed
Lang,25b,EntityArrays.java,91,False,live_line_never_executed
Lang,25b,EntityArrays.java,92,False,live_line_never_executed
Lang,25b,EntityArrays.java,93,False,live_line_never_executed
Lang,25b,EntityArrays.java,94,False,live_line_never_executed
Lang,25b,EntityArrays.java,95,False,live_line_never_executed
Lang,25b,EntityArrays.java,96,False,live_line_never_executed
Lang,25b,EntityArrays.java,97,False,live_line_never_executed
Lang,25b,EntityArrays.java,98,False,live_line_never_executed
Lang,25b,EntityArrays.java,99,False,live_line_never_executed
Lang,25b,EntityArrays.java,100,False,live_line_never_executed
