Project,BugID,File,Line,Approx,Reason
Lang,37b,ArrayUtils.java,2963,True,dead_code_never_executed
Lang,41b,ClassUtils.java,191,True,dead_code_never_executed
Lang,41b,ClassUtils.java,193,True,dead_code_never_executed
Lang,41b,ClassUtils.java,194,True,dead_code_never_executed
Lang,41b,ClassUtils.java,195,True,dead_code_never_executed
Lang,41b,ClassUtils.java,250,True,dead_code_never_executed
Lang,41b,ClassUtils.java,251,True,dead_code_never_executed
Lang,45b,WordUtils.java,616,True,dead_code_never_executed
Lang,46b,StringEscapeUtils.java,154,False,live_line_never_executed
Lang,46b,StringEscapeUtils.java,178,False,live_line_never_executed
Lang,50b,FastDateFormat.java,294,False,live_line_never_executed
Lang,50b,FastDateFormat.java,289,True,dead_code_never_executed
Lang,50b,FastDateFormat.java,473,False,live_line_never_executed
Lang,50b,FastDateFormat.java,468,True,dead_code_never_executed
Lang,56b,FastDateFormat.java,140,False,live_line_never_executed
Lang,56b,FastDateFormat.java,144,False,live_line_never_executed
Lang,56b,FastDateFormat.java,1022,True,dead_code_never_executed
Lang,53b,DateUtils.java,645,False,live_line_never_executed
Lang,53b,DateUtils.java,654,False,live_line_never_executed
Lang,58b,NumberUtils.java,450,False,live_line_never_executed
Lang,63b,DurationFormatUtils.java,432,False,live_line_never_executed
Lang,63b,DurationFormatUtils.java,440,False,live_line_never_executed
Lang,63b,DurationFormatUtils.java,442,False,live_line_never_executed
Lang,63b,DurationFormatUtils.java,443,False,live_line_never_executed
Lang,64b,ValuedEnum.java,192,True,dead_code_never_executed
Lang,64b,ValuedEnum.java,193,True,dead_code_never_executed
Lang,64b,ValuedEnum.java,194,True,dead_code_never_executed
Lang,64b,ValuedEnum.java,195,True,dead_code_never_executed
Lang,65b,DateUtils.java,624,True,dead_code_never_executed
Lang,65b,DateUtils.java,631,True,dead_code_never_executed
Lang,65b,DateUtils.java,633,True,dead_code_never_executed
Lang,65b,DateUtils.java,635,True,dead_code_never_executed
Lang,65b,DateUtils.java,637,True,dead_code_never_executed
Lang,65b,DateUtils.java,639,True,dead_code_never_executed
