Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Chart,6b,1,1,1.0,4,,
Chart,7b,2,0,0.0,1,,
Chart,8b,1,1,1.0,1,,
Chart,9b,1,1,1.0,2,,
Chart,10b,1,1,1.0,1,,
Chart,5b,2,1,0.5,3,,
Chart,3b,1,1,1.0,2,,
Chart,1b,1,1,1.0,3,,
Chart,4b,2,2,1.0,24,,
Chart,12b,1,1,1.0,3,,
Chart,11b,1,1,1.0,2,,
Chart,16b,3,3,1.0,8,,
Chart,17b,1,1,1.0,2,,
Chart,15b,3,1,0.333333,3,,
Chart,14b,4,4,1.0,6,,
Chart,13b,1,1,1.0,2,,
Chart,19b,2,2,1.0,4,,
Chart,21b,4,1,0.25,1,,
Chart,24b,1,1,1.0,1,,
Chart,25b,6,2,0.333333,4,,
Chart,23b,1,0,0.0,1,,
Chart,20b,1,1,1.0,3,,
Chart,22b,7,4,0.571429,6,,
Gson,3b,2,1,0.5,3,,
Chart,18b,6,5,0.833333,5,,
Gson,5b,1,1,1.0,1,,
Gson,1b,6,1,0.166667,1,,
Chart,2b,6,4,0.666667,4,,
Chart,26b,2,2,1.0,24,,
Gson,8b,5,1,0.2,2,,
Gson,2b,2,1,0.5,2,,
Gson,9b,6,0,0.0,2,,
Gson,12b,4,2,0.5,3,,
Gson,11b,1,0,0.0,2,,
Gson,14b,4,4,1.0,7,,
Gson,6b,2,1,0.5,3,,
Gson,16b,2,2,1.0,2,,
Gson,15b,1,1,1.0,2,,
Gson,18b,2,1,0.5,1,,
JacksonCore,1b,7,1,0.142857,1,,
Gson,17b,2,2,1.0,2,,
Gson,10b,1,1,1.0,2,,
JacksonCore,2b,13,1,0.076923,2,,
JacksonCore,4b,2,1,0.5,1,,
JacksonCore,3b,2,1,0.5,1,,
JacksonCore,5b,1,1,1.0,1,,
JacksonCore,7b,1,1,1.0,2,,
JacksonCore,6b,2,2,1.0,1,,
JacksonCore,8b,1,1,1.0,1,,
JacksonCore,9b,6,3,0.5,2,,
JacksonCore,11b,1,1,1.0,1,,
Gson,4b,18,4,0.222222,4,,
JacksonCore,13b,1,0,0.0,1,,
JacksonCore,15b,3,0,0.0,1,,
JacksonCore,16b,9,6,0.666667,1,,
JacksonCore,17b,7,3,0.428571,1,,
JacksonCore,14b,3,2,0.666667,1,,
JacksonCore,12b,14,3,0.214286,1,,
JacksonCore,18b,11,1,0.090909,1,,
JacksonCore,19b,2,1,0.5,1,,
JacksonCore,20b,1,1,1.0,2,,
JacksonCore,21b,1,1,1.0,3,,
JacksonCore,22b,10,9,0.9,12,,
JacksonCore,23b,1,1,1.0,10,,
Gson,7b,4,4,1.0,4,,
JxPath,1b,2,0,0.0,2,,
JacksonCore,26b,1,1,1.0,10,,
JxPath,2b,4,1,0.25,1,,
JxPath,3b,4,0,0.0,1,,
JxPath,4b,31,8,0.258065,6,,
JxPath,5b,1,1,1.0,1,,
JxPath,6b,2,2,1.0,1,,
JxPath,7b,34,3,0.088235,1,,
JxPath,8b,2,2,1.0,1,,
Gson,13b,1,1,1.0,2,,
JxPath,11b,5,0,0.0,0,,
JxPath,10b,1,1,1.0,1,,
JxPath,9b,29,5,0.172414,1,,
JxPath,12b,1,1,1.0,1,,
JxPath,13b,32,5,0.15625,1,,
JxPath,14b,3,3,1.0,1,,
JxPath,17b,14,0,0.0,0,,
JxPath,15b,5,0,0.0,0,,
JxPath,16b,2,0,0.0,0,,
JxPath,20b,2,1,0.5,1,,
JxPath,18b,7,0,0.0,0,,
JxPath,19b,7,4,0.571429,2,,
JxPath,21b,1,1,1.0,2,,
JxPath,22b,3,2,0.666667,1,,
Lang,4b,4,3,0.75,1,,
Lang,5b,2,1,0.5,1,,
Lang,6b,1,1,1.0,1,,
JacksonCore,10b,2,2,1.0,4,,
Lang,8b,3,2,0.666667,3,,
Lang,9b,1,1,1.0,3,,
Lang,10b,9,6,0.666667,3,,
Lang,11b,1,1,1.0,1,,
Lang,12b,3,2,0.666667,2,,
Lang,3b,4,1,0.25,9,,
Lang,13b,4,1,0.25,2,,
Lang,1b,3,3,1.0,9,,
Lang,15b,4,4,1.0,2,,
Lang,17b,10,3,0.3,1,,
Lang,18b,3,2,0.666667,3,,
Lang,19b,4,3,0.75,2,,
JacksonCore,25b,1,1,1.0,10,,
Lang,21b,1,1,1.0,2,,
Lang,7b,5,3,0.6,9,,
Lang,23b,3,0,0.0,3,,
Lang,24b,1,1,1.0,9,,
Lang,16b,1,1,1.0,9,,
Lang,25b,27,0,0.0,1,,
Lang,26b,1,1,1.0,3,,
Lang,28b,2,2,1.0,1,,
Lang,27b,2,2,1.0,7,,
JacksonCore,24b,7,4,0.571429,17,,
Lang,29b,1,0,0.0,10,,
Lang,32b,8,5,0.625,1,,
Lang,33b,1,1,1.0,1,,
Lang,34b,2,2,1.0,28,,
Lang,36b,2,2,1.0,8,,
Lang,35b,2,1,0.5,3,,
Lang,38b,1,1,1.0,3,,
Lang,37b,3,2,0.666667,2,,
Lang,40b,1,1,1.0,8,,
Lang,41b,8,2,0.25,2,,
Lang,42b,2,2,1.0,6,,
Lang,43b,1,1,1.0,3,,
Lang,44b,1,1,1.0,1,,
Lang,45b,1,0,0.0,1,,
Lang,46b,9,3,0.333333,1,,
Lang,31b,2,2,1.0,9,,
Lang,14b,2,1,0.5,9,,
Lang,30b,16,12,0.75,17,,
Lang,49b,1,1,1.0,1,,
Lang,50b,12,8,0.666667,4,,
Lang,52b,1,1,1.0,1,,
Lang,20b,2,2,1.0,9,,
Lang,54b,1,1,1.0,1,True,True
Lang,55b,2,2,1.0,1,True,True
Lang,56b,3,0,0.0,2,False,False
Lang,57b,1,1,1.0,11,True,True
Lang,53b,4,0,0.0,2,False,False
Lang,51b,1,1,1.0,1,True,True
Lang,60b,2,1,0.5,2,False,True
Lang,58b,1,0,0.0,7,False,False
Lang,62b,4,0,0.0,6,False,False
Lang,63b,21,17,0.809524,1,False,True
Lang,64b,5,1,0.2,1,False,True
Lang,65b,8,2,0.25,1,False,True
Lang,39b,1,1,1.0,8,True,True
Lang,48b,2,1,0.5,2,False,True
Lang,47b,2,2,1.0,3,True,True
Lang,59b,1,1,1.0,2,True,True
Lang,61b,1,1,1.0,3,True,True
Math,2b,1,1,1.0,1,True,True
Math,1b,2,2,1.0,3,True,True
Math,4b,2,1,0.5,2,False,True
Math,5b,1,1,1.0,8,True,True
Math,6b,17,7,0.411765,26,False,True
Math,8b,2,1,0.5,1,False,True
Math,12b,3,0,0.0,0,False,False
Math,9b,1,1,1.0,1,True,True
Math,14b,6,0,0.0,1,False,False
Math,3b,2,0,0.0,11,False,False
Math,29b,5,0,0.0,0,False,False
Math,25b,1,1,1.0,2,True,True
Math,19b,1,1,1.0,1,True,True
Math,24b,2,1,0.5,1,False,True
Math,30b,1,1,1.0,1,True,True
Math,23b,4,2,0.5,1,False,True
Math,20b,1,1,1.0,1,True,True
Math,35b,2,2,1.0,4,True,True
Math,34b,1,1,1.0,1,True,True
Math,10b,1,0,0.0,2,False,False
Math,22b,2,0,0.0,0,False,False
Math,33b,1,1,1.0,1,True,True
Math,32b,1,1,1.0,1,True,True
Math,11b,1,1,1.0,1,True,True
Math,17b,2,1,0.5,1,False,True
Math,38b,4,3,0.75,1,False,True
Math,18b,5,2,0.4,1,False,True
Math,36b,4,2,0.5,2,False,True
Math,26b,2,2,1.0,2,True,True
Math,27b,1,1,1.0,2,True,True
Math,40b,2,1,0.5,1,False,True
Math,21b,11,11,1.0,2,True,True
Math,42b,2,2,1.0,1,True,True
Math,39b,1,1,1.0,2,True,True
Math,41b,1,0,0.0,0,False,False
Math,44b,3,2,0.666667,2,False,True
Math,48b,1,1,1.0,2,True,True
Math,49b,4,1,0.25,1,False,True
Math,43b,3,3,1.0,3,True,True
Math,45b,1,1,1.0,3,True,True
Math,50b,4,3,0.75,2,False,True
Math,51b,1,1,1.0,2,True,True
Math,52b,3,1,0.333333,1,False,True
Math,55b,5,1,0.2,1,False,True
Math,54b,2,1,0.5,1,False,True
Math,57b,1,1,1.0,1,True,True
Math,58b,1,1,1.0,1,True,True
Math,56b,7,6,0.857143,1,False,True
Math,28b,3,3,1.0,1,True,True
Math,60b,9,0,0.0,1,False,False
Math,61b,2,1,0.5,1,False,True
Math,62b,4,4,1.0,1,True,True
Math,31b,32,12,0.375,2,False,True
Math,64b,13,8,0.615385,2,False,True
Math,66b,21,14,0.666667,4,False,True
Math,67b,2,1,0.5,1,False,True
Math,68b,6,4,0.666667,2,False,True
Math,69b,1,1,1.0,1,True,True
Math,37b,4,3,0.75,13,False,True
Math,71b,2,2,1.0,2,True,True
Math,47b,5,2,0.4,3,False,True
Math,46b,2,1,0.5,3,False,True
Math,70b,1,1,1.0,1,True,True
Math,75b,1,1,1.0,1,True,True
Math,72b,2,1,0.5,1,False,True
Math,73b,1,0,0.0,1,False,False
Math,76b,12,5,0.416667,2,False,True
Math,13b,2,1,0.5,2,False,True
Math,16b,9,4,0.444444,16,False,True
Math,59b,1,1,1.0,3,True,True
Math,78b,1,1,1.0,1,True,True
Math,81b,4,2,0.5,1,False,True
Math,77b,10,7,0.7,2,False,True
Math,80b,1,1,1.0,1,True,True
Math,84b,3,2,0.666667,2,False,True
Math,85b,1,1,1.0,1,True,True
Math,79b,2,2,1.0,2,True,True
Math,86b,4,2,0.5,2,False,True
Math,53b,1,1,1.0,2,True,True
Math,89b,2,1,0.5,1,False,True
Math,90b,2,1,0.5,1,False,True
Math,91b,2,2,1.0,1,True,True
Math,92b,15,4,0.266667,1,False,True
Math,65b,7,6,0.857143,1,False,True
Math,74b,4,2,0.5,1,False,True
Math,95b,3,1,0.333333,1,False,True
Math,93b,4,4,1.0,1,True,True
Math,97b,2,1,0.5,1,False,True
Math,96b,1,1,1.0,1,True,True
Math,82b,1,1,1.0,1,True,True
Math,83b,3,3,1.0,1,True,True
Math,102b,3,3,1.0,4,True,True
Math,88b,8,6,0.75,1,False,True
Math,98b,2,2,1.0,2,True,True
Math,103b,2,1,0.5,1,False,True
Math,105b,1,1,1.0,1,True,True
Math,106b,4,0,0.0,1,False,False
Math,87b,4,2,0.5,1,False,True
Math,104b,1,0,0.0,1,False,False
Math,100b,3,1,0.333333,1,False,True
Math,94b,1,1,1.0,1,True,True
Math,99b,2,2,1.0,2,True,True
Math,15b,2,1,0.5,15,False,True
Math,63b,1,1,1.0,2,True,True
Compress,1b,1,1,1.0,1,True,True
Compress,7b,2,2,1.0,1,True,True
Compress,8b,11,2,0.181818,1,False,True
Compress,2b,16,3,0.1875,3,False,True
Compress,6b,4,2,0.5,1,False,True
Compress,3b,4,1,0.25,3,False,True
Compress,10b,2,2,1.0,1,True,True
Compress,4b,4,1,0.25,12,False,True
Compress,5b,2,1,0.5,3,False,True
Compress,9b,3,1,0.333333,3,False,True
Compress,14b,8,6,0.75,3,False,True
Compress,15b,6,2,0.333333,1,False,True
Compress,11b,2,0,0.0,3,False,False
Compress,17b,1,1,1.0,3,True,True
Compress,21b,3,3,1.0,8,True,True
Compress,16b,2,2,1.0,3,True,True
Compress,23b,1,1,1.0,1,True,True
Compress,18b,2,1,0.5,3,False,True
Compress,13b,1,1,1.0,2,True,True
Compress,12b,1,1,1.0,3,True,True
Compress,20b,6,2,0.333333,3,False,True
Compress,24b,8,2,0.25,4,False,True
Compress,27b,3,2,0.666667,4,False,True
Compress,19b,1,1,1.0,1,True,True
Compress,25b,1,0,0.0,4,False,False
Compress,26b,1,1,1.0,5,True,True
Compress,28b,3,3,1.0,4,True,True
Compress,31b,3,2,0.666667,6,False,True
Compress,29b,16,10,0.625,6,False,True
Compress,33b,3,0,0.0,1,False,False
Compress,34b,2,2,1.0,2,True,True
Compress,36b,1,1,1.0,5,True,True
Compress,35b,6,5,0.833333,5,False,True
Compress,40b,5,3,0.6,2,False,True
Compress,30b,1,0,0.0,1,False,False
Compress,32b,2,1,0.5,6,False,True
Compress,38b,1,1,1.0,5,True,True
Compress,39b,2,1,0.5,5,False,True
Compress,44b,2,0,0.0,6,False,False
Compress,22b,17,6,0.352941,1,False,True
Compress,45b,2,2,1.0,5,True,True
Compress,46b,2,2,1.0,2,True,True
Compress,43b,5,1,0.2,12,False,True
Compress,42b,2,1,0.5,2,False,True
Compress,47b,3,1,0.333333,12,False,True
Compress,41b,2,2,1.0,7,True,True
Compress,37b,1,1,1.0,6,True,True
