Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Chart,6b,1,0,0.0,2,,
Chart,7b,2,0,0.0,1,,
Chart,8b,1,1,1.0,1,,
Chart,9b,1,0,0.0,1,,
Chart,10b,1,0,0.0,0,,
Chart,5b,2,1,0.5,1,,
Chart,3b,1,1,1.0,1,,
Chart,1b,1,1,1.0,1,,
Chart,4b,2,0,0.0,7,,
Chart,12b,1,0,0.0,1,,
Chart,11b,1,1,1.0,1,,
Chart,16b,3,3,1.0,8,,
Chart,17b,1,0,0.0,1,,
Chart,15b,3,1,0.333333,1,,
Chart,14b,4,0,0.0,4,,
Chart,13b,1,0,0.0,0,,
Chart,19b,2,0,0.0,2,,
Chart,21b,4,0,0.0,1,,
Chart,24b,1,0,0.0,0,,
Chart,25b,6,2,0.333333,4,,
Chart,23b,1,0,0.0,1,,
Chart,20b,1,1,1.0,1,,
Chart,22b,7,1,0.142857,5,,
Gson,3b,2,0,0.0,2,,
Chart,18b,6,0,0.0,4,,
Gson,5b,1,0,0.0,1,,
Gson,1b,6,0,0.0,1,,
Chart,2b,6,0,0.0,2,,
Chart,26b,2,1,0.5,22,,
Gson,8b,5,1,0.2,2,,
Gson,2b,2,0,0.0,1,,
Gson,9b,6,0,0.0,1,,
Gson,12b,4,0,0.0,2,,
Gson,11b,1,0,0.0,1,,
Gson,14b,4,0,0.0,4,,
Gson,6b,2,0,0.0,2,,
Gson,16b,2,0,0.0,0,,
Gson,15b,1,0,0.0,1,,
Gson,18b,2,0,0.0,1,,
JacksonCore,1b,7,0,0.0,1,,
Gson,17b,2,0,0.0,2,,
Gson,10b,1,0,0.0,1,,
JacksonCore,2b,13,0,0.0,2,,
JacksonCore,4b,2,1,0.5,1,,
JacksonCore,3b,2,1,0.5,1,,
JacksonCore,5b,1,0,0.0,1,,
JacksonCore,7b,1,0,0.0,2,,
JacksonCore,6b,2,2,1.0,1,,
JacksonCore,8b,1,1,1.0,1,,
JacksonCore,9b,6,0,0.0,2,,
JacksonCore,11b,1,0,0.0,1,,
Gson,4b,18,0,0.0,3,,
JacksonCore,13b,1,0,0.0,1,,
JacksonCore,15b,3,0,0.0,1,,
JacksonCore,16b,9,6,0.666667,1,,
JacksonCore,17b,7,0,0.0,1,,
JacksonCore,14b,3,0,0.0,0,,
JacksonCore,12b,14,2,0.142857,1,,
JacksonCore,18b,11,1,0.090909,1,,
JacksonCore,19b,2,0,0.0,1,,
JacksonCore,20b,1,0,0.0,2,,
JacksonCore,21b,1,1,1.0,2,,
JacksonCore,22b,10,6,0.6,12,,
JacksonCore,23b,1,0,0.0,1,,
Gson,7b,4,0,0.0,2,,
JxPath,1b,2,0,0.0,2,,
JacksonCore,26b,1,1,1.0,1,,
JxPath,2b,4,0,0.0,1,,
JxPath,3b,4,0,0.0,1,,
JxPath,4b,31,0,0.0,6,,
JxPath,5b,1,0,0.0,1,,
JxPath,6b,2,0,0.0,1,,
JxPath,7b,34,0,0.0,1,,
JxPath,8b,2,0,0.0,1,,
Gson,13b,1,1,1.0,1,,
JxPath,11b,5,0,0.0,0,,
JxPath,10b,1,0,0.0,1,,
JxPath,9b,29,0,0.0,1,,
JxPath,12b,1,0,0.0,1,,
JxPath,13b,32,0,0.0,1,,
JxPath,14b,3,0,0.0,1,,
JxPath,17b,14,0,0.0,0,,
JxPath,15b,5,0,0.0,0,,
JxPath,16b,2,0,0.0,0,,
JxPath,20b,2,0,0.0,1,,
JxPath,18b,7,0,0.0,0,,
JxPath,19b,7,0,0.0,2,,
JxPath,21b,1,0,0.0,2,,
JxPath,22b,3,0,0.0,1,,
Lang,4b,4,0,0.0,0,,
Lang,5b,2,0,0.0,1,,
Lang,6b,1,0,0.0,1,,
JacksonCore,10b,2,1,0.5,4,,
Lang,8b,3,0,0.0,1,,
Lang,9b,1,0,0.0,1,,
Lang,10b,9,0,0.0,1,,
Lang,11b,1,0,0.0,0,,
Lang,12b,3,0,0.0,2,,
Lang,3b,4,1,0.25,1,,
Lang,13b,4,0,0.0,1,,
Lang,1b,3,0,0.0,1,,
Lang,15b,4,1,0.25,2,,
Lang,17b,10,0,0.0,1,,
Lang,18b,3,0,0.0,1,,
Lang,19b,4,0,0.0,1,,
JacksonCore,25b,1,0,0.0,1,,
Lang,21b,1,0,0.0,0,,
Lang,7b,5,0,0.0,0,,
Lang,23b,3,0,0.0,0,,
Lang,24b,1,0,0.0,0,,
Lang,16b,1,0,0.0,0,,
Lang,25b,27,0,0.0,0,,
Lang,26b,1,1,1.0,1,,
Lang,28b,2,1,0.5,1,,
Lang,27b,2,0,0.0,0,,
JacksonCore,24b,7,0,0.0,4,,
Lang,29b,1,0,0.0,1,,
Lang,32b,8,1,0.125,1,,
Lang,33b,1,0,0.0,1,,
Lang,34b,2,0,0.0,0,,
Lang,36b,2,0,0.0,1,,
Lang,35b,2,1,0.5,1,,
Lang,38b,1,1,1.0,1,,
Lang,37b,3,0,0.0,0,,
Lang,40b,1,0,0.0,1,,
Lang,41b,8,2,0.25,2,,
Lang,42b,2,0,0.0,5,,
Lang,43b,1,0,0.0,1,,
Lang,44b,1,0,0.0,1,,
Lang,45b,1,0,0.0,1,,
Lang,46b,9,3,0.333333,1,,
Lang,31b,2,2,1.0,2,,
Lang,14b,2,1,0.5,1,,
Lang,30b,16,10,0.625,10,,
Lang,49b,1,1,1.0,1,,
