test_case,test_class,test_method,variable,line,virtual_status
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualLine2Ds,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualLine2Ds,ShapeUtilities,85,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualLine2Ds,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualLine2Ds,ShapeUtilities,88,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualLine2Ds,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualLine2Ds,ShapeUtilities,91,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualLine2Ds,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualLine2Ds,ShapeUtilities,93,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualLine2Ds,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualLine2Ds,ShapeUtilities,96,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,108,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,112,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,114,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,119,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,121,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,126,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,128,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,132,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,134,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,141,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,144,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,154,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualShapes,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualShapes,ShapeUtilities,162,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,173,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,176,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,177,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,180,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,181,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,184,Virtual_Pass
org.jfree.chart.util.junit.ShapeUtilitiesTests::testIntersects,org.jfree.chart.util.junit.ShapeUtilitiesTests,testIntersects,ShapeUtilities,185,Virtual_Pass
