test_case,result,assertx_calls_found,assertx_calls_counted
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testEquals,PASS,1,1
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testHashcode,PASS,2,2
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testCloning,PASS,3,3
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testSerialization,PASS,1,1
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testDrawWithNullInfo,PASS,1,1
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetValue,PASS,14,14
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowAndColumnCount,PASS,2,2
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testEquals,PASS,3,3
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSerialization,PASS,1,1
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testCloning,PASS,5,5
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetStartValue,PASS,3,3
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetEndValue,PASS,3,3
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesCount,PASS,1,1
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryCount,PASS,1,1
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetSeriesKeys,PASS,1,1
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnKeys,PASS,1,1
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowKeys,PASS,1,1
