virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testGetValue_pass_L128_P_1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetValue,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetValue,pass,128,Virtual_Pass,77,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testGetValue_pass_L128_P_1/slice.log,
testGetValue_pass_L137_P_2,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetValue,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetValue,pass,137,Virtual_Pass,81,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testGetValue_pass_L137_P_2/slice.log,
testSerialization_d2_L222_P_3,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSerialization,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSerialization,d2,222,Virtual_Pass,5,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testSerialization_d2_L222_P_3/slice.log,
testSetStartValue_pass_L298_P_4,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetStartValue,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetStartValue,pass,298,Virtual_Pass,6,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testSetStartValue_pass_L298_P_4/slice.log,
testSetStartValue_pass_L307_P_5,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetStartValue,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetStartValue,pass,307,Virtual_Pass,5,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testSetStartValue_pass_L307_P_5/slice.log,
testSetEndValue_pass_L333_P_6,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetEndValue,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetEndValue,pass,333,Virtual_Pass,6,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testSetEndValue_pass_L333_P_6/slice.log,
testSetEndValue_pass_L342_P_7,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetEndValue,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetEndValue,pass,342,Virtual_Pass,5,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testSetEndValue_pass_L342_P_7/slice.log,
testGetSeriesCount_empty_L353_P_8,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesCount,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetSeriesCount,empty,353,Virtual_Pass,16,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testGetSeriesCount_empty_L353_P_8/slice.log,
testGetCategoryCount_empty_L364_P_9,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryCount,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetCategoryCount,empty,364,Virtual_Pass,16,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testGetCategoryCount_empty_L364_P_9/slice.log,
testSetSeriesKeys_pass_L404_P_10,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetSeriesKeys,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetSeriesKeys,pass,404,Virtual_Pass,2,/opt/resq/resQ_outputs/work/Chart_16b/step2_slicing/_slicer4j_passed/testSetSeriesKeys_pass_L404_P_10/slice.log,
