rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S381,AbstractCategoryItemRenderer.java,1793,return result;,0.57735,1,1
2,S3231,CategoryPlot.java,1613,"setRenderer(0, renderer, true);",0.258199,1,2
3,S3233,CategoryPlot.java,1665,CategoryItemRenderer existing,0.204124,10,12
3,S3234,CategoryPlot.java,1667,if (existing != null) {,0.204124,10,12
3,S3235,CategoryPlot.java,1672,"this.renderers.set(index, renderer);",0.204124,10,12
3,S3236,CategoryPlot.java,1673,if (renderer != null) {,0.204124,10,12
3,S3237,CategoryPlot.java,1674,renderer.setPlot(this);,0.204124,10,12
3,S3238,CategoryPlot.java,1675,renderer.addChangeListener(this);,0.204124,10,12
3,S3239,CategoryPlot.java,1678,configureDomainAxes();,0.204124,10,12
3,S3240,CategoryPlot.java,1679,configureRangeAxes();,0.204124,10,12
3,S3241,CategoryPlot.java,1681,if (notify) {,0.204124,10,12
3,S3242,CategoryPlot.java,1682,fireChangeEvent();,0.204124,10,12
13,S2989,CategoryPlot.java,567,"this(null, null, null, null);",0.154303,1,13
14,S3167,CategoryPlot.java,1339,"setDataset(0, dataset);",0.149071,1,14
15,S3173,CategoryPlot.java,1358,dataset.addChangeListener(this);,0.123091,1,15
16,S3114,CategoryPlot.java,1045,Plot parent = getParent();,0.120386,8,23
16,S3115,CategoryPlot.java,1046,if (parent instanceof CategoryPlot) {,0.120386,8,23
16,S3168,CategoryPlot.java,1352,CategoryDataset existing = (CategoryDataset) this.datasets.get(index);,0.120386,8,23
16,S3169,CategoryPlot.java,1353,if (existing != null) {,0.120386,8,23
16,S3171,CategoryPlot.java,1356,"this.datasets.set(index, dataset);",0.120386,8,23
16,S3172,CategoryPlot.java,1357,if (dataset != null) {,0.120386,8,23
16,S3174,CategoryPlot.java,1362,"DatasetChangeEvent event = new DatasetChangeEvent(this, dataset,",0.120386,8,23
16,S3175,CategoryPlot.java,1365,datasetChanged(event);,0.120386,8,23
24,S7745,LineAndShapeRenderer.java,201,"this(true, true);",0.109109,1,24
25,S379,AbstractCategoryItemRenderer.java,1791,LegendItemCollection result = new LegendItemCollection();,0.093659,7,31
25,S380,AbstractCategoryItemRenderer.java,1792,if (this.plot == null) {,0.093659,7,31
25,S382,AbstractCategoryItemRenderer.java,1795,int index = this.plot.getIndexOf(this);,0.093659,7,31
25,S383,AbstractCategoryItemRenderer.java,1796,CategoryDataset dataset = this.plot.getDataset(index);,0.093659,7,31
25,S384,AbstractCategoryItemRenderer.java,1797,if (dataset != null) {,0.093659,7,31
25,S385,AbstractCategoryItemRenderer.java,1798,return result;,0.093659,7,31
25,S3249,CategoryPlot.java,1727,return this.renderers.indexOf(renderer);,0.093659,7,31
32,S5794,DefaultCategoryDataset.java,259,"addValue(new Double(value), rowKey, columnKey);",0.087039,1,32
33,S7746,LineAndShapeRenderer.java,211,super();,0.080845,12,44
33,S7747,LineAndShapeRenderer.java,212,this.seriesLinesVisible = new BooleanList();,0.080845,12,44
33,S7748,LineAndShapeRenderer.java,213,this.baseLinesVisible = lines;,0.080845,12,44
33,S7749,LineAndShapeRenderer.java,214,this.seriesShapesVisible = new BooleanList();,0.080845,12,44
33,S7750,LineAndShapeRenderer.java,215,this.baseShapesVisible = shapes;,0.080845,12,44
33,S7751,LineAndShapeRenderer.java,216,this.seriesShapesFilled = new BooleanList();,0.080845,12,44
33,S7752,LineAndShapeRenderer.java,217,this.baseShapesFilled = true;,0.080845,12,44
33,S7753,LineAndShapeRenderer.java,218,this.useFillPaint = false;,0.080845,12,44
33,S7754,LineAndShapeRenderer.java,219,this.drawOutlines = true;,0.080845,12,44
33,S7755,LineAndShapeRenderer.java,220,this.useOutlinePaint = false;,0.080845,12,44
33,S7756,LineAndShapeRenderer.java,221,this.useSeriesOffset = false;  // preserves old behaviour,0.080845,12,44
33,S7757,LineAndShapeRenderer.java,222,this.itemMargin = 0.0;,0.080845,12,44
45,S410,AbstractDataset.java,191,if (listeners[i] == DatasetChangeListener.class) {,0.075165,2,46
45,S411,AbstractDataset.java,192,((DatasetChangeListener) listeners[i + 1]).datasetChanged(,0.075165,2,46
47,S7497,LegendItemCollection.java,107,return this.items.size();,0.073922,1,47
48,S7492,LegendItemCollection.java,68,public LegendItemCollection() {,0.071611,2,49
48,S7493,LegendItemCollection.java,69,this.items = new java.util.ArrayList();,0.071611,2,49
50,S5792,DefaultCategoryDataset.java,243,"this.data.addObject(new SelectableValue(value), rowKey, columnKey);",0.06455,2,51
50,S5793,DefaultCategoryDataset.java,244,fireDatasetChanged(new DatasetChangeInfo());,0.06455,2,51
52,S95,AbstractCategoryDataset.java,64,super();,0.058926,6,57
52,S97,AbstractCategoryDataset.java,87,this.selectionState = state;,0.058926,6,57
52,S98,AbstractCategoryDataset.java,88,fireDatasetChanged(new DatasetChangeInfo());,0.058926,6,57
52,S5774,DefaultCategoryDataset.java,80,public DefaultCategoryDataset() {,0.058926,6,57
52,S5775,DefaultCategoryDataset.java,81,this.data = new KeyedObjects2D();,0.058926,6,57
52,S5776,DefaultCategoryDataset.java,83,setSelectionState(this);,0.058926,6,57
58,S7214,KeyedObjects2D.java,257,"setObject(object, rowKey, columnKey);",0.058321,1,58
59,S10583,SelectableValue.java,65,"this(value, false);",0.057166,4,62
59,S10584,SelectableValue.java,74,"public SelectableValue(Number value, boolean selected) {",0.057166,4,62
59,S10585,SelectableValue.java,75,this.value = value;,0.057166,4,62
59,S10586,SelectableValue.java,76,this.selected = selected;,0.057166,4,62
63,S138,AbstractCategoryItemRenderer.java,293,if (plot == null) {,0.056888,2,64
63,S139,AbstractCategoryItemRenderer.java,296,this.plot = plot;,0.056888,2,64
65,S7215,KeyedObjects2D.java,270,if (rowKey == null) {,0.056614,11,75
65,S7216,KeyedObjects2D.java,273,if (columnKey == null) {,0.056614,11,75
65,S7217,KeyedObjects2D.java,277,int rowIndex = this.rowKeys.indexOf(rowKey);,0.056614,11,75
