statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,9,61,0.0
S2,0,1,6,64,0.0
S3,0,1,6,64,0.0
S4,0,1,6,64,0.0
S5,0,1,6,64,0.0
S6,0,1,6,64,0.0
S7,0,1,6,64,0.0
S8,1,0,64,6,0.124035
S9,0,1,6,64,0.0
S10,0,1,6,64,0.0
S11,0,1,6,64,0.0
S12,0,1,6,64,0.0
S13,0,1,6,64,0.0
S14,0,1,6,64,0.0
S15,1,0,62,8,0.125988
S16,0,1,1,69,0.0
S17,0,1,1,69,0.0
S18,0,1,1,69,0.0
S19,0,1,1,69,0.0
S20,0,1,1,69,0.0
S21,1,0,62,8,0.125988
S22,1,0,4,66,0.447214
S23,1,0,1,69,0.707107
S24,1,0,1,69,0.707107
S25,1,0,1,69,0.707107
S26,1,0,61,9,0.127
S27,1,0,61,9,0.127
S28,0,1,6,64,0.0
S29,0,1,6,64,0.0
S30,0,1,6,64,0.0
S31,0,1,6,64,0.0
S32,0,1,6,64,0.0
S33,0,1,6,64,0.0
S34,1,0,66,4,0.122169
S35,1,0,67,3,0.121268
S36,1,0,67,3,0.121268
S37,1,0,67,3,0.121268
S38,1,0,67,3,0.121268
S39,1,0,67,3,0.121268
S40,1,0,67,3,0.121268
S41,1,0,67,3,0.121268
S42,1,0,67,3,0.121268
S43,1,0,67,3,0.121268
S44,0,1,6,64,0.0
S45,0,1,6,64,0.0
S46,1,0,63,7,0.125
S47,0,1,6,64,0.0
S48,0,1,12,58,0.0
S49,0,1,12,58,0.0
S50,0,1,2,68,0.0
S51,0,1,2,68,0.0
S52,0,1,6,64,0.0
S53,0,1,6,64,0.0
S54,0,1,6,64,0.0
S55,0,1,2,68,0.0
S56,1,0,54,16,0.13484
S57,1,0,54,16,0.13484
S58,0,1,3,67,0.0
S59,0,1,3,67,0.0
S60,1,0,1,69,0.707107
S61,1,0,53,17,0.136083
S62,1,0,53,17,0.136083
S63,1,0,53,17,0.136083
S64,1,0,53,17,0.136083
S65,1,0,53,17,0.136083
S66,1,0,48,22,0.142857
S67,1,0,53,17,0.136083
S68,1,0,53,17,0.136083
S69,1,0,53,17,0.136083
S70,1,0,48,22,0.142857
S71,1,0,48,22,0.142857
S72,1,0,48,22,0.142857
S73,0,1,8,62,0.0
S74,1,0,53,17,0.136083
S75,1,0,53,17,0.136083
S76,0,1,3,67,0.0
S77,0,1,3,67,0.0
S78,1,0,53,17,0.136083
S79,1,0,53,17,0.136083
S80,1,0,53,17,0.136083
S81,1,0,53,17,0.136083
S82,1,0,53,17,0.136083
S83,1,0,53,17,0.136083
S84,0,1,22,48,0.0
S85,0,1,22,48,0.0
S86,0,1,22,48,0.0
S87,0,1,4,66,0.0
S88,0,1,4,66,0.0
S89,0,1,4,66,0.0
S90,0,1,4,66,0.0
S91,0,1,4,66,0.0
S92,0,1,4,66,0.0
S93,0,1,4,66,0.0
S94,0,1,4,66,0.0
S95,0,1,4,66,0.0
S96,0,1,4,66,0.0
S97,0,1,4,66,0.0
S98,0,1,4,66,0.0
S99,0,1,4,66,0.0
S100,0,1,4,66,0.0
S101,0,1,11,59,0.0
S102,0,1,18,52,0.0
S103,0,1,18,52,0.0
S104,0,1,8,62,0.0
S105,0,1,8,62,0.0
S106,0,1,8,62,0.0
S107,0,1,8,62,0.0
S108,0,1,18,52,0.0
S109,0,1,18,52,0.0
S110,0,1,7,63,0.0
S111,0,1,7,63,0.0
S112,0,1,7,63,0.0
S113,0,1,7,63,0.0
S114,0,1,7,63,0.0
S115,0,1,7,63,0.0
S116,0,1,13,57,0.0
S117,0,1,7,63,0.0
S118,0,1,7,63,0.0
S119,0,1,8,62,0.0
S120,0,1,8,62,0.0
S121,0,1,4,66,0.0
S122,0,1,4,66,0.0
S123,0,1,13,57,0.0
S124,0,1,13,57,0.0
S125,0,1,13,57,0.0
S126,1,0,61,9,0.127
