rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S634,PlotOrientation.java,61,public static final PlotOrientation VERTICAL,0.550019,3,3
1,S635,PlotOrientation.java,72,private PlotOrientation(String name) {,0.550019,3,3
1,S636,PlotOrientation.java,73,this.name = name;,0.550019,3,3
4,S302,ChartFactory.java,1729,NumberAxis xAxis = new NumberAxis(xAxisLabel);,0.377964,174,177
4,S303,ChartFactory.java,1730,xAxis.setAutoRangeIncludesZero(false);,0.377964,174,177
4,S304,ChartFactory.java,1731,NumberAxis yAxis = new NumberAxis(yAxisLabel);,0.377964,174,177
4,S305,ChartFactory.java,1732,"XYItemRenderer renderer = new XYLineAndShapeRenderer(true, false);",0.377964,174,177
4,S306,ChartFactory.java,1733,"XYPlot plot = new XYPlot(dataset, xAxis, yAxis, renderer);",0.377964,174,177
4,S307,ChartFactory.java,1734,plot.setOrientation(orientation);,0.377964,174,177
4,S308,ChartFactory.java,1742,"JFreeChart chart = new JFreeChart(title, JFreeChart.DEFAULT_TITLE_FONT,",0.377964,174,177
4,S318,Day.java,113,this(new Date());,0.377964,174,177
4,S319,Day.java,133,public Day(SerialDate serialDate) {,0.377964,174,177
4,S320,Day.java,137,this.serialDate = serialDate;,0.377964,174,177
4,S321,Day.java,138,peg(Calendar.getInstance());,0.377964,174,177
4,S322,Day.java,151,"this(time, TimeZone.getDefault());",0.377964,174,177
4,S323,Day.java,160,"public Day(Date time, TimeZone zone) {",0.377964,174,177
4,S324,Day.java,168,Calendar calendar = Calendar.getInstance(zone);,0.377964,174,177
4,S325,Day.java,169,calendar.setTime(time);,0.377964,174,177
4,S326,Day.java,170,int d = calendar.get(Calendar.DAY_OF_MONTH);,0.377964,174,177
4,S327,Day.java,171,int m = calendar.get(Calendar.MONTH) + 1;,0.377964,174,177
4,S328,Day.java,172,int y = calendar.get(Calendar.YEAR);,0.377964,174,177
4,S329,Day.java,173,"this.serialDate = SerialDate.createInstance(d, m, y);",0.377964,174,177
4,S330,Day.java,174,peg(calendar);,0.377964,174,177
4,S331,Day.java,254,this.firstMillisecond = getFirstMillisecond(calendar);,0.377964,174,177
4,S332,Day.java,255,this.lastMillisecond = getLastMillisecond(calendar);,0.377964,174,177
4,S333,Day.java,288,int serial = this.serialDate.toSerial();,0.377964,174,177
4,S334,Day.java,289,if (serial < SerialDate.SERIAL_UPPER_BOUND) {,0.377964,174,177
4,S335,Day.java,290,SerialDate tomorrow = SerialDate.createInstance(serial + 1);,0.377964,174,177
4,S336,Day.java,291,return new Day(tomorrow);,0.377964,174,177
4,S337,Day.java,321,int year = this.serialDate.getYYYY();,0.377964,174,177
4,S338,Day.java,322,int month = this.serialDate.getMonth();,0.377964,174,177
4,S339,Day.java,323,int day = this.serialDate.getDayOfMonth();,0.377964,174,177
4,S340,Day.java,324,calendar.clear();,0.377964,174,177
4,S341,Day.java,325,"calendar.set(year, month - 1, day, 0, 0, 0);",0.377964,174,177
4,S342,Day.java,326,"calendar.set(Calendar.MILLISECOND, 0);",0.377964,174,177
4,S343,Day.java,328,return calendar.getTime().getTime();,0.377964,174,177
4,S344,Day.java,343,int year = this.serialDate.getYYYY();,0.377964,174,177
4,S345,Day.java,344,int month = this.serialDate.getMonth();,0.377964,174,177
4,S346,Day.java,345,int day = this.serialDate.getDayOfMonth();,0.377964,174,177
4,S347,Day.java,346,calendar.clear();,0.377964,174,177
