virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testReadPasswordEncryptedEntryViaZipFile_zf_L40_P_1,org.apache.commons.compress.archivers.zip.EncryptedArchiveTest::testReadPasswordEncryptedEntryViaZipFile,org.apache.commons.compress.archivers.zip.EncryptedArchiveTest,testReadPasswordEncryptedEntryViaZipFile,zf,40,Virtual_Pass,0,,
testRead7ZipArchive_zf_L91_P_2,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testRead7ZipArchive,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testRead7ZipArchive,zf,91,Virtual_Pass,0,,
testRead7ZipArchive_zf_L92_P_3,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testRead7ZipArchive,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testRead7ZipArchive,zf,92,Virtual_Pass,0,,
testRead7ZipArchive_zf_L93_P_4,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testRead7ZipArchive,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testRead7ZipArchive,zf,93,Virtual_Pass,0,,
testZipArchiveInputStreamReadsUnicodeFields_zf_L187_P_5,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipArchiveInputStreamReadsUnicodeFields,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testZipArchiveInputStreamReadsUnicodeFields,zf,187,Virtual_Pass,373,/opt/resq/resQ_outputs/work/Compress_19b/step2_slicing/_slicer4j_passed/testZipArchiveInputStreamReadsUnicodeFields_zf_L187_P_5/slice.log,
testZipArchiveInputStreamReadsUnicodeFields_zf_L188_P_6,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipArchiveInputStreamReadsUnicodeFields,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testZipArchiveInputStreamReadsUnicodeFields,zf,188,Virtual_Pass,373,/opt/resq/resQ_outputs/work/Compress_19b/step2_slicing/_slicer4j_passed/testZipArchiveInputStreamReadsUnicodeFields_zf_L188_P_6/slice.log,
testZipArchiveInputStreamReadsUnicodeFields_zf_L189_P_7,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipArchiveInputStreamReadsUnicodeFields,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testZipArchiveInputStreamReadsUnicodeFields,zf,189,Virtual_Pass,373,/opt/resq/resQ_outputs/work/Compress_19b/step2_slicing/_slicer4j_passed/testZipArchiveInputStreamReadsUnicodeFields_zf_L189_P_7/slice.log,
testWinzipBackSlashWorkaround_zf_L153_P_8,org.apache.commons.compress.archivers.zip.ZipFileTest::testWinzipBackSlashWorkaround,org.apache.commons.compress.archivers.zip.ZipFileTest,testWinzipBackSlashWorkaround,zf,153,Virtual_Pass,0,,
testWinzipBackSlashWorkaround_zf_L154_P_9,org.apache.commons.compress.archivers.zip.ZipFileTest::testWinzipBackSlashWorkaround,org.apache.commons.compress.archivers.zip.ZipFileTest,testWinzipBackSlashWorkaround,zf,154,Virtual_Pass,0,,
testSkipsPK00Prefix_zf_L165_P_10,org.apache.commons.compress.archivers.zip.ZipFileTest::testSkipsPK00Prefix,org.apache.commons.compress.archivers.zip.ZipFileTest,testSkipsPK00Prefix,zf,165,Virtual_Pass,0,,
testSkipsPK00Prefix_zf_L166_P_11,org.apache.commons.compress.archivers.zip.ZipFileTest::testSkipsPK00Prefix,org.apache.commons.compress.archivers.zip.ZipFileTest,testSkipsPK00Prefix,zf,166,Virtual_Pass,0,,
testDuplicateEntry_zf_L217_P_12,org.apache.commons.compress.archivers.zip.ZipFileTest::testDuplicateEntry,org.apache.commons.compress.archivers.zip.ZipFileTest,testDuplicateEntry,zf,217,Virtual_Pass,0,,
testDuplicateEntry_zf_L224_P_13,org.apache.commons.compress.archivers.zip.ZipFileTest::testDuplicateEntry,org.apache.commons.compress.archivers.zip.ZipFileTest,testDuplicateEntry,zf,224,Virtual_Pass,0,,
