rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S4248,Parameters.java,221,"niceBackReferenceLength = Math.max(minBackReferenceLength, maxBackReferenceLength / 8);",0.654654,5,5
1,S4249,Parameters.java,222,"maxCandidates = Math.max(32, windowSize / 1024);",0.654654,5,5
1,S4250,Parameters.java,223,lazyMatches = false;,0.654654,5,5
1,S4251,Parameters.java,224,lazyThreshold = minBackReferenceLength;,0.654654,5,5
1,S4252,Parameters.java,225,return this;,0.654654,5,5
6,S1532,BlockLZ4CompressorOutputStream.java,406,int maxLen = BlockLZ4CompressorInputStream.WINDOW_SIZE - 1;,0.612372,2,7
6,S1533,BlockLZ4CompressorOutputStream.java,407,return Parameters.builder(BlockLZ4CompressorInputStream.WINDOW_SIZE),0.612372,2,7
8,S3298,FramedLZ4CompressorOutputStream.java,108,"this(blockSize, true, false, false);",0.5,2,9
8,S3306,FramedLZ4CompressorOutputStream.java,168,"return ""LZ4 Parameters with BlockSize "" + blockSize + "", withContentChecksum "" + withContentChecksum",0.5,2,9
10,S3286,FramedLZ4CompressorOutputStream.java,62,public enum BlockSize {,0.433013,20,29
10,S3287,FramedLZ4CompressorOutputStream.java,64,"K64(64 * 1024, 4),",0.433013,20,29
10,S3288,FramedLZ4CompressorOutputStream.java,66,"K256(256 * 1024, 5),",0.433013,20,29
10,S3289,FramedLZ4CompressorOutputStream.java,68,"M1(1024 * 1024, 6),",0.433013,20,29
10,S3290,FramedLZ4CompressorOutputStream.java,70,"M4(4096 * 1024, 7);",0.433013,20,29
10,S3291,FramedLZ4CompressorOutputStream.java,73,"private BlockSize(int size, int index) {",0.433013,20,29
10,S3292,FramedLZ4CompressorOutputStream.java,74,this.size = size;,0.433013,20,29
10,S3293,FramedLZ4CompressorOutputStream.java,75,this.index = index;,0.433013,20,29
10,S3297,FramedLZ4CompressorOutputStream.java,99,"public static final Parameters DEFAULT = new Parameters(BlockSize.M4, true, false, false);",0.433013,20,29
10,S3299,FramedLZ4CompressorOutputStream.java,137,"this(blockSize, withContentChecksum, withBlockChecksum, withBlockDependency,",0.433013,20,29
