statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,2,0,7,0,0.471405
S2,2,0,7,0,0.471405
S3,2,0,7,0,0.471405
S4,2,0,7,0,0.471405
S5,0,2,3,4,0.0
S6,0,2,6,1,0.0
S7,0,2,5,2,0.0
S8,0,2,3,4,0.0
S9,0,2,6,1,0.0
S10,0,2,6,1,0.0
S11,0,2,5,2,0.0
S12,0,2,4,3,0.0
S13,0,2,6,1,0.0
S14,2,0,7,0,0.471405
S15,2,0,7,0,0.471405
S16,2,0,7,0,0.471405
S17,2,0,3,4,0.632456
S18,2,0,3,4,0.632456
S19,2,0,3,4,0.632456
S20,2,0,3,4,0.632456
S21,2,0,3,4,0.632456
S22,2,0,3,4,0.632456
S23,2,0,3,4,0.632456
S24,2,0,3,4,0.632456
S25,2,0,3,4,0.632456
S26,2,0,3,4,0.632456
S27,2,0,3,4,0.632456
S28,2,0,3,4,0.632456
S29,2,0,3,4,0.632456
S30,2,0,3,4,0.632456
S31,2,0,3,4,0.632456
S32,0,2,2,5,0.0
S33,0,2,1,6,0.0
S34,0,2,1,6,0.0
S35,0,2,2,5,0.0
S36,0,2,2,5,0.0
S37,0,2,2,5,0.0
S38,0,2,2,5,0.0
S39,0,2,3,4,0.0
S40,0,2,7,0,0.0
S41,0,2,2,5,0.0
S42,0,2,7,0,0.0
S43,0,2,1,6,0.0
S44,0,2,7,0,0.0
S45,0,2,3,4,0.0
S46,0,2,3,4,0.0
S47,0,2,3,4,0.0
S48,0,2,3,4,0.0
S49,0,2,7,0,0.0
S50,0,2,1,6,0.0
S51,0,2,1,6,0.0
S52,0,2,1,6,0.0
S53,0,2,1,6,0.0
S54,0,2,1,6,0.0
S55,0,2,7,0,0.0
S56,0,2,7,0,0.0
S57,0,2,7,0,0.0
S58,0,2,7,0,0.0
S59,0,2,7,0,0.0
S60,2,0,3,4,0.632456
S61,2,0,3,4,0.632456
S62,2,0,3,4,0.632456
S63,0,2,3,4,0.0
S64,0,2,1,6,0.0
S65,0,2,1,6,0.0
S66,0,2,1,6,0.0
S67,0,2,1,6,0.0
S68,0,2,3,4,0.0
