virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testExcludeFieldsWithModifiers_gson_L52_P_1,com.google.gson.GsonBuilderTest::testExcludeFieldsWithModifiers,com.google.gson.GsonBuilderTest,testExcludeFieldsWithModifiers,gson,52,Virtual_Pass,7,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testExcludeFieldsWithModifiers_gson_L52_P_1/slice.log,
testTransientFieldExclusion_gson_L81_P_2,com.google.gson.GsonBuilderTest::testTransientFieldExclusion,com.google.gson.GsonBuilderTest,testTransientFieldExclusion,gson,81,Virtual_Pass,4,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testTransientFieldExclusion_gson_L81_P_2/slice.log,
testDefaultLongSerializationIntegration_gson_L43_P_3,com.google.gson.LongSerializationPolicyTest::testDefaultLongSerializationIntegration,com.google.gson.LongSerializationPolicyTest,testDefaultLongSerializationIntegration,gson,43,Virtual_Pass,204,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testDefaultLongSerializationIntegration_gson_L43_P_3/slice.log,
testDefaultLongSerializationIntegration_gson_L44_P_4,com.google.gson.LongSerializationPolicyTest::testDefaultLongSerializationIntegration,com.google.gson.LongSerializationPolicyTest,testDefaultLongSerializationIntegration,gson,44,Virtual_Pass,215,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testDefaultLongSerializationIntegration_gson_L44_P_4/slice.log,
testStringLongSerializationIntegration_gson_L61_P_5,com.google.gson.LongSerializationPolicyTest::testStringLongSerializationIntegration,com.google.gson.LongSerializationPolicyTest,testStringLongSerializationIntegration,gson,61,Virtual_Pass,216,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testStringLongSerializationIntegration_gson_L61_P_5/slice.log,
testStringLongSerializationIntegration_gson_L62_P_6,com.google.gson.LongSerializationPolicyTest::testStringLongSerializationIntegration,com.google.gson.LongSerializationPolicyTest,testStringLongSerializationIntegration,gson,62,Virtual_Pass,218,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testStringLongSerializationIntegration_gson_L62_P_6/slice.log,
testReadMixedStreamed_gson_L71_P_7,com.google.gson.MixedStreamTest::testReadMixedStreamed,com.google.gson.MixedStreamTest,testReadMixedStreamed,gson,71,Virtual_Pass,201,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testReadMixedStreamed_gson_L71_P_7/slice.log,
testReadMixedStreamed_gson_L72_P_8,com.google.gson.MixedStreamTest::testReadMixedStreamed,com.google.gson.MixedStreamTest,testReadMixedStreamed,gson,72,Virtual_Pass,0,,
testReadMixedStreamed_gson_L73_P_9,com.google.gson.MixedStreamTest::testReadMixedStreamed,com.google.gson.MixedStreamTest,testReadMixedStreamed,gson,73,Virtual_Pass,0,,
testOverrideWrapperBooleanAdapter_gson_L52_P_10,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideWrapperBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideWrapperBooleanAdapter,gson,52,Virtual_Pass,209,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideWrapperBooleanAdapter_gson_L52_P_10/slice.log,
testOverrideWrapperBooleanAdapter_gson_L53_P_11,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideWrapperBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideWrapperBooleanAdapter,gson,53,Virtual_Pass,212,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideWrapperBooleanAdapter_gson_L53_P_11/slice.log,
testOverrideWrapperBooleanAdapter_gson_L54_P_12,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideWrapperBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideWrapperBooleanAdapter,gson,54,Virtual_Pass,221,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideWrapperBooleanAdapter_gson_L54_P_12/slice.log,
testOverrideWrapperBooleanAdapter_gson_L55_P_13,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideWrapperBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideWrapperBooleanAdapter,gson,55,Virtual_Pass,222,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideWrapperBooleanAdapter_gson_L55_P_13/slice.log,
testOverrideWrapperBooleanAdapter_gson_L56_P_14,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideWrapperBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideWrapperBooleanAdapter,gson,56,Virtual_Pass,223,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideWrapperBooleanAdapter_gson_L56_P_14/slice.log,
testOverridePrimitiveBooleanAdapter_gson_L63_P_15,com.google.gson.OverrideCoreTypeAdaptersTest::testOverridePrimitiveBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverridePrimitiveBooleanAdapter,gson,63,Virtual_Pass,208,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverridePrimitiveBooleanAdapter_gson_L63_P_15/slice.log,
testOverridePrimitiveBooleanAdapter_gson_L64_P_16,com.google.gson.OverrideCoreTypeAdaptersTest::testOverridePrimitiveBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverridePrimitiveBooleanAdapter,gson,64,Virtual_Pass,212,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverridePrimitiveBooleanAdapter_gson_L64_P_16/slice.log,
testOverridePrimitiveBooleanAdapter_gson_L65_P_17,com.google.gson.OverrideCoreTypeAdaptersTest::testOverridePrimitiveBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverridePrimitiveBooleanAdapter,gson,65,Virtual_Pass,221,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverridePrimitiveBooleanAdapter_gson_L65_P_17/slice.log,
testOverridePrimitiveBooleanAdapter_gson_L66_P_18,com.google.gson.OverrideCoreTypeAdaptersTest::testOverridePrimitiveBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverridePrimitiveBooleanAdapter,gson,66,Virtual_Pass,222,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverridePrimitiveBooleanAdapter_gson_L66_P_18/slice.log,
testOverridePrimitiveBooleanAdapter_gson_L67_P_19,com.google.gson.OverrideCoreTypeAdaptersTest::testOverridePrimitiveBooleanAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverridePrimitiveBooleanAdapter,gson,67,Virtual_Pass,223,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverridePrimitiveBooleanAdapter_gson_L67_P_19/slice.log,
testOverrideStringAdapter_gson_L74_P_20,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideStringAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideStringAdapter,gson,74,Virtual_Pass,208,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideStringAdapter_gson_L74_P_20/slice.log,
testOverrideStringAdapter_gson_L75_P_21,com.google.gson.OverrideCoreTypeAdaptersTest::testOverrideStringAdapter,com.google.gson.OverrideCoreTypeAdaptersTest,testOverrideStringAdapter,gson,75,Virtual_Pass,215,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testOverrideStringAdapter_gson_L75_P_21/slice.log,
testTopLevelArrayOfIntsSerialization_gson_L50_P_22,com.google.gson.functional.ArrayTest::testTopLevelArrayOfIntsSerialization,com.google.gson.functional.ArrayTest,testTopLevelArrayOfIntsSerialization,gson,50,Virtual_Pass,41,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testTopLevelArrayOfIntsSerialization_gson_L50_P_22/slice.log,
testEmptyArraySerialization_gson_L70_P_23,com.google.gson.functional.ArrayTest::testEmptyArraySerialization,com.google.gson.functional.ArrayTest,testEmptyArraySerialization,gson,70,Virtual_Pass,53,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testEmptyArraySerialization_gson_L70_P_23/slice.log,
testArrayOfStringsSerialization_gson_L122_P_24,com.google.gson.functional.ArrayTest::testArrayOfStringsSerialization,com.google.gson.functional.ArrayTest,testArrayOfStringsSerialization,gson,122,Virtual_Pass,48,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testArrayOfStringsSerialization_gson_L122_P_24/slice.log,
testMultiDimenstionalObjectArraysSerialization_gson_L237_P_25,com.google.gson.functional.ArrayTest::testMultiDimenstionalObjectArraysSerialization,com.google.gson.functional.ArrayTest,testMultiDimenstionalObjectArraysSerialization,gson,237,Virtual_Pass,47,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testMultiDimenstionalObjectArraysSerialization_gson_L237_P_25/slice.log,
testMixingTypesInObjectArraySerialization_gson_L245_P_26,com.google.gson.functional.ArrayTest::testMixingTypesInObjectArraySerialization,com.google.gson.functional.ArrayTest,testMixingTypesInObjectArraySerialization,gson,245,Virtual_Pass,63,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testMixingTypesInObjectArraySerialization_gson_L245_P_26/slice.log,
testDirectedAcyclicGraphSerialization_gson_L104_P_27,com.google.gson.functional.CircularReferenceTest::testDirectedAcyclicGraphSerialization,com.google.gson.functional.CircularReferenceTest,testDirectedAcyclicGraphSerialization,gson,104,Virtual_Pass,209,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testDirectedAcyclicGraphSerialization_gson_L104_P_27/slice.log,
testCollectionOfObjectSerialization_gson_L155_P_28,com.google.gson.functional.CollectionTest::testCollectionOfObjectSerialization,com.google.gson.functional.CollectionTest,testCollectionOfObjectSerialization,gson,155,Virtual_Pass,100,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testCollectionOfObjectSerialization_gson_L155_P_28/slice.log,
testCollectionOfObjectSerialization_gson_L158_P_29,com.google.gson.functional.CollectionTest::testCollectionOfObjectSerialization,com.google.gson.functional.CollectionTest,testCollectionOfObjectSerialization,gson,158,Virtual_Pass,166,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testCollectionOfObjectSerialization_gson_L158_P_29/slice.log,
testCollectionOfObjectWithNullSerialization_gson_L166_P_30,com.google.gson.functional.CollectionTest::testCollectionOfObjectWithNullSerialization,com.google.gson.functional.CollectionTest,testCollectionOfObjectWithNullSerialization,gson,166,Virtual_Pass,101,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testCollectionOfObjectWithNullSerialization_gson_L166_P_30/slice.log,
testCollectionOfObjectWithNullSerialization_gson_L169_P_31,com.google.gson.functional.CollectionTest::testCollectionOfObjectWithNullSerialization,com.google.gson.functional.CollectionTest,testCollectionOfObjectWithNullSerialization,gson,169,Virtual_Pass,130,/opt/resq/resQ_outputs/work/Gson_2b/step2_slicing/_slicer4j_passed/testCollectionOfObjectWithNullSerialization_gson_L169_P_31/slice.log,
