rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S2374,UnsafeAllocator.java,48,"return (T) allocateInstance.invoke(unsafe, c);",0.239046,1,1
2,S2367,UnsafeAllocator.java,30,public abstract class UnsafeAllocator {,0.138013,7,8
2,S2368,UnsafeAllocator.java,39,"Class<?> unsafeClass = Class.forName(""sun.misc.Unsafe"");",0.138013,7,8
2,S2369,UnsafeAllocator.java,40,"Field f = unsafeClass.getDeclaredField(""theUnsafe"");",0.138013,7,8
2,S2370,UnsafeAllocator.java,41,f.setAccessible(true);,0.138013,7,8
2,S2371,UnsafeAllocator.java,42,final Object unsafe = f.get(null);,0.138013,7,8
2,S2372,UnsafeAllocator.java,43,"final Method allocateInstance = unsafeClass.getMethod(""allocateInstance"", Class.class);",0.138013,7,8
2,S2373,UnsafeAllocator.java,44,return new UnsafeAllocator() {,0.138013,7,8
9,S1,$Gson$Preconditions.java,38,if (obj == null) {,0.0,2366,2374
9,S2,$Gson$Preconditions.java,41,return obj;,0.0,2366,2374
9,S3,$Gson$Preconditions.java,45,if (!condition) {,0.0,2366,2374
9,S4,$Gson$Types.java,44,static final Type[] EMPTY_TYPE_ARRAY = new Type[] {};,0.0,2366,2374
9,S5,$Gson$Types.java,58,"return new ParameterizedTypeImpl(ownerType, rawType, typeArguments);",0.0,2366,2374
9,S6,$Gson$Types.java,68,return new GenericArrayTypeImpl(componentType);,0.0,2366,2374
9,S7,$Gson$Types.java,78,"return new WildcardTypeImpl(new Type[] { bound }, EMPTY_TYPE_ARRAY);",0.0,2366,2374
9,S8,$Gson$Types.java,96,if (type instanceof Class) {,0.0,2366,2374
9,S9,$Gson$Types.java,97,Class<?> c = (Class<?>) type;,0.0,2366,2374
9,S10,$Gson$Types.java,98,return c.isArray() ? new GenericArrayTypeImpl(canonicalize(c.getComponentType())) : c;,0.0,2366,2374
9,S11,$Gson$Types.java,100,} else if (type instanceof ParameterizedType) {,0.0,2366,2374
9,S12,$Gson$Types.java,101,ParameterizedType p = (ParameterizedType) type;,0.0,2366,2374
9,S13,$Gson$Types.java,102,"return new ParameterizedTypeImpl(p.getOwnerType(),",0.0,2366,2374
9,S14,$Gson$Types.java,105,} else if (type instanceof GenericArrayType) {,0.0,2366,2374
9,S15,$Gson$Types.java,106,GenericArrayType g = (GenericArrayType) type;,0.0,2366,2374
9,S16,$Gson$Types.java,107,return new GenericArrayTypeImpl(g.getGenericComponentType());,0.0,2366,2374
9,S17,$Gson$Types.java,109,} else if (type instanceof WildcardType) {,0.0,2366,2374
9,S18,$Gson$Types.java,110,WildcardType w = (WildcardType) type;,0.0,2366,2374
9,S19,$Gson$Types.java,111,"return new WildcardTypeImpl(w.getUpperBounds(), w.getLowerBounds());",0.0,2366,2374
9,S20,$Gson$Types.java,115,return type;,0.0,2366,2374
9,S21,$Gson$Types.java,120,if (type instanceof Class<?>) {,0.0,2366,2374
9,S22,$Gson$Types.java,122,return (Class<?>) type;,0.0,2366,2374
9,S23,$Gson$Types.java,124,} else if (type instanceof ParameterizedType) {,0.0,2366,2374
9,S24,$Gson$Types.java,125,ParameterizedType parameterizedType = (ParameterizedType) type;,0.0,2366,2374
9,S25,$Gson$Types.java,130,Type rawType = parameterizedType.getRawType();,0.0,2366,2374
9,S26,$Gson$Types.java,131,checkArgument(rawType instanceof Class);,0.0,2366,2374
9,S27,$Gson$Types.java,132,return (Class<?>) rawType;,0.0,2366,2374
9,S28,$Gson$Types.java,134,} else if (type instanceof GenericArrayType) {,0.0,2366,2374
9,S29,$Gson$Types.java,135,Type componentType = ((GenericArrayType)type).getGenericComponentType();,0.0,2366,2374
9,S30,$Gson$Types.java,136,"return Array.newInstance(getRawType(componentType), 0).getClass();",0.0,2366,2374
9,S31,$Gson$Types.java,138,} else if (type instanceof TypeVariable) {,0.0,2366,2374
9,S32,$Gson$Types.java,141,return Object.class;,0.0,2366,2374
9,S33,$Gson$Types.java,143,} else if (type instanceof WildcardType) {,0.0,2366,2374
9,S34,$Gson$Types.java,144,return getRawType(((WildcardType) type).getUpperBounds()[0]);,0.0,2366,2374
9,S35,$Gson$Types.java,154,return a == b || (a != null && a.equals(b));,0.0,2366,2374
9,S36,$Gson$Types.java,161,if (a == b) {,0.0,2366,2374
