virtual_test_id,S1,S2,S3,S4,S5,S6,S7,result
testNotAllowMultipleMatches_result_L118_F_1,0,0,0,0,0,0,0,FAIL
testNonFiltering_result_L77_P_1,1,1,1,1,1,1,1,PASS
testSingleMatchFilteringWithoutPath_result_L90_P_2,0,0,0,0,0,0,0,PASS
testSingleMatchFilteringWithPath_result_L103_P_3,0,0,0,0,0,0,0,PASS
testAllowMultipleMatches_result_L132_P_4,0,0,0,0,0,0,0,PASS
testMultipleMatchFilteringWithPath1_result_L143_P_5,0,0,0,0,0,0,0,PASS
testMultipleMatchFilteringWithPath2_result_L156_P_6,0,0,0,0,0,0,0,PASS
testMultipleMatchFilteringWithPath3_result_L168_P_7,0,0,0,0,0,0,0,PASS
testIndexMatchWithPath1_result_L177_P_8,0,0,0,0,0,0,0,PASS
testIndexMatchWithPath1_result_L182_P_9,0,0,0,0,0,0,0,PASS
