rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S125,JsonStreamContext.java,68,public final boolean inRoot() { return _type == TYPE_ROOT; },1.0,31,31
1,S155,ParserBase.java,588,if (fractLen < 1 && expLen < 1) { // integer,1.0,31,31
1,S156,ParserBase.java,589,"return resetInt(negative, intLen);",1.0,31,31
1,S157,ParserBase.java,596,_numberNegative = negative;,1.0,31,31
1,S158,ParserBase.java,597,_intLength = intLen;,1.0,31,31
1,S159,ParserBase.java,598,_fractLength = 0;,1.0,31,31
1,S160,ParserBase.java,599,_expLength = 0;,1.0,31,31
1,S161,ParserBase.java,600,_numTypesValid = NR_UNKNOWN; // to force parsing,1.0,31,31
1,S174,ReaderBasedJsonParser.java,232,_currInputProcessed += bufSize;,1.0,31,31
1,S176,ReaderBasedJsonParser.java,238,_nameStartOffset -= bufSize;,1.0,31,31
1,S180,ReaderBasedJsonParser.java,640,_numTypesValid = NR_UNKNOWN;,1.0,31,31
1,S181,ReaderBasedJsonParser.java,641,if (_tokenIncomplete) {,1.0,31,31
1,S185,ReaderBasedJsonParser.java,652,_binaryValue = null;,1.0,31,31
1,S190,ReaderBasedJsonParser.java,681,if (inObject) {,1.0,31,31
1,S201,ReaderBasedJsonParser.java,1273,int startPtr = ptr-1; // to include digit already read,1.0,31,31
1,S203,ReaderBasedJsonParser.java,1287,int intLen = 1; // already got one,1.0,31,31
1,S205,ReaderBasedJsonParser.java,1293,_inputPtr = startPtr;,1.0,31,31
1,S206,ReaderBasedJsonParser.java,1294,"return _parseNumber2(false, startPtr);",1.0,31,31
1,S210,ReaderBasedJsonParser.java,1310,if (_parsingContext.inRoot()) {,1.0,31,31
1,S211,ReaderBasedJsonParser.java,1311,_verifyRootSpace(ch);,1.0,31,31
1,S213,ReaderBasedJsonParser.java,1439,_inputPtr = neg ? (startPtr+1) : startPtr;,1.0,31,31
1,S214,ReaderBasedJsonParser.java,1449,int intLen = 0;,1.0,31,31
1,S215,ReaderBasedJsonParser.java,1450,char c = (_inputPtr < _inputEnd) ? _inputBuffer[_inputPtr++],1.0,31,31
1,S216,ReaderBasedJsonParser.java,1460,++intLen;,1.0,31,31
1,S217,ReaderBasedJsonParser.java,1466,if (_inputPtr >= _inputEnd && !_loadMore()) {,1.0,31,31
1,S218,ReaderBasedJsonParser.java,1475,if (intLen == 0) {,1.0,31,31
1,S219,ReaderBasedJsonParser.java,1479,int fractLen = 0;,1.0,31,31
1,S220,ReaderBasedJsonParser.java,1558,"return reset(neg, intLen, fractLen, expLen);",1.0,31,31
1,S221,ReaderBasedJsonParser.java,1651,++_inputPtr;,1.0,31,31
1,S222,ReaderBasedJsonParser.java,1652,switch (ch) {,1.0,31,31
1,S233,ReaderBasedJsonParser.java,2792,_tokenInputTotal = _currInputProcessed + ptr;,1.0,31,31
32,S107,JsonParserSequence.java,108,while (switchToNext()) {,0.408248,11,42
32,S108,JsonParserSequence.java,109,t = delegate.nextToken();,0.408248,11,42
32,S109,JsonParserSequence.java,110,if (t != null) return t;,0.408248,11,42
32,S110,JsonParserSequence.java,146,if (_nextParser >= _parsers.length) {,0.408248,11,42
32,S111,JsonParserSequence.java,149,delegate = _parsers[_nextParser++];,0.408248,11,42
32,S112,JsonParserSequence.java,150,return true;,0.408248,11,42
32,S154,ParserBase.java,548,return -1;,0.408248,11,42
32,S177,ReaderBasedJsonParser.java,240,if (_reader != null) {,0.408248,11,42
32,S178,ReaderBasedJsonParser.java,254,return false;,0.408248,11,42
32,S184,ReaderBasedJsonParser.java,649,return (_currToken = null);,0.408248,11,42
32,S225,ReaderBasedJsonParser.java,2347,return _eofAsNextChar();,0.408248,11,42
43,S105,JsonParserSequence.java,106,JsonToken t = delegate.nextToken();,0.353553,45,87
43,S106,JsonParserSequence.java,107,if (t != null) return t;,0.353553,45,87
43,S126,JsonStreamContext.java,74,public final boolean inObject() { return _type == TYPE_OBJECT; },0.353553,45,87
43,S129,JsonToken.java,61,"FIELD_NAME(null, JsonTokenId.ID_FIELD_NAME),",0.353553,45,87
43,S130,JsonToken.java,80,"VALUE_STRING(null, JsonTokenId.ID_STRING),",0.353553,45,87
43,S131,JsonToken.java,88,"VALUE_NUMBER_INT(null, JsonTokenId.ID_NUMBER_INT),",0.353553,45,87
