test_case,test_class,test_method,variable,line,virtual_status
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,21,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,22,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,24,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,25,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,26,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,27,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigDefaults,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigDefaults,g,28,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigOverrides,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigOverrides,g,41,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigOverrides,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigOverrides,g,42,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigOverrides,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigOverrides,g,46,Virtual_Pass
com.fasterxml.jackson.core.json.GeneratorFeaturesTest::testConfigOverrides,com.fasterxml.jackson.core.json.GeneratorFeaturesTest,testConfigOverrides,g,47,Virtual_Pass
