statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,2,0,11,0,0.392232
S2,2,0,11,0,0.392232
S3,2,0,11,0,0.392232
S4,2,0,11,0,0.392232
S5,2,0,11,0,0.392232
S6,2,0,11,0,0.392232
S7,2,0,11,0,0.392232
S8,2,0,11,0,0.392232
S9,2,0,11,0,0.392232
S10,2,0,11,0,0.392232
S11,2,0,11,0,0.392232
S12,2,0,11,0,0.392232
S13,2,0,11,0,0.392232
S14,2,0,11,0,0.392232
S15,2,0,11,0,0.392232
S16,2,0,11,0,0.392232
S17,2,0,11,0,0.392232
S18,2,0,11,0,0.392232
S19,2,0,11,0,0.392232
S20,2,0,0,11,1.0
S21,2,0,0,11,1.0
S22,2,0,0,11,1.0
S23,2,0,0,11,1.0
S24,2,0,0,11,1.0
S25,2,0,0,11,1.0
S26,2,0,0,11,1.0
S27,2,0,0,11,1.0
S28,2,0,0,11,1.0
S29,2,0,0,11,1.0
S30,2,0,0,11,1.0
S31,2,0,11,0,0.392232
S32,0,2,4,7,0.0
S33,2,0,11,0,0.392232
S34,2,0,11,0,0.392232
S35,2,0,11,0,0.392232
S36,2,0,11,0,0.392232
S37,2,0,11,0,0.392232
S38,2,0,11,0,0.392232
S39,0,2,2,9,0.0
S40,0,2,2,9,0.0
S41,0,2,2,9,0.0
S42,0,2,2,9,0.0
S43,0,2,2,9,0.0
S44,0,2,4,7,0.0
S45,0,2,4,7,0.0
S46,0,2,4,7,0.0
S47,0,2,4,7,0.0
S48,0,2,4,7,0.0
S49,0,2,4,7,0.0
S50,0,2,4,7,0.0
S51,0,2,4,7,0.0
S52,0,2,4,7,0.0
S53,2,0,11,0,0.392232
S54,2,0,11,0,0.392232
S55,2,0,11,0,0.392232
S56,2,0,11,0,0.392232
S57,2,0,11,0,0.392232
S58,2,0,11,0,0.392232
S59,2,0,11,0,0.392232
S60,2,0,11,0,0.392232
S61,2,0,11,0,0.392232
S62,2,0,11,0,0.392232
S63,2,0,11,0,0.392232
S64,2,0,11,0,0.392232
S65,2,0,11,0,0.392232
S66,2,0,11,0,0.392232
S67,2,0,11,0,0.392232
S68,2,0,11,0,0.392232
S69,2,0,11,0,0.392232
S70,2,0,11,0,0.392232
S71,2,0,11,0,0.392232
S72,2,0,11,0,0.392232
S73,2,0,11,0,0.392232
S74,2,0,11,0,0.392232
S75,2,0,11,0,0.392232
S76,2,0,11,0,0.392232
S77,2,0,11,0,0.392232
S78,2,0,11,0,0.392232
S79,2,0,11,0,0.392232
S80,2,0,11,0,0.392232
S81,2,0,11,0,0.392232
S82,2,0,11,0,0.392232
S83,2,0,11,0,0.392232
S84,0,2,4,7,0.0
S85,0,2,4,7,0.0
S86,2,0,11,0,0.392232
S87,2,0,11,0,0.392232
S88,2,0,11,0,0.392232
S89,2,0,11,0,0.392232
S90,2,0,11,0,0.392232
S91,0,2,4,7,0.0
S92,2,0,11,0,0.392232
S93,2,0,11,0,0.392232
S94,2,0,11,0,0.392232
S95,2,0,11,0,0.392232
S96,2,0,11,0,0.392232
S97,2,0,11,0,0.392232
S98,2,0,11,0,0.392232
S99,0,2,4,7,0.0
S100,0,2,4,7,0.0
S101,2,0,11,0,0.392232
S102,2,0,11,0,0.392232
S103,2,0,11,0,0.392232
S104,2,0,11,0,0.392232
S105,2,0,11,0,0.392232
S106,2,0,11,0,0.392232
S107,2,0,11,0,0.392232
S108,2,0,11,0,0.392232
S109,2,0,11,0,0.392232
S110,2,0,11,0,0.392232
S111,2,0,11,0,0.392232
S112,2,0,11,0,0.392232
S113,2,0,11,0,0.392232
S114,2,0,11,0,0.392232
