virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testSingleMatchFilteringWithoutPath_result_L90_F_1,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testSingleMatchFilteringWithoutPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testSingleMatchFilteringWithoutPath,result,90,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testSingleMatchFilteringWithoutPath_result_L90_F_1/slice.log,
testSingleMatchFilteringWithoutPath_p_L91_F_2,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testSingleMatchFilteringWithoutPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testSingleMatchFilteringWithoutPath,p,91,Virtual_Fail,392,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testSingleMatchFilteringWithoutPath_p_L91_F_2/slice.log,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testSingleMatchFilteringWithoutPath_p_L91_F_2_alias_result/slice.log
testSingleMatchFilteringWithPath_result_L104_F_3,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testSingleMatchFilteringWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testSingleMatchFilteringWithPath,result,104,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testSingleMatchFilteringWithPath_result_L104_F_3/slice.log,
testSingleMatchFilteringWithPath_p_L105_F_4,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testSingleMatchFilteringWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testSingleMatchFilteringWithPath,p,105,Virtual_Fail,445,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testSingleMatchFilteringWithPath_p_L105_F_4/slice.log,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testSingleMatchFilteringWithPath_p_L105_F_4_alias_result/slice.log
testNotAllowMultipleMatchesWithoutPath1_result_L119_F_5,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatchesWithoutPath1,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testNotAllowMultipleMatchesWithoutPath1,result,119,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testNotAllowMultipleMatchesWithoutPath1_result_L119_F_5/slice.log,
testNotAllowMultipleMatchesWithoutPath1_p_L120_F_6,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatchesWithoutPath1,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testNotAllowMultipleMatchesWithoutPath1,p,120,Virtual_Fail,393,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testNotAllowMultipleMatchesWithoutPath1_p_L120_F_6/slice.log,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testNotAllowMultipleMatchesWithoutPath1_p_L120_F_6_alias_result/slice.log
testNotAllowMultipleMatchesWithoutPath2_result_L134_F_7,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatchesWithoutPath2,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testNotAllowMultipleMatchesWithoutPath2,result,134,Virtual_Fail,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testNotAllowMultipleMatchesWithoutPath2_result_L134_F_7/slice.log,
testAllowMultipleMatchesWithoutPath_result_L149_F_8,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testAllowMultipleMatchesWithoutPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testAllowMultipleMatchesWithoutPath,result,149,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testAllowMultipleMatchesWithoutPath_result_L149_F_8/slice.log,
testAllowMultipleMatchesWithoutPath_p_L150_F_9,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testAllowMultipleMatchesWithoutPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testAllowMultipleMatchesWithoutPath,p,150,Virtual_Fail,474,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testAllowMultipleMatchesWithoutPath_p_L150_F_9/slice.log,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testAllowMultipleMatchesWithoutPath_p_L150_F_9_alias_result/slice.log
testAllowMultipleMatchesWithPath1_result_L165_F_10,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testAllowMultipleMatchesWithPath1,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testAllowMultipleMatchesWithPath1,result,165,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_failing/testAllowMultipleMatchesWithPath1_result_L165_F_10/slice.log,
