virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testNonFiltering_result_L77_P_1,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNonFiltering,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testNonFiltering,result,77,Virtual_Pass,13,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testNonFiltering_result_L77_P_1/slice.log,
testBasicSingleMatchFilteringWithPath_result_L268_P_2,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testBasicSingleMatchFilteringWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testBasicSingleMatchFilteringWithPath,result,268,Virtual_Pass,2,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testBasicSingleMatchFilteringWithPath_result_L268_P_2/slice.log,
testTokensSingleMatchWithPath_p_L281_P_3,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,281,Virtual_Pass,160,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L281_P_3/slice.log,
testTokensSingleMatchWithPath_p_L282_P_4,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,282,Virtual_Pass,160,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L282_P_4/slice.log,
testTokensSingleMatchWithPath_p_L283_P_5,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,283,Virtual_Pass,160,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L283_P_5/slice.log,
testTokensSingleMatchWithPath_p_L284_P_6,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,284,Virtual_Pass,160,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L284_P_6/slice.log,
testTokensSingleMatchWithPath_p_L285_P_7,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,285,Virtual_Pass,160,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L285_P_7/slice.log,
testTokensSingleMatchWithPath_result_L289_P_8,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,result,289,Virtual_Pass,0,,
testTokensSingleMatchWithPath_p_L292_P_9,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,292,Virtual_Pass,388,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L292_P_9/slice.log,
testTokensSingleMatchWithPath_p_L293_P_10,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,293,Virtual_Pass,388,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L293_P_10/slice.log,
testTokensSingleMatchWithPath_p_L294_P_11,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,294,Virtual_Pass,388,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L294_P_11/slice.log,
testTokensSingleMatchWithPath_p_L297_P_12,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,297,Virtual_Pass,398,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L297_P_12/slice.log,
testTokensSingleMatchWithPath_p_L298_P_13,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,298,Virtual_Pass,398,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L298_P_13/slice.log,
testTokensSingleMatchWithPath_p_L299_P_14,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,299,Virtual_Pass,0,,
testTokensSingleMatchWithPath_p_L302_P_15,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,302,Virtual_Pass,416,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L302_P_15/slice.log,
testTokensSingleMatchWithPath_p_L305_P_16,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,305,Virtual_Pass,417,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L305_P_16/slice.log,
testTokensSingleMatchWithPath_p_L306_P_17,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,306,Virtual_Pass,417,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L306_P_17/slice.log,
testTokensSingleMatchWithPath_p_L309_P_18,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,309,Virtual_Pass,425,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L309_P_18/slice.log,
testTokensSingleMatchWithPath_p_L310_P_19,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testTokensSingleMatchWithPath,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testTokensSingleMatchWithPath,p,310,Virtual_Pass,425,/opt/resq/resQ_outputs/work/JacksonCore_22b/step2_slicing/_slicer4j_passed/testTokensSingleMatchWithPath_p_L310_P_19/slice.log,
