rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S3593,ValueUtils.java,142,return 0;,0.816497,1,1
2,S3788,VariablePointer.java,308,if (index != WHOLE_COLLECTION) {,0.707107,3,4
2,S3860,XPathParser.java,117,jj_consume_token(FUNCTION_NULL);,0.707107,3,4
2,S3861,XPathParser.java,118,break;,0.707107,3,4
5,S5183,XPathParserTokenManager.java,638,"return jjStartNfaWithStates_0(3, 71, 12);",0.5,1,5
6,S3792,VariablePointer.java,324,"return getValuePointer().childIterator(test, reverse, startWith);",0.408248,1,6
7,S791,CoreOperationCompare.java,108,"return findMatch((Iterator) l, (Iterator) r);",0.353553,16,22
7,S801,CoreOperationCompare.java,142,HashSet left = new HashSet();,0.353553,16,22
7,S802,CoreOperationCompare.java,143,while (lit.hasNext()) {,0.353553,16,22
7,S804,CoreOperationCompare.java,146,while (rit.hasNext()) {,0.353553,16,22
7,S805,CoreOperationCompare.java,147,"if (contains(left.iterator(), rit.next())) {",0.353553,16,22
7,S807,CoreOperationCompare.java,151,return false;,0.353553,16,22
7,S2606,NullElementPointer.java,124,StringBuffer buffer = new StringBuffer();,0.353553,16,22
7,S2607,NullElementPointer.java,125,NodePointer parent = getImmediateParentPointer();,0.353553,16,22
7,S2608,NullElementPointer.java,126,if (parent != null) {,0.353553,16,22
7,S2609,NullElementPointer.java,127,buffer.append(parent.asPath());,0.353553,16,22
7,S2610,NullElementPointer.java,129,if (index != WHOLE_COLLECTION) {,0.353553,16,22
7,S2611,NullElementPointer.java,131,if (parent != null && parent.getIndex() != WHOLE_COLLECTION) {,0.353553,16,22
7,S2612,NullElementPointer.java,134,else if (parent != null,0.353553,16,22
7,S2614,NullElementPointer.java,139,"buffer.append(""["").append(index + 1).append(']');",0.353553,16,22
7,S2615,NullElementPointer.java,142,return buffer.toString();,0.353553,16,22
7,S2673,NullPropertyPointer.java,181,return getIndex() != WHOLE_COLLECTION;,0.353553,16,22
23,S864,CoreOperationNotEqual.java,33,"super(arg1, arg2, true);",0.316228,9,31
23,S3495,TreeCompiler.java,93,"return new CoreOperationNotEqual((Expression) left, (Expression) right);",0.316228,9,31
23,S4254,XPathParser.java,1392,jj_consume_token(NEQ);,0.316228,9,31
23,S4255,XPathParser.java,1393,r = RelationalExpr();,0.316228,9,31
23,S4256,XPathParser.java,1394,"ex = compiler.notEqual(ex, r);",0.316228,9,31
23,S4257,XPathParser.java,1395,break;,0.316228,9,31
23,S5062,XPathParserTokenManager.java,407,"return jjMoveStringLiteralDfa1_0(0x1000L, 0x0L);",0.316228,9,31
23,S5111,XPathParserTokenManager.java,501,"return jjStopAtPos(1, 12);",0.316228,9,31
23,S5154,XPathParserTokenManager.java,581,"return jjStartNfaWithStates_0(2, 68, 12);",0.316228,9,31
32,S2970,PropertyIterator.java,282,startIndex = 0;,0.308607,2,33
32,S2971,PropertyIterator.java,283,includeStart = true;,0.308607,2,33
34,S1507,ExpressionPath.java,136,"return expressionPath(context, false);",0.288675,3,36
34,S2048,JXPathContextReferenceImpl.java,466,result = ((EvalContext) result).getSingleNodePointer();,0.288675,3,36
34,S3013,PropertyPointer.java,118,return false;,0.288675,3,36
37,S204,BeanPropertyPointer.java,102,super.setPropertyIndex(index);,0.282843,8,44
37,S205,BeanPropertyPointer.java,103,propertyName = null;,0.282843,8,44
37,S206,BeanPropertyPointer.java,104,propertyDescriptor = null;,0.282843,8,44
37,S207,BeanPropertyPointer.java,105,baseValue = UNINITIALIZED;,0.282843,8,44
37,S208,BeanPropertyPointer.java,106,value = UNINITIALIZED;,0.282843,8,44
37,S266,BeanPropertyPointer.java,289,PropertyDescriptor[] propertyDescriptors =,0.282843,8,44
37,S267,BeanPropertyPointer.java,291,if (inx >= 0 && inx < propertyDescriptors.length) {,0.282843,8,44
37,S268,BeanPropertyPointer.java,292,propertyDescriptor = propertyDescriptors[inx];,0.282843,8,44
45,S199,BeanPropertyPointer.java,81,names[i] = pds[i].getName();,0.272166,1,45
46,S195,BeanPropertyPointer.java,77,if (names == null) {,0.267261,14,59
46,S196,BeanPropertyPointer.java,78,PropertyDescriptor[] pds = getPropertyDescriptors();,0.267261,14,59
46,S197,BeanPropertyPointer.java,79,names = new String[pds.length];,0.267261,14,59
46,S198,BeanPropertyPointer.java,80,for (int i = 0; i < names.length; i++) {,0.267261,14,59
46,S200,BeanPropertyPointer.java,84,return names;,0.267261,14,59
46,S270,BeanPropertyPointer.java,307,if (propertyDescriptors == null) {,0.267261,14,59
46,S271,BeanPropertyPointer.java,308,propertyDescriptors = beanInfo.getPropertyDescriptors();,0.267261,14,59
46,S272,BeanPropertyPointer.java,310,return propertyDescriptors;,0.267261,14,59
46,S800,CoreOperationCompare.java,132,return false;,0.267261,14,59
46,S2938,PropertyIterator.java,169,return false;,0.267261,14,59
46,S2989,PropertyOwnerPointer.java,70,"return new PropertyIterator(this, property, reverse, startWith);",0.267261,14,59
46,S3599,ValueUtils.java,151,return 1;,0.267261,14,59
46,S5129,XPathParserTokenManager.java,532,"return jjMoveStringLiteralDfa2_0(active0, 0xe000000000000000L, active1, 0x680L);",0.267261,14,59
46,S5145,XPathParserTokenManager.java,566,"return jjMoveStringLiteralDfa3_0(active0, 0x240800000000L, active1, 0xc0L);",0.267261,14,59
60,S1396,EvalContext.java,155,if (nextNode()) {,0.262613,6,65
60,S2933,PropertyIterator.java,161,int length = getLength();,0.262613,6,65
60,S2934,PropertyIterator.java,163,if (!reverse) {,0.262613,6,65
60,S2935,PropertyIterator.java,164,index = position + startIndex;,0.262613,6,65
60,S2936,PropertyIterator.java,165,if (!includeStart) {,0.262613,6,65
60,S2937,PropertyIterator.java,168,if (index > length) {,0.262613,6,65
66,S2968,PropertyIterator.java,280,propertyNodePointer.setPropertyIndex(i);,0.258199,4,69
66,S2969,PropertyIterator.java,281,if (i != startPropertyIndex) {,0.258199,4,69
66,S2972,PropertyIterator.java,285,empty = false;,0.258199,4,69
66,S2973,PropertyIterator.java,286,break;,0.258199,4,69
70,S2927,PropertyIterator.java,148,this.position = position;,0.254,6,75
70,S2928,PropertyIterator.java,149,if (position < 1) {,0.254,6,75
70,S2929,PropertyIterator.java,153,if (!targetReady) {,0.254,6,75
70,S2930,PropertyIterator.java,154,prepareForIndividualProperty(name);,0.254,6,75
70,S2931,PropertyIterator.java,157,if (empty) {,0.254,6,75
70,S2967,PropertyIterator.java,279,if (names[i].equals(name)) {,0.254,6,75
76,S796,CoreOperationCompare.java,126,while (it.hasNext()) {,0.25,13,88
76,S1520,ExpressionPath.java,185,if (predicates != null) {,0.25,13,88
76,S1521,ExpressionPath.java,186,for (int j = 0; j < predicates.length; j++) {,0.25,13,88
76,S1524,ExpressionPath.java,193,return firstMatch ? (Object) getSingleNodePointerForSteps(context),0.25,13,88
76,S2645,NullPropertyPointer.java,81,return true;,0.25,13,88
76,S2960,PropertyIterator.java,267,targetReady = true;,0.25,13,88
76,S2961,PropertyIterator.java,268,empty = true;,0.25,13,88
76,S2962,PropertyIterator.java,270,String[] names = propertyNodePointer.getPropertyNames();,0.25,13,88
76,S2963,PropertyIterator.java,271,if (!reverse) {,0.25,13,88
76,S2964,PropertyIterator.java,272,if (startPropertyIndex == PropertyPointer.UNSPECIFIED_PROPERTY) {,0.25,13,88
76,S2965,PropertyIterator.java,275,if (startIndex == NodePointer.WHOLE_COLLECTION) {,0.25,13,88
76,S2966,PropertyIterator.java,278,for (int i = startPropertyIndex; i < names.length; i++) {,0.25,13,88
76,S3268,SimplePathInterpreter.java,315,return createNullPointer(,0.25,13,88
89,S2974,PropertyIterator.java,318,length = propertyNodePointer.getLength(); // TBD: cache length,0.246183,5,93
89,S2978,PropertyIterator.java,324,return length;,0.246183,5,93
89,S3005,PropertyPointer.java,65,if (propertyIndex != index) {,0.246183,5,93
89,S3006,PropertyPointer.java,66,propertyIndex = index;,0.246183,5,93
89,S3007,PropertyPointer.java,67,setIndex(WHOLE_COLLECTION);,0.246183,5,93
94,S215,BeanPropertyPointer.java,127,return;,0.242536,1,94
95,S1381,EvalContext.java,114,if (!done && !hasPerformedIteratorStep) {,0.239046,22,116
95,S1382,EvalContext.java,115,performIteratorStep();,0.239046,22,116
95,S1383,EvalContext.java,117,return !done;,0.239046,22,116
95,S1392,EvalContext.java,149,done = true;,0.239046,22,116
95,S1393,EvalContext.java,150,if (position != 0 && nextNode()) {,0.239046,22,116
95,S1395,EvalContext.java,154,while (nextSet()) {,0.239046,22,116
95,S1399,EvalContext.java,161,hasPerformedIteratorStep = true;,0.239046,22,116
95,S2900,PropertyIterator.java,31,private boolean empty = false;,0.239046,22,116
95,S2901,PropertyIterator.java,34,private int startIndex = 0;,0.239046,22,116
95,S2902,PropertyIterator.java,35,private boolean targetReady = false;,0.239046,22,116
95,S2903,PropertyIterator.java,36,private int position = 0;,0.239046,22,116
95,S2904,PropertyIterator.java,40,private boolean includeStart = false;,0.239046,22,116
95,S2905,PropertyIterator.java,53,NodePointer startWith) {,0.239046,22,116
95,S2906,PropertyIterator.java,54,propertyNodePointer =,0.239046,22,116
95,S2907,PropertyIterator.java,56,this.name = name;,0.239046,22,116
95,S2908,PropertyIterator.java,57,this.reverse = reverse;,0.239046,22,116
95,S2909,PropertyIterator.java,58,this.includeStart = true;,0.239046,22,116
95,S2910,PropertyIterator.java,59,if (reverse) {,0.239046,22,116
95,S2911,PropertyIterator.java,63,if (startWith != null) {,0.239046,22,116
95,S2926,PropertyIterator.java,139,return name == null ? setPositionAllProperties(position) : setPositionIndividualProperty(position);,0.239046,22,116
95,S2986,PropertyOwnerPointer.java,52,return createNodeIterator(nodeNameTest.isWildcard() ? null,0.239046,22,116
95,S5084,XPathParserTokenManager.java,447,"return jjMoveStringLiteralDfa1_0(0x0L, 0x8L);",0.239046,22,116
117,S1442,EvalContext.java,355,while (parentContext.nextSet()) {,0.235702,9,125
117,S1445,EvalContext.java,360,return false;,0.235702,9,125
117,S2879,PredicateContext.java,111,return false;,0.235702,9,125
117,S2981,PropertyOwnerPointer.java,45,if (test == null) {,0.235702,9,125
117,S2982,PropertyOwnerPointer.java,48,if (test instanceof NodeNameTest) {,0.235702,9,125
117,S2983,PropertyOwnerPointer.java,49,NodeNameTest nodeNameTest = (NodeNameTest) test;,0.235702,9,125
117,S2984,PropertyOwnerPointer.java,50,QName testName = nodeNameTest.getNodeName();,0.235702,9,125
117,S2985,PropertyOwnerPointer.java,51,if (isValidProperty(testName)) {,0.235702,9,125
117,S5153,XPathParserTokenManager.java,580,if ((active1 & 0x10L) != 0L),0.235702,9,125
126,S1376,EvalContext.java,100,return getDocumentOrder() != 0;,0.232495,2,127
126,S2820,Path.java,238,"return buildContextChain(context, steps.length, false);",0.232495,2,127
128,S245,BeanPropertyPointer.java,211,return super.getLength();,0.229416,8,135
128,S287,ChildContext.java,87,return setPosition(getCurrentPosition() + 1);,0.229416,8,135
128,S290,ChildContext.java,96,int oldPosition = getCurrentPosition();,0.229416,8,135
128,S291,ChildContext.java,97,super.setPosition(position);,0.229416,8,135
128,S292,ChildContext.java,98,if (oldPosition == 0) {,0.229416,8,135
128,S293,ChildContext.java,99,prepare();,0.229416,8,135
128,S294,ChildContext.java,101,return iterator == null ? false : iterator.setPosition(position);,0.229416,8,135
128,S1375,EvalContext.java,88,return parentContext != null && parentContext.isChildOrderingRequired() ? 1 : 0;,0.229416,8,135
136,S242,BeanPropertyPointer.java,207,int hint = ValueUtils.getCollectionHint(pd.getPropertyType());,0.226455,7,142
136,S243,BeanPropertyPointer.java,208,if (hint == -1) {,0.226455,7,142
136,S1377,EvalContext.java,108,if (pointerIterator != null) {,0.226455,7,142
136,S1379,EvalContext.java,111,if (getDocumentOrder() != 0) {,0.226455,7,142
136,S1427,EvalContext.java,301,return position;,0.226455,7,142
136,S1446,EvalContext.java,379,this.position = position;,0.226455,7,142
136,S1447,EvalContext.java,380,return true;,0.226455,7,142
143,S238,BeanPropertyPointer.java,196,PropertyDescriptor pd = getPropertyDescriptor();,0.223607,28,170
143,S239,BeanPropertyPointer.java,197,if (pd == null) {,0.223607,28,170
143,S240,BeanPropertyPointer.java,201,if (pd instanceof IndexedPropertyDescriptor) {,0.223607,28,170
143,S778,CoreOperationCompare.java,60,"return equal(context, args[0], args[1]) ? Boolean.TRUE : Boolean.FALSE;",0.223607,28,170
143,S780,CoreOperationCompare.java,80,Object l = left.compute(context);,0.223607,28,170
