virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testAbbreviate_WordUtils_L368_F_1,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,368,Virtual_Pass,2,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L368_F_1/slice.log,
testAbbreviate_WordUtils_L369_F_2,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,369,Virtual_Pass,3,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L369_F_2/slice.log,
testAbbreviate_WordUtils_L372_F_3,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,372,Virtual_Pass,13,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L372_F_3/slice.log,
testAbbreviate_WordUtils_L373_F_4,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,373,Virtual_Pass,15,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L373_F_4/slice.log,
testAbbreviate_WordUtils_L374_F_5,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,374,Virtual_Pass,17,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L374_F_5/slice.log,
testAbbreviate_WordUtils_L375_F_6,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,375,Virtual_Pass,18,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L375_F_6/slice.log,
testAbbreviate_WordUtils_L376_F_7,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,376,Virtual_Pass,13,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L376_F_7/slice.log,
testAbbreviate_WordUtils_L379_F_8,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,379,Virtual_Pass,18,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L379_F_8/slice.log,
testAbbreviate_WordUtils_L380_F_9,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,380,Virtual_Pass,18,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L380_F_9/slice.log,
testAbbreviate_WordUtils_L381_F_10,org.apache.commons.lang.WordUtilsTest::testAbbreviate,org.apache.commons.lang.WordUtilsTest,testAbbreviate,WordUtils,381,Virtual_Pass,18,/opt/resq/resQ_outputs/work/Lang_45b/step2_slicing/_slicer4j_failing/testAbbreviate_WordUtils_L381_F_10/slice.log,
