rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S166,StringUtils.java,851,if (str == null || searchStr == null) {,1.0,23,23
1,S167,StringUtils.java,855,if (searchStr.length() == 0 && startPos >= str.length()) {,1.0,23,23
1,S168,StringUtils.java,858,"return str.indexOf(searchStr, startPos);",1.0,23,23
1,S1111,WordUtils.java,607,if (str == null) {,1.0,23,23
1,S1112,WordUtils.java,608,return null;,1.0,23,23
1,S1113,WordUtils.java,610,if (str.length() == 0) {,1.0,23,23
1,S1114,WordUtils.java,611,return StringUtils.EMPTY;,1.0,23,23
1,S1115,WordUtils.java,618,if (upper == -1 || upper > str.length()) {,1.0,23,23
1,S1116,WordUtils.java,619,upper = str.length();,1.0,23,23
1,S1117,WordUtils.java,622,if (upper < lower) {,1.0,23,23
1,S1118,WordUtils.java,623,upper = lower;,1.0,23,23
1,S1119,WordUtils.java,626,StringBuffer result = new StringBuffer();,1.0,23,23
1,S1120,WordUtils.java,627,"int index = StringUtils.indexOf(str, "" "", lower);",1.0,23,23
1,S1121,WordUtils.java,628,if (index == -1) {,1.0,23,23
1,S1122,WordUtils.java,629,"result.append(str.substring(0, upper));",1.0,23,23
1,S1123,WordUtils.java,631,if (upper != str.length()) {,1.0,23,23
1,S1124,WordUtils.java,632,result.append(StringUtils.defaultString(appendToEnd));,1.0,23,23
1,S1125,WordUtils.java,634,} else if (index > upper) {,1.0,23,23
1,S1126,WordUtils.java,635,"result.append(str.substring(0, upper));",1.0,23,23
1,S1127,WordUtils.java,636,result.append(StringUtils.defaultString(appendToEnd));,1.0,23,23
1,S1128,WordUtils.java,638,"result.append(str.substring(0, index));",1.0,23,23
1,S1129,WordUtils.java,639,result.append(StringUtils.defaultString(appendToEnd));,1.0,23,23
1,S1130,WordUtils.java,641,return result.toString();,1.0,23,23
24,S773,StringUtils.java,5279,return str == null ? EMPTY : str;,0.707107,1,24
25,S1,ArrayUtils.java,55,public static final Object[] EMPTY_OBJECT_ARRAY = new Object[0];,0.0,1106,1130
25,S2,ArrayUtils.java,59,public static final Class[] EMPTY_CLASS_ARRAY = new Class[0];,0.0,1106,1130
25,S3,ArrayUtils.java,63,public static final String[] EMPTY_STRING_ARRAY = new String[0];,0.0,1106,1130
25,S4,ArrayUtils.java,67,public static final long[] EMPTY_LONG_ARRAY = new long[0];,0.0,1106,1130
25,S5,ArrayUtils.java,71,public static final Long[] EMPTY_LONG_OBJECT_ARRAY = new Long[0];,0.0,1106,1130
25,S6,ArrayUtils.java,75,public static final int[] EMPTY_INT_ARRAY = new int[0];,0.0,1106,1130
25,S7,ArrayUtils.java,79,public static final Integer[] EMPTY_INTEGER_OBJECT_ARRAY = new Integer[0];,0.0,1106,1130
25,S8,ArrayUtils.java,83,public static final short[] EMPTY_SHORT_ARRAY = new short[0];,0.0,1106,1130
25,S9,ArrayUtils.java,87,public static final Short[] EMPTY_SHORT_OBJECT_ARRAY = new Short[0];,0.0,1106,1130
25,S10,ArrayUtils.java,91,public static final byte[] EMPTY_BYTE_ARRAY = new byte[0];,0.0,1106,1130
25,S11,ArrayUtils.java,95,public static final Byte[] EMPTY_BYTE_OBJECT_ARRAY = new Byte[0];,0.0,1106,1130
25,S12,ArrayUtils.java,99,public static final double[] EMPTY_DOUBLE_ARRAY = new double[0];,0.0,1106,1130
25,S13,ArrayUtils.java,103,public static final Double[] EMPTY_DOUBLE_OBJECT_ARRAY = new Double[0];,0.0,1106,1130
25,S14,ArrayUtils.java,107,public static final float[] EMPTY_FLOAT_ARRAY = new float[0];,0.0,1106,1130
25,S15,ArrayUtils.java,111,public static final Float[] EMPTY_FLOAT_OBJECT_ARRAY = new Float[0];,0.0,1106,1130
25,S16,ArrayUtils.java,115,public static final boolean[] EMPTY_BOOLEAN_ARRAY = new boolean[0];,0.0,1106,1130
25,S17,ArrayUtils.java,119,public static final Boolean[] EMPTY_BOOLEAN_OBJECT_ARRAY = new Boolean[0];,0.0,1106,1130
25,S18,ArrayUtils.java,123,public static final char[] EMPTY_CHAR_ARRAY = new char[0];,0.0,1106,1130
25,S19,ArrayUtils.java,127,public static final Character[] EMPTY_CHARACTER_OBJECT_ARRAY = new Character[0];,0.0,1106,1130
25,S20,ArrayUtils.java,206,"return new EqualsBuilder().append(array1, array2).isEquals();",0.0,1106,1130
25,S21,ArrayUtils.java,995,if (array == null) {,0.0,1106,1130
25,S22,ArrayUtils.java,998,int i = 0;,0.0,1106,1130
25,S23,ArrayUtils.java,999,int j = array.length - 1;,0.0,1106,1130
25,S24,ArrayUtils.java,1001,while (j > i) {,0.0,1106,1130
25,S25,ArrayUtils.java,1002,tmp = array[j];,0.0,1106,1130
25,S26,ArrayUtils.java,1003,array[j] = array[i];,0.0,1106,1130
