virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testAppendNewLine_sb_L82_P_1,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendNewLine,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendNewLine,sb,82,Virtual_Pass,4,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendNewLine_sb_L82_P_1/slice.log,
testAppendNewLine_sb_L86_P_2,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendNewLine,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendNewLine,sb,86,Virtual_Pass,4,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendNewLine_sb_L86_P_2/slice.log,
testAppendWithNullText_sb_L93_P_3,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,93,Virtual_Pass,19,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L93_P_3/slice.log,
testAppendWithNullText_sb_L96_P_4,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,96,Virtual_Pass,23,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L96_P_4/slice.log,
testAppendWithNullText_sb_L99_P_5,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,99,Virtual_Pass,27,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L99_P_5/slice.log,
testAppendWithNullText_sb_L102_P_6,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,102,Virtual_Pass,33,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L102_P_6/slice.log,
testAppendWithNullText_sb_L105_P_7,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,105,Virtual_Pass,36,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L105_P_7/slice.log,
testAppendWithNullText_sb_L108_P_8,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,108,Virtual_Pass,38,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L108_P_8/slice.log,
testAppendWithNullText_sb_L111_P_9,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,111,Virtual_Pass,40,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L111_P_9/slice.log,
testAppendWithNullText_sb_L114_P_10,org.apache.commons.lang.text.StrBuilderAppendInsertTest::testAppendWithNullText,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendWithNullText,sb,114,Virtual_Pass,44,/opt/resq/resQ_outputs/work/Lang_47b/step2_slicing/_slicer4j_passed/testAppendWithNullText_sb_L114_P_10/slice.log,
