statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,2,0,38,0,0.223607
S2,1,1,1,37,0.5
S3,1,1,1,37,0.5
S4,0,2,2,36,0.0
S5,0,2,18,20,0.0
S6,0,2,9,29,0.0
S7,0,2,12,26,0.0
S8,2,0,38,0,0.223607
S9,2,0,38,0,0.223607
S10,2,0,38,0,0.223607
S11,2,0,38,0,0.223607
S12,2,0,26,12,0.267261
S13,2,0,26,12,0.267261
S14,2,0,38,0,0.223607
S15,1,1,1,37,0.5
S16,1,1,2,36,0.408248
S17,1,1,2,36,0.408248
S18,1,1,1,37,0.5
S19,1,1,1,37,0.5
S20,1,1,1,37,0.5
S21,1,1,1,37,0.5
S22,1,1,1,37,0.5
S23,1,1,1,37,0.5
S24,1,1,2,36,0.408248
S25,1,1,2,36,0.408248
S26,1,1,2,36,0.408248
S27,1,1,1,37,0.5
S28,1,1,2,36,0.408248
S29,1,1,1,37,0.5
S30,1,1,2,36,0.408248
S31,1,1,2,36,0.408248
S32,1,1,1,37,0.5
S33,1,1,1,37,0.5
S34,1,1,1,37,0.5
S35,1,1,1,37,0.5
S36,1,1,1,37,0.5
S37,1,1,1,37,0.5
S38,1,1,2,36,0.408248
S39,1,1,2,36,0.408248
S40,1,1,2,36,0.408248
S41,1,1,1,37,0.5
S42,1,1,2,36,0.408248
S43,0,2,2,36,0.0
S44,0,2,2,36,0.0
S45,0,2,2,36,0.0
S46,2,0,38,0,0.223607
S47,2,0,38,0,0.223607
S48,2,0,38,0,0.223607
S49,2,0,33,5,0.239046
S50,2,0,38,0,0.223607
S51,2,0,38,0,0.223607
S52,0,2,22,16,0.0
S53,2,0,38,0,0.223607
S54,2,0,26,12,0.267261
S55,2,0,26,12,0.267261
S56,2,0,26,12,0.267261
S57,2,0,26,12,0.267261
S58,2,0,26,12,0.267261
S59,2,0,26,12,0.267261
S60,2,0,26,12,0.267261
S61,2,0,2,36,0.707107
S62,2,0,2,36,0.707107
S63,0,2,1,37,0.0
S64,2,0,26,12,0.267261
S65,2,0,26,12,0.267261
S66,2,0,26,12,0.267261
S67,2,0,26,12,0.267261
S68,2,0,26,12,0.267261
S69,2,0,26,12,0.267261
S70,2,0,26,12,0.267261
S71,2,0,26,12,0.267261
S72,2,0,25,13,0.272166
S73,0,2,1,37,0.0
S74,2,0,26,12,0.267261
S75,2,0,2,36,0.707107
S76,0,2,24,14,0.0
S77,0,2,24,14,0.0
S78,0,2,23,15,0.0
S79,0,2,1,37,0.0
S80,2,0,3,35,0.632456
S81,0,2,1,37,0.0
S82,1,1,1,37,0.5
S83,1,1,2,36,0.408248
S84,2,0,2,36,0.707107
S85,0,2,23,15,0.0
S86,0,2,1,37,0.0
S87,1,1,1,37,0.5
S88,1,1,1,37,0.5
S89,2,0,26,12,0.267261
S90,2,0,26,12,0.267261
S91,2,0,26,12,0.267261
S92,2,0,2,36,0.707107
S93,2,0,26,12,0.267261
S94,2,0,26,12,0.267261
S95,2,0,26,12,0.267261
S96,2,0,26,12,0.267261
S97,2,0,26,12,0.267261
S98,2,0,26,12,0.267261
S99,2,0,26,12,0.267261
S100,2,0,26,12,0.267261
S101,2,0,26,12,0.267261
S102,2,0,26,12,0.267261
S103,2,0,26,12,0.267261
S104,2,0,25,13,0.272166
S105,2,0,26,12,0.267261
S106,2,0,26,12,0.267261
S107,2,0,26,12,0.267261
S108,2,0,26,12,0.267261
S109,1,1,1,37,0.5
S110,1,1,1,37,0.5
S111,2,0,26,12,0.267261
S112,2,0,26,12,0.267261
S113,2,0,26,12,0.267261
S114,2,0,26,12,0.267261
S115,2,0,26,12,0.267261
S116,2,0,26,12,0.267261
S117,2,0,3,35,0.632456
S118,1,1,25,13,0.138675
S119,2,0,25,13,0.272166
S120,2,0,26,12,0.267261
S121,2,0,26,12,0.267261
S122,2,0,26,12,0.267261
S123,2,0,2,36,0.707107
S124,2,0,2,36,0.707107
S125,2,0,2,36,0.707107
S126,2,0,3,35,0.632456
S127,2,0,3,35,0.632456
S128,2,0,3,35,0.632456
S129,2,0,3,35,0.632456
S130,2,0,3,35,0.632456
S131,2,0,3,35,0.632456
S132,2,0,3,35,0.632456
S133,2,0,3,35,0.632456
S134,2,0,3,35,0.632456
S135,2,0,3,35,0.632456
S136,0,2,1,37,0.0
S137,0,2,1,37,0.0
S138,0,2,1,37,0.0
S139,2,0,25,13,0.272166
S140,2,0,25,13,0.272166
S141,2,0,25,13,0.272166
S142,2,0,25,13,0.272166
S143,1,1,25,13,0.138675
S144,1,1,25,13,0.138675
S145,1,1,25,13,0.138675
S146,0,2,1,37,0.0
S147,0,2,1,37,0.0
S148,0,2,1,37,0.0
S149,0,2,23,15,0.0
S150,0,2,23,15,0.0
S151,0,2,23,15,0.0
S152,0,2,1,37,0.0
S153,0,2,1,37,0.0
S154,0,2,1,37,0.0
S155,1,1,1,37,0.5
S156,1,1,1,37,0.5
S157,1,1,1,37,0.5
S158,1,1,1,37,0.5
S159,1,1,1,37,0.5
S160,1,1,1,37,0.5
S161,1,1,1,37,0.5
S162,1,1,1,37,0.5
S163,1,1,1,37,0.5
S164,1,1,1,37,0.5
S165,1,1,1,37,0.5
S166,2,0,2,36,0.707107
S167,2,0,2,36,0.707107
S168,2,0,2,36,0.707107
