test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeJava,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeJava,StringEscapeUtils,64,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeJava,org.apache.commons.lang.StringEscapeUtilsTest,testUnescapeJava,StringEscapeUtils,115,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeHtml,org.apache.commons.lang.StringEscapeUtilsTest,testUnescapeHtml,StringEscapeUtils,246,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeHtml,org.apache.commons.lang.StringEscapeUtilsTest,testUnescapeHtml,StringEscapeUtils,247,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeHtml,org.apache.commons.lang.StringEscapeUtilsTest,testUnescapeHtml,StringEscapeUtils,248,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeHtml,org.apache.commons.lang.StringEscapeUtilsTest,testUnescapeHtml,StringEscapeUtils,249,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeUnknownEntity,org.apache.commons.lang.StringEscapeUtilsTest,testUnescapeUnknownEntity,StringEscapeUtils,269,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeHtmlVersions,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeHtmlVersions,StringEscapeUtils,274,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeHtmlVersions,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeHtmlVersions,StringEscapeUtils,275,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,282,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,283,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,290,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,291,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,292,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,293,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeXml,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeXml,StringEscapeUtils,294,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeSql,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeSql,StringEscapeUtils,317,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeSql,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeSql,StringEscapeUtils,318,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testEscapeSql,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeSql,StringEscapeUtils,319,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testStandaloneAmphersand,org.apache.commons.lang.StringEscapeUtilsTest,testStandaloneAmphersand,StringEscapeUtils,325,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testStandaloneAmphersand,org.apache.commons.lang.StringEscapeUtilsTest,testStandaloneAmphersand,StringEscapeUtils,326,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testStandaloneAmphersand,org.apache.commons.lang.StringEscapeUtilsTest,testStandaloneAmphersand,StringEscapeUtils,327,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testStandaloneAmphersand,org.apache.commons.lang.StringEscapeUtilsTest,testStandaloneAmphersand,StringEscapeUtils,328,Virtual_Pass
org.apache.commons.lang.StringEscapeUtilsTest::testLang313,org.apache.commons.lang.StringEscapeUtilsTest,testLang313,StringEscapeUtils,332,Virtual_Pass
