statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,6,0,36,5,0.377964
S2,6,0,36,5,0.377964
S3,6,0,36,5,0.377964
S4,6,0,36,5,0.377964
S5,6,0,36,5,0.377964
S6,6,0,36,5,0.377964
S7,6,0,36,5,0.377964
S8,6,0,36,5,0.377964
S9,6,0,36,5,0.377964
S10,6,0,36,5,0.377964
S11,6,0,36,5,0.377964
S12,6,0,36,5,0.377964
S13,6,0,36,5,0.377964
S14,6,0,36,5,0.377964
S15,6,0,36,5,0.377964
S16,6,0,36,5,0.377964
S17,6,0,36,5,0.377964
S18,6,0,36,5,0.377964
S19,6,0,36,5,0.377964
S20,6,0,36,5,0.377964
S21,6,0,36,5,0.377964
S22,0,6,10,31,0.0
S23,0,6,10,31,0.0
S24,0,6,10,31,0.0
S25,0,6,3,38,0.0
S26,0,6,8,33,0.0
S27,0,6,4,37,0.0
S28,0,6,4,37,0.0
S29,0,6,4,37,0.0
S30,0,6,2,39,0.0
S31,0,6,2,39,0.0
S32,0,6,2,39,0.0
S33,0,6,1,40,0.0
S34,0,6,2,39,0.0
S35,0,6,2,39,0.0
S36,0,6,2,39,0.0
S37,0,6,2,39,0.0
S38,0,6,2,39,0.0
S39,0,6,2,39,0.0
S40,0,6,2,39,0.0
S41,6,0,36,5,0.377964
S42,6,0,36,5,0.377964
S43,0,6,8,33,0.0
S44,0,6,7,34,0.0
S45,0,6,2,39,0.0
S46,0,6,7,34,0.0
S47,0,6,7,34,0.0
S48,0,6,7,34,0.0
S49,0,6,7,34,0.0
S50,0,6,7,34,0.0
S51,0,6,7,34,0.0
S52,0,6,4,37,0.0
S53,0,6,4,37,0.0
S54,0,6,4,37,0.0
S55,0,6,4,37,0.0
S56,0,6,4,37,0.0
S57,0,6,2,39,0.0
S58,0,6,2,39,0.0
S59,0,6,2,39,0.0
S60,0,6,2,39,0.0
S61,0,6,2,39,0.0
S62,0,6,2,39,0.0
S63,0,6,2,39,0.0
S64,0,6,2,39,0.0
S65,0,6,4,37,0.0
S66,0,6,4,37,0.0
S67,0,6,4,37,0.0
S68,0,6,4,37,0.0
S69,0,6,4,37,0.0
S70,0,6,4,37,0.0
S71,0,6,4,37,0.0
S72,0,6,4,37,0.0
S73,0,6,1,40,0.0
S74,0,6,1,40,0.0
S75,0,6,1,40,0.0
S76,0,6,1,40,0.0
S77,0,6,2,39,0.0
S78,0,6,2,39,0.0
S79,0,6,2,39,0.0
S80,0,6,2,39,0.0
S81,0,6,2,39,0.0
S82,0,6,1,40,0.0
S83,0,6,2,39,0.0
S84,0,6,2,39,0.0
S85,0,6,2,39,0.0
S86,0,6,2,39,0.0
S87,0,6,2,39,0.0
S88,0,6,2,39,0.0
S89,0,6,2,39,0.0
S90,0,6,2,39,0.0
S91,0,6,2,39,0.0
S92,0,6,1,40,0.0
S93,0,6,2,39,0.0
S94,0,6,2,39,0.0
S95,0,6,2,39,0.0
S96,0,6,2,39,0.0
S97,0,6,1,40,0.0
S98,0,6,2,39,0.0
S99,0,6,2,39,0.0
S100,0,6,2,39,0.0
S101,0,6,2,39,0.0
S102,0,6,2,39,0.0
S103,0,6,2,39,0.0
S104,0,6,1,40,0.0
S105,0,6,1,40,0.0
S106,0,6,1,40,0.0
S107,0,6,1,40,0.0
S108,6,0,36,5,0.377964
S109,6,0,36,5,0.377964
S110,6,0,36,5,0.377964
S111,6,0,36,5,0.377964
S112,0,6,9,32,0.0
S113,0,6,9,32,0.0
S114,0,6,3,38,0.0
S115,0,6,3,38,0.0
S116,0,6,3,38,0.0
S117,0,6,3,38,0.0
S118,0,6,3,38,0.0
S119,0,6,2,39,0.0
S120,0,6,1,40,0.0
S121,0,6,1,40,0.0
S122,0,6,1,40,0.0
S123,0,6,1,40,0.0
S124,0,6,1,40,0.0
S125,0,6,2,39,0.0
S126,0,6,3,38,0.0
S127,0,6,3,38,0.0
S128,0,6,3,38,0.0
S129,0,6,3,38,0.0
S130,0,6,4,37,0.0
S131,0,6,4,37,0.0
S132,0,6,4,37,0.0
S133,0,6,4,37,0.0
S134,0,6,4,37,0.0
S135,0,6,3,38,0.0
S136,0,6,1,40,0.0
S137,0,6,1,40,0.0
S138,0,6,1,40,0.0
S139,0,6,3,38,0.0
S140,0,6,4,37,0.0
S141,0,6,4,37,0.0
S142,0,6,4,37,0.0
S143,6,0,22,19,0.46291
S144,6,0,22,19,0.46291
S145,5,1,17,24,0.435194
S146,1,5,5,36,0.166667
S147,1,5,5,36,0.166667
S148,1,5,5,36,0.166667
S149,1,5,5,36,0.166667
S150,1,5,5,36,0.166667
S151,1,5,5,36,0.166667
S152,1,5,5,36,0.166667
S153,0,6,1,40,0.0
S154,0,6,1,40,0.0
S155,1,5,5,36,0.166667
S156,1,5,5,36,0.166667
S157,0,6,1,40,0.0
S158,0,6,1,40,0.0
S159,1,5,5,36,0.166667
S160,1,5,5,36,0.166667
S161,0,6,1,40,0.0
S162,1,5,5,36,0.166667
S163,1,5,2,39,0.235702
S164,0,6,1,40,0.0
S165,1,5,2,39,0.235702
S166,1,5,2,39,0.235702
S167,0,6,1,40,0.0
S168,1,5,2,39,0.235702
S169,0,6,1,40,0.0
S170,0,6,1,40,0.0
S171,0,6,4,37,0.0
S172,1,5,5,36,0.166667
S173,0,6,2,39,0.0
S174,0,6,2,39,0.0
S175,0,6,2,39,0.0
S176,1,5,4,37,0.182574
S177,1,5,5,36,0.166667
S178,1,5,5,36,0.166667
S179,0,6,4,37,0.0
S180,1,5,5,36,0.166667
S181,0,6,8,33,0.0
S182,0,6,8,33,0.0
S183,0,6,1,40,0.0
S184,0,6,1,40,0.0
S185,0,6,8,33,0.0
S186,0,6,8,33,0.0
S187,0,6,8,33,0.0
S188,0,6,8,33,0.0
S189,0,6,8,33,0.0
S190,0,6,8,33,0.0
S191,0,6,8,33,0.0
S192,0,6,8,33,0.0
S193,0,6,1,40,0.0
S194,0,6,1,40,0.0
S195,0,6,8,33,0.0
S196,0,6,8,33,0.0
S197,0,6,1,40,0.0
S198,0,6,1,40,0.0
S199,0,6,8,33,0.0
S200,0,6,8,33,0.0
S201,0,6,8,33,0.0
S202,0,6,8,33,0.0
S203,0,6,8,33,0.0
S204,0,6,3,38,0.0
S205,0,6,3,38,0.0
S206,0,6,3,38,0.0
S207,0,6,2,39,0.0
S208,0,6,3,38,0.0
S209,0,6,3,38,0.0
S210,0,6,6,35,0.0
S211,0,6,8,33,0.0
S212,0,6,4,37,0.0
S213,0,6,4,37,0.0
S214,0,6,4,37,0.0
S215,0,6,6,35,0.0
S216,0,6,8,33,0.0
S217,0,6,8,33,0.0
S218,0,6,4,37,0.0
S219,6,0,36,5,0.377964
S220,6,0,36,5,0.377964
S221,6,0,36,5,0.377964
S222,6,0,36,5,0.377964
S223,6,0,36,5,0.377964
S224,6,0,36,5,0.377964
S225,6,0,36,5,0.377964
S226,6,0,36,5,0.377964
S227,6,0,36,5,0.377964
S228,6,0,36,5,0.377964
S229,6,0,36,5,0.377964
S230,6,0,36,5,0.377964
S231,6,0,36,5,0.377964
S232,0,6,10,31,0.0
S233,0,6,10,31,0.0
S234,0,6,10,31,0.0
S235,0,6,10,31,0.0
