test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.lang.enums.EnumEqualsTest::testEquals,PASS,6,6
org.apache.commons.lang.enums.EnumEqualsTest::testEquals_classloader_equal,PASS,1,1
org.apache.commons.lang.enums.EnumEqualsTest::testEquals_classloader_different,PASS,1,1
org.apache.commons.lang.enums.EnumEqualsTest::testCompareTo,PASS,0,0
org.apache.commons.lang.enums.EnumTest::testName,PASS,3,3
org.apache.commons.lang.enums.EnumTest::testCompareTo,PASS,3,3
org.apache.commons.lang.enums.EnumTest::testEquals,PASS,5,5
org.apache.commons.lang.enums.EnumTest::testHashCode,PASS,2,2
org.apache.commons.lang.enums.EnumTest::testToString,PASS,2,2
org.apache.commons.lang.enums.EnumTest::testIterator,PASS,3,3
org.apache.commons.lang.enums.EnumTest::testList,PASS,5,5
org.apache.commons.lang.enums.EnumTest::testMap,PASS,8,8
org.apache.commons.lang.enums.EnumTest::testGet,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testSerialization,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testBroken1,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken2,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken3,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken1Operation,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken2Operation,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken3Operation,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken4Operation,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testBroken5Operation,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testOperationGet,PASS,3,3
org.apache.commons.lang.enums.EnumTest::testOperationSerialization,PASS,2,2
org.apache.commons.lang.enums.EnumTest::testOperationToString,PASS,1,1
org.apache.commons.lang.enums.EnumTest::testOperationList,PASS,5,5
org.apache.commons.lang.enums.EnumTest::testOperationMap,PASS,6,6
org.apache.commons.lang.enums.EnumTest::testOperationCalculation,PASS,2,2
org.apache.commons.lang.enums.EnumTest::testExtended1Get,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testExtended2Get,PASS,6,6
org.apache.commons.lang.enums.EnumTest::testExtended3Get,PASS,7,7
org.apache.commons.lang.enums.EnumTest::testExtendedSerialization,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testExtendedToString,PASS,9,9
org.apache.commons.lang.enums.EnumTest::testExtended1List,PASS,5,5
org.apache.commons.lang.enums.EnumTest::testExtended2List,PASS,6,6
org.apache.commons.lang.enums.EnumTest::testExtended3List,PASS,7,7
org.apache.commons.lang.enums.EnumTest::testExtended1Map,PASS,6,6
org.apache.commons.lang.enums.EnumTest::testExtended2Map,PASS,8,8
org.apache.commons.lang.enums.EnumTest::testExtended3Map,PASS,10,10
org.apache.commons.lang.enums.EnumTest::testNested,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testNestedBroken,PASS,6,6
org.apache.commons.lang.enums.EnumTest::testNestedLinked,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testNestedReferenced,PASS,4,4
org.apache.commons.lang.enums.EnumTest::testColorEnumEqualsWithDifferentClassLoaders,PASS,0,0
org.apache.commons.lang.enums.EnumTest::testEqualsToWrongInstance,PASS,0,0
org.apache.commons.lang.enums.EnumUtilsTest::testConstructor,PASS,5,5
org.apache.commons.lang.enums.EnumUtilsTest::testIterator,PASS,4,4
org.apache.commons.lang.enums.EnumUtilsTest::testIteratorEx,PASS,0,0
org.apache.commons.lang.enums.EnumUtilsTest::testList,PASS,4,4
org.apache.commons.lang.enums.EnumUtilsTest::testListEx,PASS,0,0
org.apache.commons.lang.enums.EnumUtilsTest::testMap,PASS,7,7
org.apache.commons.lang.enums.EnumUtilsTest::testMapEx,PASS,0,0
org.apache.commons.lang.enums.EnumUtilsTest::testGet,PASS,5,5
org.apache.commons.lang.enums.EnumUtilsTest::testGetEx,PASS,0,0
org.apache.commons.lang.enums.EnumUtilsTest::testGetValue,PASS,5,5
org.apache.commons.lang.enums.EnumUtilsTest::testGetValueEx,PASS,0,0
org.apache.commons.lang.enums.ValuedEnumTest::testName,PASS,3,3
org.apache.commons.lang.enums.ValuedEnumTest::testValue,PASS,3,3
org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo,PASS,3,3
org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_classloader_equal,PASS,1,1
org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_classloader_different,PASS,1,1
org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_nonEnumType,PASS,0,0
org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_otherType,PASS,0,0
org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_null,PASS,0,0
org.apache.commons.lang.enums.ValuedEnumTest::testEquals,PASS,2,2
org.apache.commons.lang.enums.ValuedEnumTest::testEquals_classloader_equal,PASS,1,1
org.apache.commons.lang.enums.ValuedEnumTest::testEquals_classloader_different,PASS,1,1
org.apache.commons.lang.enums.ValuedEnumTest::testToString,PASS,2,2
org.apache.commons.lang.enums.ValuedEnumTest::testIterator,PASS,3,3
org.apache.commons.lang.enums.ValuedEnumTest::testList,PASS,5,5
org.apache.commons.lang.enums.ValuedEnumTest::testMap,PASS,8,8
org.apache.commons.lang.enums.ValuedEnumTest::testGet,PASS,4,4
org.apache.commons.lang.enums.ValuedEnumTest::testGetValue,PASS,4,4
org.apache.commons.lang.enums.ValuedEnumTest::testSerialization,PASS,3,3
