rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S57,FractionFormat.java,290,pos.setIndex(initialIndex);,0.57735,15,15
1,S58,FractionFormat.java,291,pos.setErrorIndex(startIndex);,0.57735,15,15
1,S59,FractionFormat.java,292,return null;,0.57735,15,15
1,S100,MathUtils.java,680,return (x == 0) ? 0 : (x > 0) ? 1 : -1;,0.57735,15,15
1,S133,ProperFractionFormat.java,168,int startIndex = pos.getIndex();,0.57735,15,15
1,S134,ProperFractionFormat.java,169,"char c = parseNextCharacter(source, pos);",0.57735,15,15
1,S135,ProperFractionFormat.java,170,switch (c) {,0.57735,15,15
1,S136,ProperFractionFormat.java,177,break;,0.57735,15,15
1,S137,ProperFractionFormat.java,188,"parseAndIgnoreWhitespace(source, pos);",0.57735,15,15
1,S138,ProperFractionFormat.java,191,"Number den = getDenominatorFormat().parse(source, pos);",0.57735,15,15
1,S139,ProperFractionFormat.java,192,if (den == null) {,0.57735,15,15
1,S140,ProperFractionFormat.java,202,int w = whole.intValue();,0.57735,15,15
1,S141,ProperFractionFormat.java,203,int n = num.intValue();,0.57735,15,15
1,S142,ProperFractionFormat.java,204,int d = den.intValue();,0.57735,15,15
1,S143,ProperFractionFormat.java,205,"return new Fraction(((Math.abs(w) * d) + n) * MathUtils.sign(w), d);",0.57735,15,15
16,S128,ProperFractionFormat.java,153,"parseAndIgnoreWhitespace(source, pos);",0.5,3,18
16,S129,ProperFractionFormat.java,156,"Number num = getNumeratorFormat().parse(source, pos);",0.5,3,18
16,S130,ProperFractionFormat.java,157,if (num == null) {,0.5,3,18
19,S122,ProperFractionFormat.java,137,int initialIndex = pos.getIndex();,0.447214,4,22
19,S123,ProperFractionFormat.java,140,"parseAndIgnoreWhitespace(source, pos);",0.447214,4,22
19,S124,ProperFractionFormat.java,143,"Number whole = getWholeFormat().parse(source, pos);",0.447214,4,22
19,S125,ProperFractionFormat.java,144,if (whole == null) {,0.447214,4,22
23,S45,FractionFormat.java,249,return result;,0.408248,3,25
23,S93,MathUtils.java,347,t /= 2; // cast out twos,0.408248,3,25
23,S95,MathUtils.java,351,u = -t;,0.408248,3,25
26,S52,FractionFormat.java,276,int startIndex = pos.getIndex();,0.377964,4,29
26,S53,FractionFormat.java,277,"char c = parseNextCharacter(source, pos);",0.377964,4,29
26,S54,FractionFormat.java,278,switch (c) {,0.377964,4,29
26,S80,FractionFormat.java,382,ret = c;,0.377964,4,29
30,S41,FractionFormat.java,243,ParsePosition parsePosition = new ParsePosition(0);,0.353553,21,50
30,S42,FractionFormat.java,244,"Fraction result = parse(source, parsePosition);",0.353553,21,50
30,S43,FractionFormat.java,245,if (parsePosition.getIndex() == 0) {,0.353553,21,50
30,S46,FractionFormat.java,260,int initialIndex = pos.getIndex();,0.353553,21,50
