rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S55,Precision.java,90,return 0;,0.5,1,1
2,S54,Precision.java,89,"if (equals(x, y, eps)) {",0.447214,3,4
2,S64,Precision.java,265,"return equals(x, y, 1) || FastMath.abs(y - x) <= eps;",0.447214,3,4
2,S72,Precision.java,314,return isEqual && !Double.isNaN(x) && !Double.isNaN(y);,0.447214,3,4
5,S1,AbstractLinearOptimizer.java,74,protected AbstractLinearOptimizer() {,0.0,232,236
5,S2,AbstractLinearOptimizer.java,75,setMaxIterations(DEFAULT_MAX_ITERATIONS);,0.0,232,236
5,S3,AbstractLinearOptimizer.java,82,return nonNegative;,0.0,232,236
5,S4,AbstractLinearOptimizer.java,96,return function;,0.0,232,236
5,S5,AbstractLinearOptimizer.java,103,return Collections.unmodifiableCollection(linearConstraints);,0.0,232,236
5,S6,AbstractLinearOptimizer.java,108,this.maxIterations = maxIterations;,0.0,232,236
5,S7,AbstractLinearOptimizer.java,139,this.function          = f;,0.0,232,236
5,S8,AbstractLinearOptimizer.java,140,this.linearConstraints = constraints;,0.0,232,236
5,S9,AbstractLinearOptimizer.java,141,this.goal              = goalType;,0.0,232,236
5,S10,AbstractLinearOptimizer.java,142,this.nonNegative       = restrictToNonNegative;,0.0,232,236
5,S11,AbstractLinearOptimizer.java,144,iterations  = 0;,0.0,232,236
5,S12,AbstractLinearOptimizer.java,147,return doOptimize();,0.0,232,236
5,S13,AbstractRealMatrix.java,53,"protected AbstractRealMatrix(final int rowDimension, final int columnDimension) {",0.0,232,236
5,S14,AbstractRealMatrix.java,490,"setEntry(row, i, vector.getEntry(i));",0.0,232,236
5,S15,Array2DRowRealMatrix.java,56,"super(rowDimension, columnDimension);",0.0,232,236
5,S16,Array2DRowRealMatrix.java,57,data = new double[rowDimension][columnDimension];,0.0,232,236
5,S17,Array2DRowRealMatrix.java,75,copyIn(d);,0.0,232,236
5,S18,Array2DRowRealMatrix.java,262,if (data == null) {,0.0,232,236
5,S19,Array2DRowRealMatrix.java,275,final int nCols = subMatrix[0].length;,0.0,232,236
5,S20,Array2DRowRealMatrix.java,279,data = new double[subMatrix.length][nCols];,0.0,232,236
5,S21,Array2DRowRealMatrix.java,296,return data[row][column];,0.0,232,236
5,S22,Array2DRowRealMatrix.java,323,return (data == null) ? 0 : data.length;,0.0,232,236
5,S23,Array2DRowRealMatrix.java,329,return ((data == null) || (data[0] == null)) ? 0 : data[0].length;,0.0,232,236
5,S24,Array2DRowRealMatrix.java,526,"setSubMatrix(in, 0, 0);",0.0,232,236
5,S25,ArrayRealVector.java,37,public class ArrayRealVector extends RealVector implements Serializable {,0.0,232,236
5,S26,ArrayRealVector.java,84,public ArrayRealVector(double[] d) {,0.0,232,236
5,S27,ArrayRealVector.java,85,data = d.clone();,0.0,232,236
5,S28,ArrayRealVector.java,198,"public ArrayRealVector(ArrayRealVector v, boolean deep) {",0.0,232,236
5,S29,ArrayRealVector.java,199,data = deep ? v.data.clone() : v.data;,0.0,232,236
5,S30,ArrayRealVector.java,285,"return new ArrayRealVector(this, true);",0.0,232,236
5,S31,ArrayRealVector.java,377,return this;,0.0,232,236
5,S32,ArrayRealVector.java,629,return data.length;,0.0,232,236
5,S33,FastMath.java,3002,return (x < 0l) ? -x : x;,0.0,232,236
5,S34,GoalType.java,27,public enum GoalType implements Serializable {,0.0,232,236
5,S35,GoalType.java,33,MINIMIZE,0.0,232,236
5,S36,LinearConstraint.java,81,"this(new ArrayRealVector(coefficients), relationship, value);",0.0,232,236
5,S37,LinearConstraint.java,99,final double value) {,0.0,232,236
5,S38,LinearConstraint.java,100,this.coefficients = coefficients;,0.0,232,236
5,S39,LinearConstraint.java,101,this.relationship = relationship;,0.0,232,236
5,S40,LinearConstraint.java,102,this.value        = value;,0.0,232,236
5,S41,LinearConstraint.java,168,return coefficients;,0.0,232,236
5,S42,LinearConstraint.java,176,return relationship;,0.0,232,236
5,S43,LinearConstraint.java,184,return value;,0.0,232,236
5,S44,LinearObjectiveFunction.java,58,"this(new ArrayRealVector(coefficients), constantTerm);",0.0,232,236
5,S45,LinearObjectiveFunction.java,65,"public LinearObjectiveFunction(RealVector coefficients, double constantTerm) {",0.0,232,236
5,S46,LinearObjectiveFunction.java,66,this.coefficients = coefficients;,0.0,232,236
5,S47,LinearObjectiveFunction.java,67,this.constantTerm = constantTerm;,0.0,232,236
5,S48,Pair.java,43,key = k;,0.0,232,236
5,S49,Pair.java,63,return key;,0.0,232,236
5,S50,PointValuePair.java,41,"this(point, value, true);",0.0,232,236
5,S51,PointValuePair.java,55,super(copyArray ? ((point == null) ? null :,0.0,232,236
5,S52,PointValuePair.java,67,final double[] p = getKey();,0.0,232,236
5,S53,PointValuePair.java,68,return p == null ? null : p.clone();,0.0,232,236
5,S56,Precision.java,91,} else if (x < y) {,0.0,232,236
5,S57,Precision.java,92,return -1;,0.0,232,236
5,S58,Precision.java,94,return 1;,0.0,232,236
5,S59,Precision.java,115,"if (equals(x, y, maxUlps)) {",0.0,232,236
5,S60,Precision.java,116,return 0;,0.0,232,236
5,S61,Precision.java,117,} else if (x < y) {,0.0,232,236
5,S62,Precision.java,118,return -1;,0.0,232,236
5,S63,Precision.java,120,return 1;,0.0,232,236
5,S65,Precision.java,301,long xInt = Double.doubleToLongBits(x);,0.0,232,236
5,S66,Precision.java,302,long yInt = Double.doubleToLongBits(y);,0.0,232,236
5,S67,Precision.java,305,if (xInt < 0) {,0.0,232,236
5,S68,Precision.java,306,xInt = SGN_MASK - xInt;,0.0,232,236
5,S69,Precision.java,308,if (yInt < 0) {,0.0,232,236
5,S70,Precision.java,309,yInt = SGN_MASK - yInt;,0.0,232,236
5,S71,Precision.java,312,final boolean isEqual = FastMath.abs(xInt - yInt) <= maxUlps;,0.0,232,236
5,S73,RealLinearOperator.java,53,public abstract class RealLinearOperator {,0.0,232,236
5,S74,RealVector.java,58,public abstract class RealVector {,0.0,232,236
5,S75,RealVector.java,527,return copy().mapMultiplyToSelf(d);,0.0,232,236
5,S76,Relationship.java,25,public enum Relationship {,0.0,232,236
5,S77,Relationship.java,28,"EQ(""=""),",0.0,232,236
5,S78,Relationship.java,31,"LEQ(""<=""),",0.0,232,236
5,S79,Relationship.java,34,"GEQ("">="");",0.0,232,236
5,S80,Relationship.java,42,private Relationship(String stringValue) {,0.0,232,236
5,S81,Relationship.java,43,this.stringValue = stringValue;,0.0,232,236
5,S82,Relationship.java,57,switch (this) {,0.0,232,236
5,S83,Relationship.java,61,return LEQ;,0.0,232,236
5,S84,Relationship.java,63,return EQ;,0.0,232,236
5,S85,SimplexSolver.java,51,"this(DEFAULT_EPSILON, DEFAULT_ULPS);",0.0,232,236
5,S86,SimplexSolver.java,59,"public SimplexSolver(final double epsilon, final int maxUlps) {",0.0,232,236
5,S87,SimplexSolver.java,60,this.epsilon = epsilon;,0.0,232,236
5,S88,SimplexSolver.java,61,this.maxUlps = maxUlps;,0.0,232,236
5,S89,SimplexSolver.java,70,double minValue = 0;,0.0,232,236
5,S90,SimplexSolver.java,72,for (int i = tableau.getNumObjectiveFunctions(); i < tableau.getWidth() - 1; i++) {,0.0,232,236
5,S91,SimplexSolver.java,73,"final double entry = tableau.getEntry(0, i);",0.0,232,236
5,S92,SimplexSolver.java,74,"if (Precision.compareTo(entry, minValue, maxUlps) < 0) {",0.0,232,236
5,S93,SimplexSolver.java,75,minValue = entry;,0.0,232,236
5,S94,SimplexSolver.java,76,minPos = i;,0.0,232,236
5,S95,SimplexSolver.java,79,return minPos;,0.0,232,236
5,S96,SimplexSolver.java,91,double minRatio = Double.MAX_VALUE;,0.0,232,236
5,S97,SimplexSolver.java,92,for (int i = tableau.getNumObjectiveFunctions(); i < tableau.getHeight(); i++) {,0.0,232,236
5,S98,SimplexSolver.java,93,"final double rhs = tableau.getEntry(i, tableau.getWidth() - 1);",0.0,232,236
5,S99,SimplexSolver.java,94,"final double entry = tableau.getEntry(i, col);",0.0,232,236
5,S100,SimplexSolver.java,96,"if (Precision.compareTo(entry, 0d, maxUlps) > 0) {",0.0,232,236
5,S101,SimplexSolver.java,97,final double ratio = rhs / entry;,0.0,232,236
5,S102,SimplexSolver.java,98,"final int cmp = Precision.compareTo(ratio, minRatio, maxUlps);",0.0,232,236
5,S103,SimplexSolver.java,99,if (cmp == 0) {,0.0,232,236
5,S104,SimplexSolver.java,100,minRatioPositions.add(i);,0.0,232,236
5,S105,SimplexSolver.java,101,} else if (cmp < 0) {,0.0,232,236
5,S106,SimplexSolver.java,102,minRatio = ratio;,0.0,232,236
5,S107,SimplexSolver.java,103,minRatioPositions = new ArrayList<Integer>();,0.0,232,236
5,S108,SimplexSolver.java,109,if (minRatioPositions.size() == 0) {,0.0,232,236
5,S109,SimplexSolver.java,111,} else if (minRatioPositions.size() > 1) {,0.0,232,236
5,S110,SimplexSolver.java,114,for (Integer row : minRatioPositions) {,0.0,232,236
5,S111,SimplexSolver.java,117,"final double entry = tableau.getEntry(row, column);",0.0,232,236
5,S112,SimplexSolver.java,120,return row;,0.0,232,236
5,S113,SimplexSolver.java,125,return minRatioPositions.get(0);,0.0,232,236
5,S114,SimplexSolver.java,139,Integer pivotCol = getPivotColumn(tableau);,0.0,232,236
5,S115,SimplexSolver.java,140,"Integer pivotRow = getPivotRow(tableau, pivotCol);",0.0,232,236
5,S116,SimplexSolver.java,141,if (pivotRow == null) {,0.0,232,236
5,S117,SimplexSolver.java,146,"double pivotVal = tableau.getEntry(pivotRow, pivotCol);",0.0,232,236
5,S118,SimplexSolver.java,147,"tableau.divideRow(pivotRow, pivotVal);",0.0,232,236
5,S119,SimplexSolver.java,150,for (int i = 0; i < tableau.getHeight(); i++) {,0.0,232,236
5,S120,SimplexSolver.java,151,if (i != pivotRow) {,0.0,232,236
5,S121,SimplexSolver.java,153,"tableau.subtractRow(i, pivotRow, multiplier);",0.0,232,236
5,S122,SimplexSolver.java,169,if (tableau.getNumArtificialVariables() == 0) {,0.0,232,236
5,S123,SimplexSolver.java,173,while (!tableau.isOptimal()) {,0.0,232,236
5,S124,SimplexSolver.java,174,doIteration(tableau);,0.0,232,236
5,S125,SimplexSolver.java,187,final SimplexTableau tableau =,0.0,232,236
5,S126,SimplexSolver.java,195,solvePhase1(tableau);,0.0,232,236
5,S127,SimplexSolver.java,196,tableau.dropPhase1Objective();,0.0,232,236
5,S128,SimplexSolver.java,201,return tableau.getSolution();,0.0,232,236
5,S129,SimplexTableau.java,84,private final List<String> columnLabels = new ArrayList<String>();,0.0,232,236
5,S130,SimplexTableau.java,134,final int maxUlps) {,0.0,232,236
5,S131,SimplexTableau.java,135,this.f                      = f;,0.0,232,236
5,S132,SimplexTableau.java,136,this.constraints            = normalizeConstraints(constraints);,0.0,232,236
5,S133,SimplexTableau.java,137,this.restrictToNonNegative  = restrictToNonNegative;,0.0,232,236
5,S134,SimplexTableau.java,138,this.epsilon                = epsilon;,0.0,232,236
5,S135,SimplexTableau.java,139,this.maxUlps                = maxUlps;,0.0,232,236
5,S136,SimplexTableau.java,140,this.numDecisionVariables   = f.getCoefficients().getDimension() +,0.0,232,236
5,S137,SimplexTableau.java,142,this.numSlackVariables      = getConstraintTypeCounts(Relationship.LEQ) +,0.0,232,236
5,S138,SimplexTableau.java,144,this.numArtificialVariables = getConstraintTypeCounts(Relationship.EQ) +,0.0,232,236
5,S139,SimplexTableau.java,146,this.tableau = createTableau(goalType == GoalType.MAXIMIZE);,0.0,232,236
5,S140,SimplexTableau.java,147,initializeColumnLabels();,0.0,232,236
5,S141,SimplexTableau.java,154,if (getNumObjectiveFunctions() == 2) {,0.0,232,236
5,S142,SimplexTableau.java,155,"columnLabels.add(""W"");",0.0,232,236
5,S143,SimplexTableau.java,157,"columnLabels.add(""Z"");",0.0,232,236
5,S144,SimplexTableau.java,158,for (int i = 0; i < getOriginalNumDecisionVariables(); i++) {,0.0,232,236
5,S145,SimplexTableau.java,159,"columnLabels.add(""x"" + i);",0.0,232,236
5,S146,SimplexTableau.java,161,if (!restrictToNonNegative) {,0.0,232,236
5,S147,SimplexTableau.java,162,columnLabels.add(NEGATIVE_VAR_COLUMN_LABEL);,0.0,232,236
5,S148,SimplexTableau.java,164,for (int i = 0; i < getNumSlackVariables(); i++) {,0.0,232,236
5,S149,SimplexTableau.java,165,"columnLabels.add(""s"" + i);",0.0,232,236
5,S150,SimplexTableau.java,167,for (int i = 0; i < getNumArtificialVariables(); i++) {,0.0,232,236
5,S151,SimplexTableau.java,168,"columnLabels.add(""a"" + i);",0.0,232,236
5,S152,SimplexTableau.java,170,"columnLabels.add(""RHS"");",0.0,232,236
5,S153,SimplexTableau.java,181,int width = numDecisionVariables + numSlackVariables +,0.0,232,236
5,S154,SimplexTableau.java,183,int height = constraints.size() + getNumObjectiveFunctions();,0.0,232,236
5,S155,SimplexTableau.java,184,"Array2DRowRealMatrix matrix = new Array2DRowRealMatrix(height, width);",0.0,232,236
5,S156,SimplexTableau.java,187,if (getNumObjectiveFunctions() == 2) {,0.0,232,236
5,S157,SimplexTableau.java,188,"matrix.setEntry(0, 0, -1);",0.0,232,236
5,S158,SimplexTableau.java,191,"matrix.setEntry(zIndex, zIndex, maximize ? 1 : -1);",0.0,232,236
5,S159,SimplexTableau.java,194,"copyArray(objectiveCoefficients.toArray(), matrix.getDataRef()[zIndex]);",0.0,232,236
5,S160,SimplexTableau.java,195,"matrix.setEntry(zIndex, width - 1,",0.0,232,236
5,S161,SimplexTableau.java,198,if (!restrictToNonNegative) {,0.0,232,236
5,S162,SimplexTableau.java,199,"matrix.setEntry(zIndex, getSlackVariableOffset() - 1,",0.0,232,236
5,S163,SimplexTableau.java,206,for (int i = 0; i < constraints.size(); i++) {,0.0,232,236
5,S164,SimplexTableau.java,207,LinearConstraint constraint = constraints.get(i);,0.0,232,236
5,S165,SimplexTableau.java,211,"copyArray(constraint.getCoefficients().toArray(), matrix.getDataRef()[row]);",0.0,232,236
5,S166,SimplexTableau.java,214,if (!restrictToNonNegative) {,0.0,232,236
5,S167,SimplexTableau.java,215,"matrix.setEntry(row, getSlackVariableOffset() - 1,",0.0,232,236
5,S168,SimplexTableau.java,220,"matrix.setEntry(row, width - 1, constraint.getValue());",0.0,232,236
5,S169,SimplexTableau.java,223,if (constraint.getRelationship() == Relationship.LEQ) {,0.0,232,236
5,S170,SimplexTableau.java,224,"matrix.setEntry(row, getSlackVariableOffset() + slackVar++, 1);  // slack",0.0,232,236
5,S171,SimplexTableau.java,225,} else if (constraint.getRelationship() == Relationship.GEQ) {,0.0,232,236
5,S172,SimplexTableau.java,226,"matrix.setEntry(row, getSlackVariableOffset() + slackVar++, -1); // excess",0.0,232,236
5,S173,SimplexTableau.java,230,if ((constraint.getRelationship() == Relationship.EQ) ||,0.0,232,236
5,S174,SimplexTableau.java,232,"matrix.setEntry(0, getArtificialVariableOffset() + artificialVar, 1);",0.0,232,236
5,S175,SimplexTableau.java,233,"matrix.setEntry(row, getArtificialVariableOffset() + artificialVar++, 1);",0.0,232,236
5,S176,SimplexTableau.java,234,"matrix.setRowVector(0, matrix.getRowVector(0).subtract(matrix.getRowVector(row)));",0.0,232,236
